,ITEM_ID,ALTURA,FORMATO,LARGURA,MARCA,PROFUNDIDADE,TEM_TAMPA,SESSION_ID,ITEM_PRICE,INTERESTED
548,260010544,28.0,OVAL,35.0,PANELA MINEIRA,35.0,0.0,307.001316689,63.75,1.0
1090,260010544,28.0,OVAL,35.0,PANELA MINEIRA,35.0,0.0,121.649211485,44.99,0.0
2472,260010544,28.0,OVAL,35.0,PANELA MINEIRA,35.0,0.0,625.109378243,36.49,0.0
3029,259619624,33.0,OVAL,26.0,FUMIL,48.5,0.0,263.840707044,27.99,0.0
3068,260010544,28.0,OVAL,35.0,PANELA MINEIRA,35.0,0.0,91.2385567418,63.75,0.0
3281,260011676,30.0,OVAL,22.0,PANELA MINEIRA,42.0,0.0,536.763304997,94.99,0.0
3628,259620270,26.0,RETANGULAR,29.0,FUMIL,45.0,1.0,567.882209287,148.65939393933334,0.0
4025,259620270,26.0,RETANGULAR,29.0,FUMIL,45.0,1.0,935.386156584,202.32878787866667,0.0
4963,259620270,26.0,RETANGULAR,29.0,FUMIL,45.0,1.0,583.4233233040001,255.998181818,0.0
5759,260010544,28.0,OVAL,35.0,PANELA MINEIRA,35.0,0.0,828.6663260319999,44.99,0.0
6860,260009948,30.0,RETANGULAR,22.0,PANELA MINEIRA,42.0,0.0,15.193786425799999,59.99,0.0
7113,260009948,30.0,RETANGULAR,22.0,PANELA MINEIRA,42.0,0.0,123.562986754,74.99,0.0
8516,260009948,30.0,RETANGULAR,22.0,PANELA MINEIRA,42.0,0.0,673.013744004,89.99,1.0
8770,260009948,30.0,RETANGULAR,22.0,PANELA MINEIRA,42.0,0.0,896.826994387,102.49,0.0
9188,260010460,19.0,RETANGULAR,32.0,PANELA MINEIRA,50.0,0.0,70.0817385532,114.99,0.0
9191,260007344,30.0,OVAL,22.0,FUMIL,42.0,0.0,60.6999111588,54.99,1.0
9552,260011676,30.0,OVAL,22.0,PANELA MINEIRA,42.0,0.0,862.147189845,94.99,0.0
10956,260009948,30.0,RETANGULAR,22.0,PANELA MINEIRA,42.0,0.0,247.59805234700002,92.49,0.0
11372,260009948,30.0,RETANGULAR,22.0,PANELA MINEIRA,42.0,0.0,121.950987197,89.99,0.0
11980,260010460,19.0,RETANGULAR,32.0,PANELA MINEIRA,50.0,0.0,579.07146077,114.99,0.0
13684,260010426,30.0,OVAL,22.0,FUMIL,42.0,0.0,845.627727585,89.99,0.0
13779,260009948,30.0,RETANGULAR,22.0,PANELA MINEIRA,42.0,0.0,677.509689557,123.75666666666666,0.0
14137,260009948,30.0,RETANGULAR,22.0,PANELA MINEIRA,42.0,0.0,523.246617776,157.5233333333333,0.0
14344,260009862,21.0,RETANGULAR,36.0,PANELA MINEIRA,59.0,0.0,316.830307771,191.29,0.0
14797,260010426,30.0,OVAL,22.0,FUMIL,42.0,0.0,91.2385567418,89.99,1.0
15502,260009948,30.0,RETANGULAR,22.0,PANELA MINEIRA,42.0,0.0,137.588225319,89.99,0.0
16028,259619624,33.0,OVAL,26.0,FUMIL,48.5,0.0,249.32478449299998,27.99,0.0
16283,260010460,19.0,RETANGULAR,32.0,PANELA MINEIRA,50.0,0.0,586.8100639219999,114.99,0.0
16976,259620270,26.0,RETANGULAR,29.0,FUMIL,45.0,1.0,66.5714931708,78.13,0.0
17776,259619624,33.0,OVAL,26.0,FUMIL,48.5,0.0,653.497290721,41.27,1.0
18711,260009948,30.0,RETANGULAR,22.0,PANELA MINEIRA,42.0,0.0,626.848970653,89.99,0.0
19547,260010544,28.0,OVAL,35.0,PANELA MINEIRA,35.0,0.0,61.7564084097,44.99,0.0
20011,260009948,30.0,RETANGULAR,22.0,PANELA MINEIRA,42.0,0.0,142.316940882,43.13,0.0
20927,259619624,33.0,OVAL,26.0,FUMIL,48.5,0.0,609.850217027,41.27,0.0
21548,260010426,30.0,OVAL,22.0,FUMIL,42.0,0.0,845.627727585,36.843333333333334,0.0
22513,260010544,28.0,OVAL,35.0,PANELA MINEIRA,35.0,0.0,975.996092843,32.416666666666664,0.0
23274,259619624,33.0,OVAL,26.0,FUMIL,48.5,0.0,935.840212322,27.99,0.0
24101,259619624,33.0,OVAL,26.0,FUMIL,48.5,0.0,252.61578742400002,41.27,0.0
26273,260009862,21.0,RETANGULAR,36.0,PANELA MINEIRA,59.0,0.0,746.769976435,134.99,0.0
26812,260010426,30.0,OVAL,22.0,FUMIL,42.0,0.0,716.129550852,94.99,0.0
27091,259619624,33.0,OVAL,26.0,FUMIL,48.5,0.0,699.8354560539999,112.49000000000001,0.0
27102,259620270,26.0,RETANGULAR,29.0,FUMIL,45.0,1.0,121.718420974,129.99,0.0
27185,260010544,28.0,OVAL,35.0,PANELA MINEIRA,35.0,0.0,161.037593657,44.99,0.0
27570,260007344,30.0,OVAL,22.0,FUMIL,42.0,0.0,518.994064246,59.99,1.0
28292,260009862,21.0,RETANGULAR,36.0,PANELA MINEIRA,59.0,0.0,763.823499103,50.63,0.0
28383,259619624,33.0,OVAL,26.0,FUMIL,48.5,0.0,639.598098104,41.27,0.0
29870,260009948,30.0,RETANGULAR,22.0,PANELA MINEIRA,42.0,0.0,906.0105493230001,34.63,0.0
29995,259619624,33.0,OVAL,26.0,FUMIL,48.5,0.0,953.853012425,27.99,0.0
