,ITEM_ID,FORMATO,LARGURA,PROFUNDIDADE,SESSION_ID,ITEM_PRICE,INTERESTED
74,260012112,QUADRADO,25.0,34.0,806.380671507,55.96,0.0
277,260011742,REDONDO,29.0,38.0,810.622007533,44.99,0.0
323,260007152,REDONDO,25.0,34.0,998.096207599,49.87,0.0
823,260012220,QUADRADO,25.0,34.0,18.1477627477,44.99,0.0
829,260007152,REDONDO,25.0,34.0,546.784851979,41.99,0.0
963,260012198,QUADRADO,29.0,38.0,921.904545669,41.4110526316,0.0
1054,260007152,REDONDO,25.0,34.0,434.883961916,40.8321052632,0.0
1073,260012112,QUADRADO,25.0,34.0,822.482194443,55.96,0.0
1081,260007152,REDONDO,25.0,34.0,24.1082416463,55.96,0.0
1190,260012112,QUADRADO,25.0,34.0,811.48108599,55.96,0.0
1595,260007152,REDONDO,25.0,34.0,695.323607202,49.87,0.0
1625,260007152,REDONDO,25.0,34.0,236.90535545,41.99,0.0
1693,260012112,QUADRADO,25.0,34.0,38.2201031263,37.99,0.0
1739,260012112,QUADRADO,25.0,34.0,38.0674917597,55.96,0.0
1857,260012198,QUADRADO,29.0,38.0,137.952987164,47.99,0.0
2084,260007152,REDONDO,25.0,34.0,620.786426934,37.99,0.0
2263,260012198,QUADRADO,29.0,38.0,879.04178328,40.795555555549996,0.0
2445,260012220,QUADRADO,25.0,34.0,640.721414571,43.601111111099996,0.0
2779,260007152,REDONDO,25.0,34.0,246.02851297799998,49.87,0.0
3022,260007152,REDONDO,25.0,34.0,659.6677800880001,41.99,0.0
3301,260012112,QUADRADO,25.0,34.0,736.177476237,37.99,0.0
3331,260012198,QUADRADO,29.0,38.0,296.721144413,37.99,0.0
3738,260012112,QUADRADO,25.0,34.0,576.248007783,37.99,0.0
3875,260012198,QUADRADO,29.0,38.0,696.275695582,47.99,0.0
4747,260012198,QUADRADO,29.0,38.0,779.413719272,46.49,0.0
5052,260012220,QUADRADO,25.0,34.0,847.180284755,44.99,0.0
5071,260012220,QUADRADO,25.0,34.0,365.33253329,46.49,0.0
5126,260012198,QUADRADO,29.0,38.0,100.27361382,47.99,0.0
5201,260007152,REDONDO,25.0,34.0,291.897387405,49.87,0.0
5206,260011742,REDONDO,29.0,38.0,357.17249354,48.93,0.0
5598,260012198,QUADRADO,29.0,38.0,834.9496420910001,47.99,0.0
6451,260011742,REDONDO,29.0,38.0,345.62001125800003,47.99,0.0
6574,260012198,QUADRADO,29.0,38.0,348.41238466,47.99,0.0
7029,260012198,QUADRADO,29.0,38.0,90.46605876059999,47.99,0.0
