,ITEM_ID,CAPACIDADE_(L),COMPOSICAO,COR,MARCA,PARA_LAVA_LOUCAS,TEMPO_GARANTIA,TEM_FERRO_FUNDIDO,SESSION_ID,ITEM_PRICE,INTERESTED
514,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,588.182435326,95.83,0.0
914,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,177.096692,95.8623333333,0.0
1219,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,872.3767730139999,117.244,0.0
1488,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,165.751583017,95.83,0.0
1899,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,713.162577043,95.83,0.0
2156,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,336.79877579,95.83,0.0
2233,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,364.19902489199995,295.68,0.0
2462,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,903.8755974339999,95.83,0.0
2791,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,347.681106527,276.9,0.0
3062,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,204.001382918,231.6325,0.0
3073,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,655.670869898,186.36499999999998,0.0
3107,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,482.73439952900003,141.09749999999997,0.0
3256,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,919.329917377,95.83,0.0
3287,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,286.437858327,123.10999999999999,0.0
3380,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,786.84293618,150.39,0.0
3400,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,378.500433875,95.83,0.0
3469,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,621.705663752,95.87619047620001,0.0
3509,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,666.504064058,169.44028083013336,0.0
3561,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,926.4092274310001,243.00437118406668,0.0
3654,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,382.18104011599996,316.568461538,0.0
3765,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,598.6997921880001,95.83,0.0
4293,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,90.39542646459999,95.83,0.0
4340,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,287.430366681,95.83,0.0
