,ITEM_ID,COR,MARCA,TEM_FERRO_FUNDIDO,TEM_TAMPA,TIPO_WOK,SESSION_ID,ITEM_PRICE,INTERESTED
10,260008752,PRETO,PANELA MINEIRA,SIM,0.0,NAO,120.436113299,130.899090909,0.0
15,223401814,VERMELHO,CERAFLAME,NAO,1.0,NAO,99.6999024036,248.9,0.0
45,240761194,PRETO,MTA,NAO,1.0,NAO,80.7076651314,188.95,0.0
62,653408,INOX,TRAMONTINA,NAO,0.0,NAO,571.679878281,129.0,0.0
103,255993834,PRETO,DONA CHEFA,NAO,1.0,NAO,649.140796102,62.04,0.0
116,653408,INOX,TRAMONTINA,NAO,0.0,NAO,377.343879345,129.0,0.0
127,240761428,VERMELHO,MTA,NAO,0.0,NAO,392.7021623,149.45,0.0
136,14807836,INOX,TRAMONTINA,NAO,1.0,NAO,861.8047374939999,169.9,1.0
158,14807816,INOX,TRAMONTINA,NAO,1.0,NAO,894.240574127,131.13,0.0
161,255995322,PRETO,DONA CHEFA,NAO,1.0,NAO,49.6685305578,118.055,0.0
180,653424,INOX,TRAMONTINA,NAO,0.0,NAO,703.4479465539999,104.98,0.0
202,257104554,LARANJA,HERCULES,SIM,0.0,NAO,424.329037479,444.02,0.0
215,259733592,PRETO,PANELA MINEIRA,SIM,0.0,NAO,330.978980573,39.99,0.0
216,239170826,LARANJA,HERCULES,SIM,0.0,NAO,25.112809721199998,93.44999999999999,0.0
223,653424,INOX,TRAMONTINA,NAO,0.0,NAO,677.002818362,146.91,0.0
227,14807836,INOX,TRAMONTINA,NAO,1.0,NAO,271.926621201,215.04,0.0
232,653408,INOX,TRAMONTINA,NAO,0.0,NAO,209.141756236,124.384166667,0.0
239,14807828,INOX,TRAMONTINA,NAO,1.0,NAO,964.661550997,110.9020833335,0.0
241,216538788,INOX,TRAMONTINA,NAO,1.0,NAO,806.3784552430001,97.42,0.0
247,10697168,INOX,TRAMONTINA,NAO,0.0,NAO,460.662603819,131.66,0.0
251,653412,INOX,TRAMONTINA,NAO,0.0,NAO,472.40762581800004,165.9,0.0
254,239171072,PRETO,HERCULES,SIM,0.0,NAO,554.518646701,152.34,0.0
271,10697168,PRETO,TRAMONTINA,NAO,0.0,NAO,501.38047974,138.78,0.0
280,14807828,INOX,TRAMONTINA,NAO,1.0,NAO,602.331544396,125.22,1.0
284,260006906,PRETO,PANELA MINEIRA,SIM,1.0,NAO,753.819740909,71.94,0.0
312,14807820,INOX,TRAMONTINA,NAO,1.0,NAO,35.7000083898,160.082105263,0.0
314,260010140,PRETO,PANELA MINEIRA,SIM,1.0,NAO,834.59728946,63.399090909099996,0.0
319,653244,PRETO,TRAMONTINA,NAO,1.0,NAO,952.971015532,51.1455258467,0.0
334,259733592,PRETO,PANELA MINEIRA,SIM,0.0,NAO,660.736486281,38.8919607843,0.0
336,653424,INOX,TRAMONTINA,NAO,0.0,NAO,380.711146744,138.9,0.0
344,239170826,LARANJA,HERCULES,SIM,0.0,NAO,489.78852456699997,143.95,0.0
345,653412,INOX,TRAMONTINA,NAO,0.0,NAO,670.573548772,149.0,0.0
366,14228752,VERMELHO,TRAMONTINA DESIGN COLLECTION,NAO,1.0,NAO,605.553908663,589.4,0.0
370,239170944,PRETO,HERCULES,SIM,0.0,NAO,844.570213794,182.977777778,0.0
378,653412,INOX,TRAMONTINA,NAO,0.0,NAO,442.970382914,155.95,0.0
402,653412,INOX,TRAMONTINA,NAO,0.0,NAO,574.555000019,149.0,0.0
403,239171072,PRETO,HERCULES,SIM,0.0,NAO,338.858863772,165.99,0.0
405,263053320,VERMELHO,EURO HOME,NAO,0.0,NAO,314.096202009,119.99,0.0
415,260010022,PRETO,PANELA MINEIRA,SIM,1.0,NAO,363.631204419,69.99,1.0
447,260007910,PRETO,PANELA MINEIRA,SIM,1.0,NAO,873.9639526789999,59.99,0.0
448,14807816,INOX,TRAMONTINA,NAO,1.0,NAO,701.2099202530001,94.99000000000001,0.0
456,224110392,PRETO,PRAVA,SIM,1.0,NAO,913.6264755039999,129.99,0.0
463,11418558,INOX,TRAMONTINA,NAO,1.0,NAO,937.65760798,164.99,0.0
466,257168750,INOX,TRAMONTINA,NAO,0.0,NAO,618.835478146,144.95,0.0
469,240761462,VERMELHO,MTA,NAO,0.0,NAO,308.640722105,184.99,1.0
478,218994434,CHOCOLATE,CERAFLAME,NAO,1.0,NAO,114.207834386,204.99,0.0
485,239170944,PRETO,HERCULES,SIM,0.0,NAO,431.429596346,224.99,0.0
487,260006906,PRETO,PANELA MINEIRA,SIM,1.0,NAO,129.867113219,71.94,0.0
488,218994872,VERMELHO,CERAFLAME,NAO,1.0,NAO,200.30818737299998,70.965,0.0
496,260010022,PRETO,PANELA MINEIRA,SIM,1.0,NAO,717.977903155,69.99,0.0
497,240761142,PRETO,MTA,NAO,1.0,NAO,762.951175857,139.99,0.0
510,653372,INOX,TRAMONTINA,NAO,0.0,NAO,576.356001529,127.293823529,0.0
527,260008474,PRETO,FUMIL,SIM,1.0,NAO,47.7766669705,201.14191176449998,0.0
542,239170826,LARANJA,HERCULES,SIM,0.0,NAO,412.609569406,274.99,0.0
555,218994434,CHOCOLATE,CERAFLAME,NAO,1.0,NAO,107.759914742,141.9,0.0
561,239170944,PRETO,HERCULES,SIM,0.0,NAO,382.41243252,115.945,0.0
563,260008186,PRETO,PANELA MINEIRA,SIM,1.0,NAO,342.450167388,89.99,1.0
566,10191276,PRETO,ALUMINIO RAMOS,NAO,0.0,SIM,86.7281974763,124.949375,0.0
580,216538948,INOX,TRAMONTINA,NAO,1.0,NAO,693.5031151860001,159.90875,0.0
604,257526612,AZUL,HAPPYCALL,SIM,0.0,NAO,236.19146466400002,150.619375,0.0
611,216538948,INOX,TRAMONTINA,NAO,1.0,NAO,775.600952905,141.33,0.0
616,257102126,LARANJA,HERCULES,SIM,0.0,NAO,185.209578608,327.16,0.0
629,239170826,LARANJA,HERCULES,SIM,0.0,NAO,360.72861418599996,252.01,0.0
633,653412,INOX,TRAMONTINA,NAO,0.0,NAO,85.4386640195,149.0,0.0
637,225902936,PRETO,JOMAFE,NAO,1.0,NAO,788.858467092,104.495,0.0
638,260006062,PRETO,PANELA MINEIRA,SIM,1.0,NAO,510.33598622,59.99,0.0
664,216538948,INOX,TRAMONTINA,NAO,1.0,NAO,231.81350534799998,154.266666667,0.0
671,653424,INOX,TRAMONTINA,NAO,0.0,NAO,707.869428484,139.562,0.0
676,653384,INOX,TRAMONTINA,NAO,0.0,NAO,829.590091516,166.59400000000002,0.0
680,239170700,BRANCO,HERCULES,SIM,0.0,NAO,276.80593155099996,333.29200000000003,0.0
681,257102254,VERMELHO,HERCULES,SIM,0.0,NAO,17.7993691233,499.99,0.0
682,14807820,INOX,TRAMONTINA,NAO,1.0,NAO,618.835478146,171.01,0.0
