,ITEM_ID,ALTURA,COMPOSICAO,COR,LARGURA,MARCA,PROFUNDIDADE,TEM_FERRO_FUNDIDO,TEM_TAMPA,SESSION_ID,ITEM_PRICE,INTERESTED
77,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,696.817512085,39.99,0.0
81,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,55.6539936478,305.9,0.0
90,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,484.144590055,39.2933333333,0.0
108,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,820.786945417,44.99,0.0
131,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,122.050752284,38.8706521739,0.0
272,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,603.9931627359999,39.7577777778,0.0
305,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,193.93489983400002,39.99,0.0
325,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,407.60177650099996,39.99,0.0
352,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,292.309467954,39.99,0.0
374,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,442.048555282,39.99,0.0
390,260008314,30.0,ALUMINIO,PRETO,51.0,PANELA MINEIRA,51.0,SIM,1.0,424.170501131,139.99,0.0
444,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,743.166506402,305.9,0.0
513,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,522.976058395,40.06,0.0
588,258447356,16.0,ALUMINIO,TURQUESA,21.5,BRINOX,32.5,NAO,1.0,647.38312792,39.56055555555,0.0
653,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,727.0012971589999,39.061111111100004,0.0
775,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,694.144676678,305.9,0.0
962,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,929.347881797,39.99,0.0
1028,14807840,28.2,INOX,INOX,22.5,TRAMONTINA,16.2,NAO,1.0,970.5290798310001,196.99,0.0
1046,14807844,30.5,INOX,INOX,27.0,TRAMONTINA,18.7,NAO,1.0,958.826706122,147.645,0.0
1080,258445072,18.0,ALUMINIO,PRATA,23.5,BRINOX,34.5,NAO,1.0,29.0071338152,98.3,0.0
1101,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,951.3323229560001,344.2975,0.0
1182,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,337.239218988,416.9,0.0
1428,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,607.951006399,39.99,0.0
1467,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,553.6382482719999,39.3746153846,0.0
1481,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,249.33645601799998,39.99,0.0
1530,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,333.05182233700003,39.9593159609,0.0
1566,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,242.573883698,40.2966666667,0.0
1605,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,416.63493719900003,37.9,1.0
1632,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,659.938758584,39.99,0.0
1782,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,797.287136293,39.9593159609,0.0
1832,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,211.341597668,305.9,1.0
2226,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,414.741777925,39.99,1.0
2251,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,224.54929874555,39.7075675676,0.0
2307,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,34.3568195661,44.99,0.0
2310,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,933.2396135439999,41.840339506199996,0.0
2319,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,818.285804911,38.736,0.0
2680,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,191.565332672,37.9,1.0
2816,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,920.53238255,44.99,0.0
2953,260008314,30.0,ALUMINIO,PRETO,51.0,PANELA MINEIRA,51.0,SIM,1.0,890.97715569,139.99,0.0
2994,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,484.379487011,41.8827272727,0.0
3004,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,895.260344123,39.99,0.0
3020,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,708.720867154,44.99,0.0
3052,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,115.770740734,39.2933333333,0.0
3122,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,794.805004688,44.99,1.0
3144,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,787.8849718710001,305.9,0.0
3170,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,872.473621468,309.77,0.0
3210,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,934.011074085,44.99,0.0
3268,14807844,30.5,INOX,INOX,27.0,TRAMONTINA,18.7,NAO,1.0,23.5403847094,260.9,0.0
3525,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,798.580907382,416.9,0.0
3646,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,236.17012876799998,228.445,0.0
3657,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,310.087696211,39.99,0.0
3766,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,421.445411541,39.99,0.0
3799,14807844,30.5,INOX,INOX,27.0,TRAMONTINA,18.7,NAO,1.0,837.3830383530001,256.725,0.0
3897,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,319.41045001099997,305.99214285700003,0.0
4076,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,381.998921161,44.99,0.0
4186,14807840,28.2,INOX,INOX,22.5,TRAMONTINA,16.2,NAO,1.0,627.590815145,174.688387097,0.0
4211,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,395.568543074,37.9,1.0
4333,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,235.12244076734999,39.9531578947,0.0
4466,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,74.6763384607,39.99,0.0
4515,14807844,30.5,INOX,INOX,27.0,TRAMONTINA,18.7,NAO,1.0,461.601389658,256.725,0.0
4622,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,288.069473272,37.99,1.0
4657,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,850.670153418,39.1696178344,0.0
4705,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,935.541853727,305.9,0.0
4770,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,603.742467254,39.9531578947,0.0
4860,258445104,18.0,ALUMINIO,PRATA,25.5,BRINOX,36.3,NAO,1.0,910.92508661,109.99,0.0
4958,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,834.447657958,305.9,0.0
5382,14807840,28.2,INOX,INOX,22.5,TRAMONTINA,16.2,NAO,1.0,238.497127638,174.688387097,0.0
5513,260006468,28.0,INOX,PRETO,37.0,FUMIL,40.0,SIM,1.0,448.08724346800005,107.49,0.0
5574,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,63.212079961,305.9,0.0
5587,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,99.24235077969999,305.9,0.0
5592,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,692.12522129,39.615,0.0
5830,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,906.630214463,44.99,0.0
5911,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,863.179897782,305.99214285700003,0.0
5992,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,608.5422329109999,39.3746153846,0.0
6043,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,523.187799819,41.458775,0.0
6055,14807848,36.0,INOX,INOX,18.1,TRAMONTINA,13.0,NAO,1.0,119.78893880700001,186.615,0.0
6131,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,491.663272487,39.99,0.0
6304,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,747.8596232819999,39.8904761905,0.0
6377,14807844,30.5,INOX,INOX,27.0,TRAMONTINA,18.7,NAO,1.0,189.413943589,236.39,1.0
6432,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,229.237928402,39.99,1.0
6446,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,563.941473805,39.9593159609,0.0
6502,14807840,28.2,INOX,INOX,22.5,TRAMONTINA,16.2,NAO,1.0,568.9136160180001,196.99,0.0
6615,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,669.949493168,305.9,0.0
6630,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,210.526054075,39.99,0.0
6728,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,868.231329665,39.99,0.0
6787,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,382.037403246,305.99214285700003,0.0
6857,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,852.9334539380001,39.3746153846,0.0
6865,258445072,18.0,ALUMINIO,PRATA,23.5,BRINOX,34.5,NAO,1.0,547.560013986,39.6823076923,0.0
6874,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,458.791407027,39.99,0.0
6985,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,743.5397815910001,39.6416666667,0.0
7166,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,924.334080944,39.7488461538,0.0
7209,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,49.02146517600001,39.9025,0.0
7279,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,702.3860880330001,305.9,0.0
7286,260006586,30.0,INOX,PRETO,51.0,PANELA MINEIRA,51.0,SIM,1.0,161.85524292899998,209.99,0.0
7389,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,958.381733674,39.99,0.0
7418,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,136.954515874,39.99,0.0
7515,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,446.208859743,39.99,0.0
7526,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,337.958563453,305.9,0.0
7563,258445104,18.0,ALUMINIO,PRATA,25.5,BRINOX,36.3,NAO,1.0,452.06066879800005,109.678571429,0.0
7680,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,764.157891534,39.571999999999996,0.0
7707,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,356.59676437,39.99,0.0
7757,258447356,16.0,ALUMINIO,TURQUESA,21.5,BRINOX,32.5,NAO,1.0,745.241828318,87.99,0.0
7853,258447356,16.0,ALUMINIO,TURQUESA,21.5,BRINOX,32.5,NAO,1.0,613.239155525,87.99,0.0
7863,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,577.225935678,39.99,0.0
8024,258445104,18.0,ALUMINIO,PRATA,25.5,BRINOX,36.3,NAO,1.0,294.748589969,104.99,0.0
8137,14807840,28.2,INOX,INOX,22.5,TRAMONTINA,16.2,NAO,1.0,97.24525999469999,143.88,0.0
8139,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,741.594377378,40.2966666667,0.0
8370,258445948,18.0,ALUMINIO,TURQUESA,25.5,BRINOX,36.3,NAO,1.0,757.824849373,109.99,0.0
8373,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,820.352087941,44.99,1.0
8408,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,660.971690798,39.99,0.0
8415,258445104,18.0,ALUMINIO,PRATA,25.5,BRINOX,36.3,NAO,1.0,76.3581847747,74.99000000000001,0.0
8501,258445104,18.0,ALUMINIO,PRATA,25.5,BRINOX,36.3,NAO,1.0,156.54809491700001,109.99,1.0
8510,258445104,18.0,ALUMINIO,PRATA,25.5,BRINOX,36.3,NAO,1.0,591.264639253,107.81,0.0
8596,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,532.156471184,39.99,0.0
8699,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,53.8516085108,38.5430769231,0.0
8928,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,653.867956714,39.99,0.0
9186,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,477.83533083199995,306.251818182,0.0
9287,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,784.730706823,173.00479797990002,0.0
9298,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,475.929877405,39.7577777778,0.0
9329,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,516.0808422590001,39.9593159609,0.0
9353,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,444.88529583300004,345.966956522,0.0
9384,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,83.7782103338,39.99,0.0
9510,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,298.547384868,39.2933333333,0.0
9758,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,446.159448166,40.2966666667,0.0
9802,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,254.53935671099998,38.5430769231,0.0
9960,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,967.066520107,39.9531578947,0.0
10010,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,861.4716527410001,358.99,0.0
10123,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,178.06372078400003,39.99,0.0
10144,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,360.596748795,39.99,0.0
10169,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,171.100547461,39.99,1.0
10201,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,861.349123048,39.99,0.0
10532,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,926.153823099,38.438,0.0
10567,260008314,30.0,ALUMINIO,PRETO,51.0,PANELA MINEIRA,51.0,SIM,1.0,679.353794188,139.99,0.0
10584,260006468,28.0,ALUMINIO,PRETO,37.0,FUMIL,40.0,SIM,1.0,347.644525447,104.99,0.0
10597,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,676.52146307,39.99,1.0
10919,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,585.414367947,39.99,0.0
10934,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,280.501608335,305.9,0.0
10958,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,503.447967857,39.99,0.0
11003,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,347.671344671,305.9,0.0
11141,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,102.51891195799999,39.99,0.0
11161,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,626.179866835,39.89,0.0
11228,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,145.23933365,39.2933333333,0.0
11303,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,438.715942317,305.99214285700003,0.0
11550,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,279.871442684,305.9,0.0
11564,14807844,30.5,INOX,INOX,27.0,TRAMONTINA,18.7,NAO,1.0,723.0891779,256.725,0.0
11578,14807840,28.2,INOX,INOX,22.5,TRAMONTINA,16.2,NAO,1.0,637.143873601,150.9,0.0
11605,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,448.789568119,39.99,1.0
11733,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,54.5712515939,44.99,1.0
11758,258445104,18.0,ALUMINIO,PRATA,25.5,BRINOX,36.3,NAO,1.0,446.95147638099996,109.15666666700001,0.0
