,ITEM_ID,ALTURA,COMPOSICAO,LARGURA,MARCA,PROFUNDIDADE,TEM_FERRO_FUNDIDO,TEM_TAMPA,SESSION_ID,ITEM_PRICE,INTERESTED
18,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,144.989045071,32.9,0.0
21,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,399.385289872,30.9037037037,0.0
31,248586318,46.5,INOX,23.5,EURO,65.0,NAO,0.0,164.366791359,99.0,0.0
46,10214452,22.0,INOX,18.0,TRAMONTINA,22.0,NAO,0.0,256.739842784,165.79,1.0
58,10214452,22.0,INOX,18.0,TRAMONTINA,22.0,NAO,0.0,593.979982819,225.9,0.0
66,666178,43.0,INOX,39.0,SUN GUIDER,58.0,NAO,0.0,715.377159812,39.99,0.0
72,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,483.9144903,27.7348076923,0.0
80,239175062,19.5,INOX,19.0,HERCULES,21.0,NAO,0.0,615.332088079,68.6908333333,0.0
85,666178,43.0,INOX,39.0,SUN GUIDER,58.0,NAO,0.0,630.109897151,44.99,0.0
98,248586104,41.5,INOX,20.5,EURO,57.5,NAO,0.0,932.374327678,75.0,0.0
111,239175062,19.5,INOX,19.0,HERCULES,21.0,NAO,0.0,2.95182298765,72.2911363636,0.0
121,241440620,69.5,INOX,23.5,EURO HOME,49.5,NAO,0.0,691.778443368,69.9,0.0
126,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,54.992441993599996,43.5261971831,0.0
129,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,980.97556135,43.5261971831,0.0
138,10697140,31.25,INOX,21.0,TRAMONTINA,41.25,NAO,0.0,918.426697801,178.9,0.0
160,248586190,46.5,INOX,23.5,EURO,64.0,NAO,0.0,444.492463676,79.99,0.0
164,10214452,22.0,INOX,18.0,TRAMONTINA,22.0,NAO,0.0,985.979952558,173.517657658,0.0
165,248586232,46.5,INOX,23.5,EURO,64.0,NAO,0.0,781.6005189089999,106.9,1.0
173,10203506,20.5,INOX,22.5,SUN GUIDER,20.5,NAO,0.0,517.4419293430001,57.2333333333,0.0
175,666178,43.0,INOX,39.0,SUN GUIDER,58.0,NAO,0.0,53.7673738079,39.99,0.0
186,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,437.000265034,30.9037037037,0.0
203,255995418,8.0,ALUMINIO,16.0,DONA CHEFA,20.0,NAO,1.0,286.04480371299996,33.95185185185,0.0
204,666178,43.0,INOX,39.0,SUN GUIDER,58.0,NAO,0.0,449.37269992,37.0,1.0
207,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,938.227001548,40.9,0.0
210,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,74.8035094429,33.6613333333,0.0
248,248586158,46.5,INOX,23.5,EURO,64.0,NAO,0.0,200.100877823,94.03222222219999,0.0
262,248586158,46.5,INOX,23.5,EURO,64.0,NAO,0.0,657.927204646,99.99,0.0
285,241441024,46.5,INOX,23.5,EURO HOME,65.0,NAO,0.0,387.9061627475,78.9333333333,0.0
303,256877514,16.0,INOX,19.0,VEC,19.5,NAO,0.0,117.88512084899999,66.41666666665,0.0
309,256076118,21.0,INOX,19.3,HERCULES,19.3,NAO,0.0,874.7210544710001,53.9,0.0
332,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,314.910384463,32.9,0.0
338,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,481.167124988,28.5754385965,0.0
355,10203506,20.5,INOX,22.5,SUN GUIDER,20.5,NAO,0.0,999.14262537,65.9,0.0
365,256745782,23.0,INOX,20.0,VEC,21.0,NAO,0.0,990.0682837969999,34.99,0.0
379,10214452,22.0,INOX,18.0,TRAMONTINA,22.0,NAO,0.0,60.324616562299994,190.1153125,0.0
380,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,854.43366627,29.410625,0.0
393,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,658.71849891,27.3934375,0.0
413,241441110,46.5,INOX,23.5,EURO HOME,64.0,NAO,0.0,862.637046108,98.7494117647,0.0
416,666178,43.0,INOX,39.0,SUN GUIDER,58.0,NAO,0.0,628.376548734,39.99,0.0
419,248586158,46.5,INOX,23.5,EURO,64.0,NAO,0.0,839.0768121369999,97.0323809524,0.0
440,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,722.947977626,27.7348076923,0.0
449,248586190,46.5,INOX,23.5,EURO,64.0,NAO,0.0,354.24038504199996,82.2122222222,0.0
451,223399954,25.0,INOX,28.0,MIMO STYLE,28.0,NAO,0.0,42.762711444000004,124.40236111109999,0.0
464,10214452,22.0,INOX,18.0,TRAMONTINA,22.0,NAO,0.0,335.962182703,166.5925,0.0
471,248586232,46.5,INOX,23.5,EURO,64.0,NAO,0.0,680.9283485880001,106.9,0.0
482,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,451.70088742300004,26.99,0.0
491,241440620,69.5,INOX,23.5,EURO HOME,49.5,NAO,0.0,99.5016201885,69.9,0.0
511,10214452,22.0,INOX,18.0,TRAMONTINA,22.0,NAO,0.0,623.191803067,299.99,0.0
516,10214452,22.0,INOX,18.0,TRAMONTINA,22.0,NAO,0.0,594.5285857519999,179.0,0.0
517,666178,43.0,INOX,39.0,SUN GUIDER,58.0,NAO,0.0,205.937849361,39.135714285700004,0.0
521,10203506,20.5,INOX,22.5,SUN GUIDER,20.5,NAO,0.0,410.657636906,63.02,0.0
537,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,927.685704941,27.1165686275,0.0
549,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,388.053643375,32.9,0.0
550,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,904.840942935,26.99,0.0
594,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,85.3706685711,30.9037037037,0.0
597,256076118,21.0,INOX,19.3,HERCULES,19.3,NAO,0.0,303.261146729,57.4,0.0
601,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,359.674741378,26.99,1.0
603,241441110,46.5,INOX,23.5,EURO HOME,64.0,NAO,0.0,666.973787726,98.4057142857,0.0
606,10214452,22.0,INOX,18.0,TRAMONTINA,22.0,NAO,0.0,994.155245252,168.374848485,0.0
644,241441078,46.5,INOX,23.5,EURO HOME,65.0,NAO,0.0,331.57547484099996,69.56,0.0
646,10203506,20.5,INOX,22.5,SUN GUIDER,20.5,NAO,0.0,699.857742363,65.79,0.0
647,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,644.605961109,26.99,1.0
649,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,142.796122335,26.99,0.0
652,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,333.804123375,27.1165686275,0.0
661,256877514,16.0,INOX,19.0,VEC,19.5,NAO,0.0,758.701865065,49.9,0.0
667,256719146,23.0,INOX,20.0,VEC,21.0,NAO,1.0,300.67115897,34.64,0.0
677,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,207.253986208,28.5754385965,0.0
696,256719146,23.0,INOX,20.0,VEC,21.0,NAO,1.0,201.007508608,34.8441666667,0.0
705,256877514,16.0,INOX,19.0,VEC,19.5,NAO,0.0,303.36909208599997,49.9,0.0
