,ITEM_ID,ALTURA,COR,LARGURA,MARCA,PROFUNDIDADE,SESSION_ID,ITEM_PRICE,INTERESTED
13,260011902,26.0,PRETO,29.0,FUMIL,45.0,169.873283928,21.99,0.0
20,261894150,19.0,PRETO,32.0,PANELA MINEIRA,50.0,569.566772665,58.495000000000005,0.0
39,261894118,26.0,PRETO,29.0,PANELA MINEIRA,45.0,606.142418071,95.0,0.0
49,260011516,26.0,PRETO,29.0,FUMIL,45.0,775.8981524710001,64.99,0.0
93,260009916,46.0,PRETO,30.0,PANELA MINEIRA,41.0,522.918981423,75.01,1.0
94,261894150,19.0,PRETO,32.0,PANELA MINEIRA,50.0,4.08153070711,242.55,1.0
96,261893940,26.0,PRETO,29.0,PANELA MINEIRA,45.0,897.6014572639999,72.9,0.0
99,260010352,26.0,PRETO,29.0,PANELA MINEIRA,45.0,990.4724973230001,54.99,0.0
130,261898968,30.0,PRETO,51.0,PANELA MINEIRA,51.0,207.486628261,84.99,0.0
145,261894118,26.0,PRETO,29.0,PANELA MINEIRA,45.0,684.803310047,89.9451851852,0.0
181,261894118,26.0,PRETO,29.0,PANELA MINEIRA,45.0,298.894465172,81.9,0.0
244,256332650,36.5,LARANJA,23.5,HERCULES,2.5,355.85858130199995,81.209,0.0
273,261894118,26.0,PRETO,29.0,PANELA MINEIRA,45.0,571.852680855,80.518,0.0
342,261894118,26.0,PRETO,29.0,PANELA MINEIRA,45.0,792.2520647000001,74.99,0.0
343,261901098,21.0,PRETO,36.0,PANELA MINEIRA,59.0,747.077724937,149.99,0.0
349,261894118,26.0,PRETO,29.0,PANELA MINEIRA,45.0,22.682778647800003,81.9,0.0
404,261900884,46.0,PRETO,30.0,PANELA MINEIRA,41.0,734.716258,64.99,0.0
437,261894118,26.0,PRETO,29.0,PANELA MINEIRA,45.0,783.918788223,74.99,0.0
465,261894118,26.0,PRETO,29.0,PANELA MINEIRA,45.0,532.618707381,74.99,0.0
468,261900884,46.0,PRETO,30.0,PANELA MINEIRA,41.0,388.10625535099996,64.99,0.0
484,260010352,26.0,PRETO,29.0,PANELA MINEIRA,45.0,781.049109355,54.99,0.0
508,261894150,19.0,PRETO,32.0,PANELA MINEIRA,50.0,36.0073106177,59.989999999999995,0.0
518,260011516,26.0,PRETO,29.0,FUMIL,45.0,950.4453696530001,64.99,0.0
540,261894118,26.0,PRETO,29.0,PANELA MINEIRA,45.0,187.520109357,74.99,0.0
565,260010384,46.0,PRETO,30.0,FUMIL,41.0,927.550296743,37.99,0.0
620,261901098,21.0,PRETO,36.0,PANELA MINEIRA,59.0,41.2654329251,149.99,0.0
624,261894118,26.0,PRETO,29.0,PANELA MINEIRA,45.0,991.537460623,80.518,0.0
674,261893992,19.0,PRETO,32.0,PANELA MINEIRA,50.0,380.41033742400003,82.75399999999999,0.0
683,261898968,30.0,PRETO,51.0,PANELA MINEIRA,51.0,361.75640201,84.99,0.0
706,261893992,19.0,PRETO,32.0,PANELA MINEIRA,50.0,332.757446854,61.489999999999995,0.0
727,260010384,46.0,PRETO,30.0,FUMIL,41.0,123.664128137,37.99,0.0
730,261894118,26.0,PRETO,29.0,PANELA MINEIRA,45.0,476.174926963,74.99,0.0
747,260010384,46.0,PRETO,30.0,FUMIL,41.0,33.8782495468,37.99,0.0
810,261894118,26.0,PRETO,29.0,PANELA MINEIRA,45.0,238.324661325,95.0,0.0
815,256332650,36.5,LARANJA,23.5,HERCULES,2.5,218.939539661,177.49,0.0
866,260010384,46.0,PRETO,30.0,FUMIL,41.0,386.05741753800004,37.99,0.0
936,261894150,19.0,PRETO,32.0,PANELA MINEIRA,50.0,771.1441754819999,169.99,0.0
938,260010106,46.0,PRETO,30.0,PANELA MINEIRA,41.0,789.926459115,37.99,0.0
944,261893940,26.0,PRETO,29.0,PANELA MINEIRA,45.0,280.109573073,72.9,1.0
951,256332650,36.5,LARANJA,23.5,HERCULES,2.5,576.374828754,169.99,1.0
952,261893992,19.0,PRETO,32.0,PANELA MINEIRA,50.0,556.92358531,99.99,0.0
1004,261893940,26.0,PRETO,29.0,PANELA MINEIRA,45.0,954.06484605,64.99,0.0
1063,261894182,54.0,PRETO,29.0,PANELA MINEIRA,46.0,312.560566049,79.99,0.0
1093,261893992,19.0,PRETO,32.0,PANELA MINEIRA,50.0,605.106539528,72.49,0.0
1112,261893940,26.0,PRETO,29.0,PANELA MINEIRA,45.0,251.892962874,64.99,0.0
1154,261893940,26.0,PRETO,29.0,PANELA MINEIRA,45.0,659.655286832,66.0446666667,0.0
1255,260010106,46.0,PRETO,30.0,PANELA MINEIRA,41.0,755.636512477,37.0852380952,0.0
1299,260010384,46.0,PRETO,30.0,FUMIL,41.0,614.698897442,37.99,0.0
1316,260010352,26.0,PRETO,29.0,PANELA MINEIRA,45.0,383.072097383,107.1,0.0
1365,261900884,46.0,PRETO,30.0,PANELA MINEIRA,41.0,134.226339144,64.99,0.0
1430,260010384,46.0,PRETO,30.0,FUMIL,41.0,241.354406238,37.99,0.0
1570,260010352,26.0,PRETO,29.0,PANELA MINEIRA,45.0,120.898561163,54.99,0.0
1591,256329434,48.0,LARANJA,26.0,HERCULES,2.5,135.274549278,64.99,0.0
1621,261894118,26.0,PRETO,29.0,PANELA MINEIRA,45.0,286.02763749900004,74.99,0.0
1671,261898968,30.0,PRETO,51.0,PANELA MINEIRA,51.0,466.959565979,84.99,0.0
1734,260010384,46.0,PRETO,30.0,FUMIL,41.0,597.546451917,37.99,1.0
1749,261893992,19.0,PRETO,32.0,PANELA MINEIRA,50.0,200.81537970099998,99.99,0.0
1791,261900884,46.0,PRETO,30.0,PANELA MINEIRA,41.0,277.544967443,64.99,0.0
1803,261900884,46.0,PRETO,30.0,PANELA MINEIRA,41.0,61.452927152799994,64.99,0.0
1876,261893940,26.0,PRETO,29.0,PANELA MINEIRA,45.0,190.275892436,68.74,0.0
1898,260010106,46.0,PRETO,30.0,PANELA MINEIRA,41.0,468.926615673,72.49,0.0
1933,261893992,19.0,PRETO,32.0,PANELA MINEIRA,50.0,977.904515952,76.24,0.0
1983,261894182,54.0,PRETO,29.0,PANELA MINEIRA,46.0,65.0305984231,79.99,0.0
1992,261894118,26.0,PRETO,29.0,PANELA MINEIRA,45.0,294.851759576,88.6840425532,0.0
1997,260013714,26.0,PRETO,29.0,FUMIL,45.0,243.36905752400003,86.8370212766,0.0
2008,261898968,30.0,PRETO,51.0,PANELA MINEIRA,51.0,59.6743328803,84.99,0.0
2129,261894118,26.0,PRETO,29.0,PANELA MINEIRA,45.0,661.936836783,74.99,0.0
2150,261894118,26.0,PRETO,29.0,PANELA MINEIRA,45.0,854.800108199,76.372,0.0
2184,260010352,26.0,PRETO,29.0,PANELA MINEIRA,45.0,412.868122949,54.99,0.0
2243,260009916,46.0,PRETO,30.0,PANELA MINEIRA,41.0,157.428028586,59.99,0.0
2253,261894118,26.0,PRETO,29.0,PANELA MINEIRA,45.0,391.531001423,74.99,0.0
2256,261894118,26.0,PRETO,29.0,PANELA MINEIRA,45.0,32.9640256627,97.9266666667,0.0
2294,260010704,46.0,PRETO,30.0,FUMIL,41.0,661.6196138380001,112.53,0.0
2316,261894118,26.0,PRETO,29.0,PANELA MINEIRA,45.0,101.67977921200001,78.445,0.0
2364,260009916,46.0,PRETO,30.0,PANELA MINEIRA,41.0,938.8321233519999,75.01,1.0
2407,261894118,26.0,PRETO,29.0,PANELA MINEIRA,45.0,82.8556307834,74.99,0.0
2410,261893940,26.0,PRETO,29.0,PANELA MINEIRA,45.0,621.3634082359999,64.99,0.0
2442,260010704,46.0,PRETO,30.0,FUMIL,41.0,249.65991194400002,112.53,0.0
2459,261900884,46.0,PRETO,30.0,PANELA MINEIRA,41.0,117.552257016,64.99,0.0
2484,260013586,19.0,PRETO,32.0,PANELA MINEIRA,50.0,357.076072776,299.99,0.0
2512,261894118,26.0,PRETO,29.0,PANELA MINEIRA,45.0,395.915689065,78.445,0.0
2568,260011516,26.0,PRETO,29.0,FUMIL,45.0,184.37937912700002,64.99,0.0
2643,261894118,26.0,PRETO,29.0,PANELA MINEIRA,45.0,527.568921167,74.99,0.0
2650,261894118,26.0,PRETO,29.0,PANELA MINEIRA,45.0,972.44060579,81.9,0.0
2705,260009916,46.0,PRETO,30.0,PANELA MINEIRA,41.0,308.55841621900004,75.01,1.0
2775,260013554,26.0,PRETO,29.0,PANELA MINEIRA,45.0,158.087579747,54.99,0.0
2817,261893992,19.0,PRETO,32.0,PANELA MINEIRA,50.0,391.96596555,99.99,0.0
2858,260010704,46.0,PRETO,30.0,FUMIL,41.0,186.680963004,107.49,0.0
2931,260013628,30.0,PRETO,51.0,FUMIL,51.0,596.466554824,114.99,0.0
2964,261894182,54.0,PRETO,29.0,PANELA MINEIRA,46.0,641.800734594,79.99,0.0
3024,256332650,36.5,LARANJA,23.5,HERCULES,2.5,124.149509569,177.49,0.0
3038,261898968,30.0,PRETO,51.0,PANELA MINEIRA,51.0,697.580817824,84.99,0.0
3040,261894118,26.0,PRETO,29.0,PANELA MINEIRA,45.0,497.69970045699995,74.99,0.0
3127,260010384,46.0,PRETO,30.0,FUMIL,41.0,30.9836470426,37.99,0.0
3151,261900884,46.0,PRETO,30.0,PANELA MINEIRA,41.0,563.624571311,64.99,0.0
3182,261900884,46.0,PRETO,30.0,PANELA MINEIRA,41.0,350.42261296,64.99,0.0
3241,260010384,46.0,PRETO,30.0,FUMIL,41.0,854.304833945,59.989999999999995,0.0
3262,260010352,26.0,PRETO,29.0,PANELA MINEIRA,45.0,251.202572583,54.99,0.0
3307,260011270,30.0,PRETO,51.0,PANELA MINEIRA,51.0,276.272438914,119.99,0.0
3316,261894118,26.0,PRETO,29.0,PANELA MINEIRA,45.0,932.228391746,81.9,0.0
3348,256332650,36.5,LARANJA,23.5,HERCULES,2.5,604.776019639,78.445,0.0
3359,261894118,26.0,PRETO,29.0,PANELA MINEIRA,45.0,963.5016441460001,74.99,0.0
3381,261894118,26.0,PRETO,29.0,PANELA MINEIRA,45.0,221.83128780400003,81.9,0.0
3440,261894118,26.0,PRETO,29.0,PANELA MINEIRA,45.0,852.66031758,74.99,0.0
3445,261900884,46.0,PRETO,30.0,PANELA MINEIRA,41.0,114.04557595600001,64.99,0.0
3520,260010106,46.0,PRETO,30.0,PANELA MINEIRA,41.0,553.762250268,37.99,0.0
3529,260009916,46.0,PRETO,30.0,PANELA MINEIRA,41.0,676.108289813,75.01,0.0
3538,261894118,26.0,PRETO,29.0,PANELA MINEIRA,45.0,259.63330767400004,81.9,0.0
3585,260011302,19.0,PRETO,32.0,FUMIL,50.0,489.901312746,125.94500000000001,0.0
3598,261894150,19.0,PRETO,32.0,PANELA MINEIRA,50.0,834.8556951889999,169.99,0.0
3663,260010384,46.0,PRETO,30.0,FUMIL,41.0,147.794252242,37.99,0.0
3729,261898968,30.0,PRETO,51.0,PANELA MINEIRA,51.0,146.751432085,84.99,0.0
3732,261893992,19.0,PRETO,32.0,PANELA MINEIRA,50.0,756.3385887969999,99.99,0.0
3819,260013662,30.0,PRETO,51.0,PANELA MINEIRA,51.0,30.4553424582,99.99,0.0
3896,261900884,46.0,PRETO,30.0,PANELA MINEIRA,41.0,374.5042732176,64.99,0.0
3899,261893992,19.0,PRETO,32.0,PANELA MINEIRA,50.0,718.553203977,99.99,0.0
3901,260011302,19.0,PRETO,32.0,FUMIL,50.0,810.8549434610001,82.49,0.0
3921,261900884,46.0,PRETO,30.0,PANELA MINEIRA,41.0,863.25307444,64.99,0.0
3931,261893940,26.0,PRETO,29.0,PANELA MINEIRA,45.0,835.4277499089999,64.99,1.0
3932,261894182,54.0,PRETO,29.0,PANELA MINEIRA,46.0,277.88090214700003,79.99,0.0
3957,260010384,46.0,PRETO,30.0,FUMIL,41.0,607.621985196,37.99,0.0
4013,261894118,26.0,PRETO,29.0,PANELA MINEIRA,45.0,217.654154339,74.99,0.0
4100,260010704,46.0,PRETO,30.0,FUMIL,41.0,615.911054936,62.656666666666666,0.0
4110,260010704,46.0,PRETO,30.0,FUMIL,41.0,558.9573446119999,50.32333333333334,0.0
4137,260010384,46.0,PRETO,30.0,FUMIL,41.0,250.116953654,37.99,0.0
4138,261893992,19.0,PRETO,32.0,PANELA MINEIRA,50.0,447.617219817,99.99,0.0
4181,261894118,26.0,PRETO,29.0,PANELA MINEIRA,45.0,717.7636299710001,74.99,0.0
4184,260010384,46.0,PRETO,30.0,FUMIL,41.0,809.6752088710001,37.99,0.0
4192,261894118,26.0,PRETO,29.0,PANELA MINEIRA,45.0,686.545457601,80.518,0.0
4205,260010352,26.0,PRETO,29.0,PANELA MINEIRA,45.0,942.539746743,54.99,0.0
4236,256332650,36.5,LARANJA,23.5,HERCULES,2.5,663.029309203,86.65666666666667,0.0
4319,260011302,19.0,PRETO,32.0,FUMIL,50.0,819.8896255669999,118.32333333333334,0.0
4324,261901098,21.0,PRETO,36.0,PANELA MINEIRA,59.0,442.51639156199997,149.99,0.0
4528,260011902,26.0,PRETO,29.0,FUMIL,45.0,402.999369571,21.99,0.0
4583,260010704,46.0,PRETO,30.0,FUMIL,41.0,440.21454706300005,112.53,0.0
4634,261894118,26.0,PRETO,29.0,PANELA MINEIRA,45.0,825.37482947,76.372,0.0
4644,260010352,26.0,PRETO,29.0,PANELA MINEIRA,45.0,383.287056061,54.99,0.0
4649,256329434,48.0,LARANJA,26.0,HERCULES,2.5,303.35285861799997,249.99,1.0
4670,261894118,26.0,PRETO,29.0,PANELA MINEIRA,45.0,511.21411003099996,76.372,0.0
4696,260011902,26.0,PRETO,29.0,FUMIL,45.0,612.066776276,21.99,0.0
4765,260010704,46.0,PRETO,30.0,FUMIL,41.0,740.651140207,112.53,0.0
