,ITEM_ID,ALTURA,CAPACIDADE_(L),LARGURA,PARA_LAVA_LOUCAS,PESO,PROFUNDIDADE,SESSION_ID,ITEM_PRICE,INTERESTED
1464,14807852,25.3,1.7,18.1,Yes,460.0,10.0,731.57357194,99.45,0.0
1702,10697192,25.3,1.7,18.1,No,460.0,10.0,310.841818506,96.175803571425,0.0
1746,14807852,25.3,1.7,18.1,Yes,460.0,10.0,205.199117857,92.90160714285,0.0
1995,14807856,29.2,3.1,22.5,Yes,585.0,10.6,762.515153832,89.62741071427499,0.0
2012,14807856,29.2,3.1,22.5,Yes,585.0,10.6,100.648610479,86.35321428569999,0.0
2122,14807856,29.2,3.1,22.5,Yes,585.0,10.6,133.741877995,86.35321428569999,0.0
3006,14807852,25.3,1.7,18.1,Yes,460.0,10.0,314.011911636,103.94,0.0
3314,14807852,25.3,1.7,18.1,Yes,460.0,10.0,807.657313242,102.443333333,0.0
3655,14807856,29.2,3.1,22.5,Yes,585.0,10.6,488.755832908,83.44,0.0
4514,14807852,25.3,1.7,18.1,Yes,460.0,10.0,922.870191391,88.99,0.0
5259,10697196,26.080000000000002,5.7,18.98,No,485.0,10.12,948.0675562380001,87.88,0.0
5410,10697196,26.86,5.7,19.86,No,510.0,10.24,958.321818819,86.77,0.0
5676,10697196,27.64,5.7,20.740000000000002,No,535.0,10.36,467.84040731199997,85.66,0.0
5848,10697196,28.419999999999998,5.7,21.62,No,560.0,10.48,820.2614186669999,84.55,0.0
6078,14807856,29.2,3.1,22.5,Yes,585.0,10.6,462.02930579599996,83.44,1.0
6364,14807852,25.3,1.7,18.1,Yes,460.0,10.0,89.08764018219999,105.30625,0.0
6532,10697192,27.25,1.7,20.3,No,522.5,10.3,141.738298049,95.8305324074,0.0
6575,14807856,29.2,3.1,22.5,Yes,585.0,10.6,215.992867729,86.3548148148,0.0
7110,10697192,27.25,1.7,20.3,No,522.5,10.3,189.018907042,95.8305324074,0.0
7598,14807852,25.3,1.7,18.1,Yes,460.0,10.0,951.973600988,105.30625,0.0
7898,14807852,25.3,1.7,18.1,Yes,460.0,10.0,713.872862468,103.94,0.0
7991,14807852,25.3,1.7,18.1,Yes,460.0,10.0,56.695065066400005,52.9,0.0
8283,14807852,25.3,1.7,18.1,Yes,460.0,10.0,808.9978412910001,114.99,0.0
8394,14807856,29.2,3.1,22.5,Yes,585.0,10.6,501.430383629,83.44,0.0
8592,14807856,29.2,3.1,22.5,Yes,585.0,10.6,28.3704292473,83.44,0.0
9136,14807856,29.2,3.1,22.5,Yes,585.0,10.6,113.667912625,86.35321428569999,0.0
9291,14807852,25.3,1.7,18.1,Yes,460.0,10.0,123.508524816,98.17160714285,0.0
9526,14807856,29.2,3.1,22.5,Yes,585.0,10.6,834.0471112260001,109.99,0.0
9842,10697196,27.9,5.7,21.033333333333335,No,543.3333333333334,10.4,592.7303552750001,107.82333333333332,0.0
9892,10697196,26.6,5.7,19.566666666666666,No,501.6666666666667,10.2,351.413599324,105.65666666666667,0.0
9978,14807852,25.3,1.7,18.1,Yes,460.0,10.0,354.853684444,103.49,1.0
9989,14807852,25.3,1.7,18.1,Yes,460.0,10.0,36.8630050269,88.99,0.0
10376,14807852,25.3,1.7,18.1,Yes,460.0,10.0,758.0182957710001,105.79,0.0
10776,14807856,29.2,3.1,22.5,Yes,585.0,10.6,793.914922133,87.01100000000001,0.0
10825,14807852,25.3,1.7,18.1,Yes,460.0,10.0,78.9362113331,99.45,0.0
10903,14807856,29.2,3.1,22.5,Yes,585.0,10.6,553.801468681,86.1576470588,0.0
10931,14807856,29.2,3.1,22.5,Yes,585.0,10.6,730.026118079,87.01100000000001,0.0
11185,10697192,27.25,1.7,20.3,No,522.5,10.3,786.463333681,95.47550000000001,0.0
11721,14807852,25.3,1.7,18.1,Yes,460.0,10.0,842.900549283,103.94,0.0
11854,14807856,29.2,3.1,22.5,Yes,585.0,10.6,941.3130227089999,83.44,0.0
12049,14807852,25.3,1.7,18.1,Yes,460.0,10.0,486.64282084629997,114.99,0.0
12604,14807852,25.3,1.7,18.1,Yes,460.0,10.0,31.9726189836,103.94,0.0
12842,14807856,29.2,3.1,22.5,Yes,585.0,10.6,861.0728851539999,83.44,1.0
13494,14807856,29.2,3.1,22.5,Yes,585.0,10.6,792.8008619310001,83.44,0.0
14577,14807852,25.3,1.7,18.1,Yes,460.0,10.0,858.3171579110001,109.52,1.0
14809,14807852,25.3,1.7,18.1,Yes,460.0,10.0,746.204148208,100.82666666666667,0.0
14847,14807852,25.3,1.7,18.1,Yes,460.0,10.0,130.84996473799998,92.13333333333333,0.0
15112,14807856,29.2,3.1,22.5,Yes,585.0,10.6,631.854262391,83.44,0.0
16312,10697192,29.2,1.7,22.5,No,585.0,10.6,796.6620231039999,83.44,0.0
16692,14807856,29.2,3.1,22.5,Yes,585.0,10.6,537.7575135669999,83.44,0.0
17103,14807856,29.2,3.1,22.5,Yes,585.0,10.6,257.097373155,86.1576470588,0.0
17726,14807856,29.2,3.1,22.5,Yes,585.0,10.6,510.063095739,91.44366946786667,0.0
17738,14807852,25.3,1.7,18.1,Yes,460.0,10.0,192.432481037,96.72969187693333,0.0
18570,14807852,25.3,1.7,18.1,Yes,460.0,10.0,52.152078060200004,102.015714286,0.0
19867,14807856,29.2,3.1,22.5,Yes,585.0,10.6,126.491014405,87.1069565217,0.0
20277,14807852,25.3,1.7,18.1,Yes,460.0,10.0,536.398727469,105.79,0.0
20735,14807856,29.2,3.1,22.5,Yes,585.0,10.6,215.75368462900002,87.2736363636,0.0
21283,14807856,29.2,3.1,22.5,Yes,585.0,10.6,917.025611268,89.99,0.0
21534,14807856,29.2,3.1,22.5,Yes,585.0,10.6,834.88690803,83.44,0.0
21885,14807856,29.2,3.1,22.5,Yes,585.0,10.6,185.74186356400003,86.1576470588,0.0
22730,10697192,27.25,1.7,20.3,No,522.5,10.3,451.694826026,75.5288235294,0.0
22830,14807852,25.3,1.7,18.1,Yes,460.0,10.0,168.55852461799998,64.9,0.0
23187,14807856,29.2,3.1,22.5,Yes,585.0,10.6,930.6398893639999,83.44,0.0
23421,14807856,29.2,3.1,22.5,Yes,585.0,10.6,652.913505093,83.44,0.0
23659,14807856,29.2,3.1,22.5,Yes,585.0,10.6,317.170524558,83.44,0.0
23739,10697192,29.2,1.7,22.5,No,585.0,10.6,784.089564308,83.44,0.0
25580,14807856,29.2,3.1,22.5,Yes,585.0,10.6,110.68984025600001,83.44,0.0
26367,14807852,25.3,1.7,18.1,Yes,460.0,10.0,343.712744732,88.99,0.0
26429,14807856,29.2,3.1,22.5,Yes,585.0,10.6,249.194934474,86.31,1.0
26787,14807856,29.2,3.1,22.5,Yes,585.0,10.6,374.259909325,85.6233333333,0.0
26988,14807856,29.2,3.1,22.5,Yes,585.0,10.6,980.7339460789999,86.3548148148,0.0
27277,14807852,25.3,1.7,18.1,Yes,460.0,10.0,411.058200809,114.99,0.0
27743,14807856,29.2,3.1,22.5,Yes,585.0,10.6,674.6265110019999,87.1069565217,0.0
28412,14807856,29.2,3.1,22.5,Yes,585.0,10.6,646.948561043,83.44,0.0
29553,14807852,25.3,1.7,18.1,Yes,460.0,10.0,580.0849376159999,91.445,0.0
30258,14807852,25.3,1.7,18.1,Yes,460.0,10.0,875.8970172639999,99.45,0.0
31471,14807856,29.2,3.1,22.5,Yes,585.0,10.6,964.526418291,83.44,0.0
31960,14807852,25.3,1.7,18.1,Yes,460.0,10.0,509.05684749,114.99,0.0
32103,10697192,25.3,1.7,18.1,No,460.0,10.0,33.1509218428,111.76208333333334,0.0
32131,10697196,25.3,5.7,18.1,No,460.0,10.0,920.9739416189999,108.53416666666666,0.0
32560,14807852,25.3,1.7,18.1,Yes,460.0,10.0,738.0136180860001,105.30625,0.0
33282,14807852,25.3,1.7,18.1,Yes,460.0,10.0,721.087308218,105.30625,0.0
33494,14807852,25.3,1.7,18.1,Yes,460.0,10.0,493.300864111,98.0175,0.0
33502,10697192,27.25,1.7,20.3,No,522.5,10.3,604.636029223,90.72875,0.0
33604,14807856,29.2,3.1,22.5,Yes,585.0,10.6,89.08764018219999,83.44,0.0
33786,10697196,29.2,5.7,22.5,No,585.0,10.6,944.825028817,83.44,0.0
33888,10697192,29.2,1.7,22.5,No,585.0,10.6,305.098542549,83.44,0.0
33903,14807856,29.2,3.1,22.5,Yes,585.0,10.6,288.61684221400003,83.44,0.0
34160,10697196,29.2,5.7,22.5,No,585.0,10.6,214.57161751599998,84.45722222223333,0.0
34674,10697196,29.2,5.7,22.5,No,585.0,10.6,757.527979898,85.47444444446667,0.0
34693,14807856,29.2,3.1,22.5,Yes,585.0,10.6,122.662527882,86.4916666667,0.0
34875,14807852,25.3,1.7,18.1,Yes,460.0,10.0,401.260208095,88.99,0.0
35066,14807852,25.3,1.7,18.1,Yes,460.0,10.0,397.98757755099996,88.99,0.0
35089,14807856,29.2,3.1,22.5,Yes,585.0,10.6,983.505633389,83.44,0.0
35489,14807856,29.2,3.1,22.5,Yes,585.0,10.6,41.8218329383,86.31,0.0
