,ITEM_ID,CAPACIDADE_(L),SESSION_ID,ITEM_PRICE,INTERESTED
7,788804,0.1,473.772237999,64.84,0.0
685,788804,0.1,261.3282974,59.9,0.0
781,788804,0.1,856.905508832,61.54666666666667,0.0
1525,788804,0.1,204.389447552,63.193333333333335,0.0
1703,788804,0.1,559.729501951,64.84,0.0
2822,788804,0.1,915.06955635,64.84,0.0
3061,788804,0.1,407.74144347699996,62.370000000000005,0.0
3108,788804,0.1,635.003552005,59.9,0.0
3109,788804,0.1,682.8444006230001,64.84,0.0
3435,788804,0.1,200.776375437,60.7233333333,0.0
3768,788804,0.1,689.73090729,62.78166666665,0.0
3924,788804,0.1,627.1006847905,64.84,0.0
3937,788804,0.1,564.470462291,59.9,1.0
4270,10695846,0.09,556.946229394,62.370000000000005,0.0
4421,788804,0.1,809.794386331,64.84,0.0
6115,788804,0.1,710.339814869,59.9,0.0
6117,788804,0.1,116.21775372200001,59.9,0.0
6180,788804,0.1,281.323529235,60.888000000000005,0.0
6210,788804,0.1,532.42225745,60.55866666666667,0.0
6636,788804,0.1,109.86267910299999,60.22933333333334,0.0
6871,788804,0.1,852.6164597889999,59.9,0.0
9239,788804,0.1,657.2647807440001,94.99,0.0
9522,788804,0.1,917.297661427,77.445,0.0
10593,788804,0.1,5.4201341775800005,59.9,0.0
11034,788804,0.1,12.1210772396,59.9,1.0
11079,788804,0.1,507.99761109199994,60.7233333333,0.0
11212,788804,0.1,872.37040426,80.7592307692,0.0
12114,788804,0.1,107.727586645,73.80615384613333,0.0
12816,788804,0.1,967.6477094789999,66.85307692306667,0.0
13679,788804,0.1,951.6149672610001,59.9,0.0
14310,788804,0.1,526.1765984580001,61.135,0.0
14433,788804,0.1,397.085001956,62.370000000000005,0.0
14482,10695850,0.1,93.60376050139999,63.605000000000004,0.0
14632,788804,0.1,456.078233492,64.84,0.0
14703,788804,0.1,341.763056329,59.9,0.0
15394,788804,0.1,428.490297664,60.888000000000005,0.0
15696,788804,0.1,624.640218923,74.9,0.0
15819,788804,0.1,285.980620179,59.9,0.0
16130,788804,0.1,562.470446884,59.9,0.0
16648,788804,0.1,17.0453804921,59.9,0.0
18432,788804,0.1,335.752473064,64.84,0.0
19502,788804,0.1,89.6077209974,60.888000000000005,0.0
20727,788804,0.1,168.159772004,64.84,0.0
20798,788804,0.1,607.293835186,59.9,0.0
20901,788804,0.1,795.273791241,62.370000000000005,0.0
21870,788804,0.1,630.575713869,64.84,0.0
21977,788804,0.1,815.903323621,62.370000000000005,0.0
22070,788804,0.1,346.597310589,59.9,0.0
22403,788804,0.1,867.814451139,62.370000000000005,0.0
22671,788804,0.1,563.3750498019999,64.84,0.0
23096,788804,0.1,987.9228785519999,59.9,0.0
23248,788804,0.1,939.0948742510001,59.9,0.0
23406,788804,0.1,697.744753652,59.9,0.0
23556,788804,0.1,471.60531178300005,64.84,0.0
24399,788804,0.1,238.7889983,64.84,0.0
24457,788804,0.1,475.25266945,89.4433333333,0.0
25048,788804,0.1,691.009986818,77.14166666665,0.0
25892,788804,0.1,312.846780549,64.84,0.0
26789,788804,0.1,300.240742507,64.84,0.0
28535,788804,0.1,774.843097482,59.9,1.0
28803,10695850,0.1,136.767973316,59.9,0.0
29013,788804,0.1,227.669910776,59.9,0.0
29246,788804,0.1,390.842077287,59.9,0.0
30571,788804,0.1,587.116516144,59.9,0.0
30656,788804,0.1,554.946274241,59.9,0.0
30993,788804,0.1,35.934691339299995,64.84,0.0
31139,788804,0.1,374.36005072015,60.7233333333,0.0
31475,788804,0.1,712.785410101,64.0373333333,0.0
33462,788804,0.1,542.6244819359999,67.3513333333,0.0
33673,788804,0.1,429.95189446800003,70.6653333333,0.0
33953,788804,0.1,95.3526538702,73.97933333329999,0.0
34969,788804,0.1,250.99100927400002,77.2933333333,0.0
35067,788804,0.1,300.185669981,80.7592307692,0.0
37433,788804,0.1,164.089192333,72.7996153846,0.0
38362,788804,0.1,871.408108773,64.84,0.0
39263,788804,0.1,670.980826944,59.9,0.0
41125,788804,0.1,547.8939087130001,60.888000000000005,0.0
41203,788804,0.1,864.9405958369999,64.84,0.0
42524,788804,0.1,33.8538618427,64.84,0.0
43567,788804,0.1,605.98852752,64.84,0.0
43674,788804,0.1,463.42418608199995,64.84,0.0
43977,788804,0.1,796.4548711169999,94.99,0.0
45568,788804,0.1,194.957338102,59.9,0.0
45918,788804,0.1,550.572677592,60.888000000000005,0.0
46502,788804,0.1,936.791052468,59.9,0.0
46506,788804,0.1,555.752332223,59.9,0.0
46923,788804,0.1,584.661348032,59.9,0.0
47579,788804,0.1,806.236159157,64.84,0.0
47694,788804,0.1,5.353213952230001,64.84,0.0
48740,788804,0.1,155.274231989,64.84,0.0
49050,788804,0.1,446.78742829,64.84,0.0
49098,788804,0.1,255.60431900400002,64.84,0.0
49242,788804,0.1,699.857742363,89.4433333333,0.0
49316,788804,0.1,231.947912791,59.9,1.0
49572,788804,0.1,892.7998268260001,59.9,0.0
51194,788804,0.1,432.98807463400004,64.84,0.0
51288,788804,0.1,310.867179743,63.193333333333335,0.0
51883,788804,0.1,850.642142254,61.54666666666667,0.0
51996,788804,0.1,581.054283117,59.9,0.0
52057,788804,0.1,161.190864145,59.9,0.0
52149,788804,0.1,614.40837495,80.7592307692,0.0
52777,788804,0.1,40.2822385936,59.9,0.0
53186,788804,0.1,901.218162388,59.9,0.0
53271,788804,0.1,278.292066444,59.9,0.0
54635,788804,0.1,831.67361375,59.9,0.0
54723,788804,0.1,697.8944148180001,59.9,0.0
55720,788804,0.1,998.322723903,62.370000000000005,0.0
56434,788804,0.1,160.904585284,64.84,0.0
56789,788804,0.1,911.9154277719999,59.9,0.0
56819,788804,0.1,361.035100729,64.84,0.0
57602,788804,0.1,77.5024414709,64.84,0.0
58402,788804,0.1,252.66601392,59.9,0.0
59077,788804,0.1,375.351293301,64.84,0.0
60157,788804,0.1,809.6107381710001,59.9,0.0
62677,788804,0.1,860.96587028,62.370000000000005,0.0
62687,788804,0.1,711.132534177,64.84,0.0
62979,788804,0.1,825.50948631,64.84,0.0
63343,788804,0.1,635.7937397019999,77.14166666665,0.0
63579,788804,0.1,825.277970717,89.4433333333,0.0
64094,788804,0.1,734.429446125,94.99,0.0
64418,788804,0.1,163.10692875200002,64.84,0.0
66044,788804,0.1,791.095954075,64.84,0.0
66193,788804,0.1,383.11061175099996,80.7592307692,0.0
66329,788804,0.1,767.77749142,70.3296153846,0.0
66699,788804,0.1,340.910539672,59.9,1.0
66989,788804,0.1,390.842077287,59.9,0.0
67715,788804,0.1,969.99261375,59.9,0.0
67850,788804,0.1,289.43963928700003,60.888000000000005,0.0
68826,788804,0.1,543.439272192,59.9,0.0
69376,788804,0.1,254.089614623,64.84,0.0
69937,788804,0.1,726.975853048,59.9,0.0
70347,788804,0.1,633.500135038,60.888000000000005,0.0
70529,788804,0.1,184.761007898,94.99,1.0
71167,788804,0.1,316.78125038900004,89.9675,0.0
71219,788804,0.1,397.99276343800005,84.945,0.0
71306,788804,0.1,994.24614445,79.9225,0.0
71878,788804,0.1,824.084864522,74.9,0.0
72134,788804,0.1,625.269572105,59.9,0.0
72382,788804,0.1,591.098015592,60.174444444433334,0.0
72693,788804,0.1,443.44086457099996,60.44888888886666,0.0
73123,788804,0.1,376.20165329300005,60.7233333333,0.0
73222,788804,0.1,980.5119349239999,59.9,0.0
74200,788804,0.1,247.885159478,59.9,0.0
74401,788804,0.1,797.2268694989999,59.9,0.0
75076,788804,0.1,318.909862696,64.84,0.0
75164,788804,0.1,303.58508157299997,64.84,0.0
77357,788804,0.1,163.872652841,64.84,0.0
77477,788804,0.1,532.9527956019999,64.84,0.0
78450,788804,0.1,150.233237893,64.84,0.0
79380,788804,0.1,102.211766737,64.84,0.0
80349,788804,0.1,743.0246446360001,64.84,0.0
82636,788804,0.1,163.01382853,64.84,0.0
83534,788804,0.1,508.180307641,63.605000000000004,0.0
84029,788804,0.1,808.521280066,62.370000000000005,0.0
84095,788804,0.1,455.672045057,61.135,0.0
84137,788804,0.1,308.384289831,59.9,0.0
84751,788804,0.1,332.1866286,59.9,0.0
85123,788804,0.1,440.839031985,59.9,0.0
85222,788804,0.1,699.953908867,59.9,0.0
85538,788804,0.1,747.0115963430001,59.9,0.0
86382,788804,0.1,255.858963885,77.445,0.0
86588,788804,0.1,587.116516144,94.99,0.0
87591,788804,0.1,289.513427512,64.84,1.0
87838,788804,0.1,101.551582853,59.9,0.0
88099,788804,0.1,123.379310421,59.9,0.0
89516,788804,0.1,606.911760081,71.59666666666666,0.0
90854,788804,0.1,346.78476285425,83.29333333333332,0.0
90893,788804,0.1,86.6577656275,94.99,0.0
90990,788804,0.1,492.20411211699997,84.94,0.0
92776,788804,0.1,390.842077287,74.89,0.0
92858,788804,0.1,973.440918447,64.84,0.0
93249,788804,0.1,358.416770579,64.84,0.0
93284,788804,0.1,753.175641282,80.7592307692,0.0
94396,788804,0.1,770.542892187,87.87461538459999,0.0
95229,788804,0.1,787.910143092,94.99,0.0
96295,788804,0.1,671.315915569,60.888000000000005,0.0
96362,788804,0.1,153.01519075,60.888000000000005,0.0
96484,788804,0.1,480.808642505,60.888000000000005,0.0
96878,788804,0.1,796.406297559,64.84,0.0
96970,788804,0.1,994.994861925,64.84,0.0
96982,788804,0.1,713.4738751,64.84,0.0
97393,788804,0.1,138.205556438,64.84,0.0
97670,788804,0.1,5.48985663428,64.84,0.0
98569,788804,0.1,880.9924454589999,62.370000000000005,0.0
98866,788804,0.1,665.126112114,59.9,0.0
99591,788804,0.1,610.568010375,64.84,0.0
99744,788804,0.1,194.742535033,64.84,0.0
100053,788804,0.1,493.357512185,64.84,0.0
100809,788804,0.1,859.850668469,59.9,0.0
102429,788804,0.1,865.9869406089999,59.9,0.0
102444,788804,0.1,372.30561876800004,64.84,0.0
103980,788804,0.1,936.4181711960001,62.370000000000005,0.0
104115,788804,0.1,109.958514276,59.9,0.0
104176,788804,0.1,251.29282299,64.84,0.0
105114,788804,0.1,696.1377395760001,63.193333333333335,0.0
105555,788804,0.1,46.954399293,61.54666666666667,0.0
105584,788804,0.1,524.269519058,59.9,0.0
107779,788804,0.1,695.434854185,77.2933333333,0.0
108663,788804,0.1,93.60376050139999,58.9,0.0
109125,788804,0.1,117.637544595,60.7233333333,0.0
