,ITEM_ID,ALTURA,LARGURA,MARCA,PROFUNDIDADE,SESSION_ID,ITEM_PRICE,INTERESTED
97,260009596,33.0,26.0,PANELA MINEIRA,48.0,843.206452967,59.99,0.0
114,260010620,28.0,37.0,PANELA MINEIRA,40.0,633.054014727,74.99,0.0
2595,260006342,28.0,37.0,FUMIL,40.0,920.385175355,74.78166666666667,0.0
4130,260006342,28.0,37.0,FUMIL,40.0,128.54567696,74.57333333333332,0.0
4153,260010620,28.0,37.0,PANELA MINEIRA,40.0,902.5179376310001,74.365,0.0
5601,260010620,28.0,37.0,PANELA MINEIRA,40.0,116.28700808200001,74.365,0.0
6109,260010620,28.0,37.0,PANELA MINEIRA,40.0,707.294578829,74.365,0.0
8180,260009596,33.0,26.0,PANELA MINEIRA,48.0,708.1988358360001,59.99,1.0
9013,260006342,28.0,37.0,FUMIL,40.0,151.994969534,64.99,0.0
9102,260006342,28.0,37.0,FUMIL,40.0,18.5117512785,69.99,0.0
10494,260010620,28.0,37.0,PANELA MINEIRA,40.0,836.966835045,74.99,1.0
11325,260009596,33.0,26.0,PANELA MINEIRA,48.0,436.2094811814,69.99,0.0
11336,260009596,33.0,26.0,PANELA MINEIRA,48.0,35.4521273178,64.99,0.0
12354,260009596,33.0,26.0,PANELA MINEIRA,48.0,256.369924202,59.99,0.0
18789,260006342,28.0,37.0,FUMIL,40.0,88.88564917629999,59.99,0.0
20042,260009596,33.0,26.0,PANELA MINEIRA,48.0,500.96853160800003,59.99,0.0
20186,260010620,28.0,37.0,PANELA MINEIRA,40.0,370.14468687500005,74.99,0.0
20506,260010620,28.0,37.0,PANELA MINEIRA,40.0,239.320842142,72.49,0.0
21001,260010620,28.0,37.0,PANELA MINEIRA,40.0,540.348800478,69.99,0.0
21171,260006342,28.0,37.0,FUMIL,40.0,264.24584106599997,72.49,0.0
21292,260007184,28.0,37.0,FUMIL,40.0,73.6683796065,74.99,1.0
24092,260009596,33.0,26.0,PANELA MINEIRA,48.0,428.20749182599997,74.6775,0.0
24142,260010620,28.0,37.0,PANELA MINEIRA,40.0,836.966835045,74.365,0.0
24264,260010620,28.0,37.0,PANELA MINEIRA,40.0,477.499162772,74.99,1.0
24280,260006342,28.0,37.0,FUMIL,40.0,650.2197958190001,67.49,0.0
27538,260009596,33.0,26.0,PANELA MINEIRA,48.0,701.0835878439999,59.99,0.0
29060,260010620,28.0,37.0,PANELA MINEIRA,40.0,640.124954516,74.49,0.0
29621,260009596,33.0,26.0,PANELA MINEIRA,48.0,480.808642505,59.99,0.0
33235,260006342,28.0,37.0,FUMIL,40.0,568.28904167,59.99,0.0
33999,260009596,33.0,26.0,PANELA MINEIRA,48.0,478.27850302,59.99,1.0
36846,260010620,28.0,37.0,PANELA MINEIRA,40.0,627.740706456,59.99,0.0
36900,260006342,28.0,37.0,FUMIL,40.0,88.88564917629999,59.99,0.0
