,ITEM_ID,ALTURA,LARGURA,MARCA,PROFUNDIDADE,SESSION_ID,ITEM_PRICE,INTERESTED
12,242171044,19.0,15.5,TRAMONTINA,22.0,759.721671442,164.9,0.0
28,241440074,62.0,19.0,EURO HOME,41.0,903.138830979,79.9,0.0
144,229170002,18.0,18.0,HERCULES,18.0,176.925733318,99.8655555556,0.0
257,229170002,18.0,18.0,HERCULES,18.0,294.676183485,92.4266666667,0.0
264,256639582,17.0,12.5,BRINOX,25.0,822.756299692,128.9,0.0
350,242171044,19.0,15.5,TRAMONTINA,22.0,817.0004815230001,159.26,0.0
377,242171044,19.0,15.5,TRAMONTINA,22.0,202.99156458299998,163.33,0.0
414,242171044,19.0,15.5,TRAMONTINA,22.0,668.176444295,151.95956044,0.0
461,242171044,19.0,15.5,TRAMONTINA,22.0,410.88855138300005,97.73403947925,0.0
474,258328660,19.7,19.7,AT.HOME,20.2,427.877826105,43.508518518500004,0.0
480,241440074,62.0,19.0,EURO HOME,41.0,402.127183297,49.5,0.0
528,242171044,19.0,15.5,TRAMONTINA,22.0,376.37654048900004,153.111428571,0.0
529,10695626,40.5,17.25,TRAMONTINA,31.5,379.834560782,206.9,0.0
648,241440074,62.0,19.0,EURO HOME,41.0,534.1393893000001,60.9,0.0
659,258328660,19.7,19.7,AT.HOME,20.2,126.56881628,45.987142857100004,0.0
698,242171044,19.0,15.5,TRAMONTINA,22.0,781.2622729510001,158.963157895,0.0
749,242171044,19.0,15.5,TRAMONTINA,22.0,56.8571758483,169.196,0.0
764,229170002,18.0,18.0,HERCULES,18.0,764.97000606,73.7627777778,0.0
863,256639582,17.0,12.5,BRINOX,25.0,806.945896634,109.9,0.0
901,258328660,19.7,19.7,AT.HOME,20.2,31.6442694354,38.172352941199996,0.0
935,229170002,18.0,18.0,HERCULES,18.0,296.875988448,81.3294890511,0.0
976,241440074,62.0,19.0,EURO HOME,41.0,738.294769362,68.89625,0.0
984,256639582,17.0,12.5,BRINOX,25.0,926.70153245,114.4,0.0
1001,242171044,19.0,15.5,TRAMONTINA,22.0,765.1047288960001,142.0,0.0
1022,258328660,19.7,19.7,AT.HOME,20.2,735.0150298545001,49.99,0.0
1041,258328660,19.7,19.7,AT.HOME,20.2,704.9253308130001,29.9,1.0
1082,241440074,62.0,19.0,EURO HOME,41.0,309.647563924,60.9,0.0
1088,258328660,19.7,19.7,AT.HOME,20.2,506.852619876,49.99,1.0
1099,241440074,62.0,19.0,EURO HOME,41.0,114.17702912,59.859385474899995,0.0
1116,258328660,19.7,19.7,AT.HOME,20.2,443.76491958300005,49.817586206899996,0.0
1196,258328660,19.7,19.7,AT.HOME,20.2,85.0969961279,49.99,1.0
1220,229170002,18.0,18.0,HERCULES,18.0,273.00891617900004,114.9,0.0
1250,241440074,62.0,19.0,EURO HOME,41.0,166.887107505,68.9675,0.0
1259,258328660,19.7,19.7,AT.HOME,20.2,624.1585473069999,39.99,0.0
1260,241440074,62.0,19.0,EURO HOME,41.0,272.06444105,79.9,0.0
1264,256639582,17.0,12.5,BRINOX,25.0,535.974020541,109.9,0.0
1303,242171044,19.0,15.5,TRAMONTINA,22.0,386.530311335,157.38,0.0
1326,258328660,19.7,19.7,AT.HOME,20.2,229.68896505700002,39.99,1.0
1349,241440074,62.0,19.0,EURO HOME,41.0,200.594804773,68.24,0.0
1357,242171044,19.0,15.5,TRAMONTINA,22.0,67.6124678001,157.38,0.0
1384,242171044,19.0,15.5,TRAMONTINA,22.0,690.917316723,157.38,0.0
1386,256639582,17.0,12.5,BRINOX,25.0,719.035778962,109.9,1.0
1403,241440074,62.0,19.0,EURO HOME,41.0,51.0702512983,70.4,0.0
1407,10695626,39.5,15.75,TRAMONTINA,33.0,988.011956945,207.975,0.0
1463,256639582,17.0,12.5,BRINOX,25.0,832.0957195589999,109.9,0.0
1465,241440074,62.0,19.0,EURO HOME,41.0,991.239526271,60.0666666667,0.0
1489,241440074,62.0,19.0,EURO HOME,41.0,904.8531749480001,74.99,0.0
1500,229170002,18.0,18.0,HERCULES,18.0,39.019280445599996,85.335106383,0.0
1504,242171044,19.0,15.5,TRAMONTINA,22.0,913.738700813,146.6550531915,0.0
1535,10695626,19.233333333333334,16.9,TRAMONTINA,21.4,878.256501785,207.975,0.0
1581,10695626,19.466666666666665,18.3,TRAMONTINA,20.8,657.821866742,177.9,0.0
1648,258328660,19.7,19.7,AT.HOME,20.2,175.211987093,39.99,1.0
1656,10695626,40.849999999999994,19.35,TRAMONTINA,30.6,242.99164324400002,208.58,0.0
1670,241440074,62.0,19.0,EURO HOME,41.0,140.516746272,60.9,0.0
1728,258328660,19.7,19.7,AT.HOME,20.2,506.09346761300003,49.817586206899996,0.0
1736,241440074,62.0,19.0,EURO HOME,41.0,161.090913604,79.9,0.0
1760,10695626,39.5,15.75,TRAMONTINA,33.0,536.267902837,206.9,0.0
1768,256639582,17.0,12.5,BRINOX,25.0,804.2080239430001,114.4,0.0
1790,258328660,19.7,19.7,AT.HOME,20.2,572.958081611,49.99,1.0
1795,258328660,19.7,19.7,AT.HOME,20.2,753.5054796630001,47.7677777778,0.0
1813,256639582,17.0,12.5,BRINOX,25.0,385.92826058199995,109.9,0.0
1818,256639582,17.0,12.5,BRINOX,25.0,610.197356391,109.9,0.0
1842,229170002,18.0,18.0,HERCULES,18.0,65.19718469850001,64.5,0.0
1860,256639582,17.0,12.5,BRINOX,25.0,133.030551288,109.9,1.0
1880,241440074,62.0,19.0,EURO HOME,41.0,47.5161245206,79.9,0.0
1926,242171044,19.0,15.5,TRAMONTINA,22.0,370.983420236,159.88666666700001,0.0
1935,242171044,19.0,15.5,TRAMONTINA,22.0,964.219780873,132.5,0.0
1987,229170002,18.0,18.0,HERCULES,18.0,32.7214093662,81.9,0.0
1994,258328660,19.7,19.7,AT.HOME,20.2,78.638238995,49.99,0.0
2018,241440074,62.0,19.0,EURO HOME,41.0,686.3823352119999,60.9,0.0
2063,241440074,62.0,19.0,EURO HOME,41.0,695.925869395,79.9,1.0
2066,242171044,19.0,15.5,TRAMONTINA,22.0,450.86003892300005,159.88666666700001,0.0
2095,258328660,19.7,19.7,AT.HOME,20.2,52.9274185979,39.99,0.0
2103,256639582,17.0,12.5,BRINOX,25.0,648.137305104,135.23,0.0
2108,229170002,18.0,18.0,HERCULES,18.0,157.303903324,99.99,0.0
2117,241440074,62.0,19.0,EURO HOME,41.0,200.611269191,74.2809271523,0.0
2119,256639582,17.0,12.5,BRINOX,25.0,269.529830443,108.272857143,0.0
2145,241440074,62.0,19.0,EURO HOME,41.0,212.82773374400003,52.5233333333,0.0
2161,10695626,47.666666666666664,17.833333333333332,TRAMONTINA,34.666666666666664,984.030384721,207.975,0.0
2169,10695626,33.33333333333333,16.666666666666668,TRAMONTINA,28.333333333333336,717.5298593030001,209.0,0.0
2174,242171044,19.0,15.5,TRAMONTINA,22.0,331.526984867,161.18673913,0.0
2179,241440074,62.0,19.0,EURO HOME,41.0,109.812784375,55.9,0.0
2197,258328660,19.7,19.7,AT.HOME,20.2,638.089594972,43.508518518500004,0.0
2276,258328660,19.7,19.7,AT.HOME,20.2,39.3222851941,39.99,0.0
2287,229170002,18.0,18.0,HERCULES,18.0,167.835036425,92.9957142857,0.0
2355,241440074,62.0,19.0,EURO HOME,41.0,633.519378031,79.9,0.0
