,ITEM_ID,ALTURA,COMPOSICAO,COR,LARGURA,MARCA,PROFUNDIDADE,TEM_TAMPA,ITEM_PRICE,INTERESTED
2,218228122,24.0,INOX,INOX,20.0,LA CUISINE,20.0,1.0,139.99,0.0
24,218228122,24.0,INOX,INOX,20.0,LA CUISINE,20.0,1.0,127.204285714,0.0
40,218228122,24.0,INOX,INOX,20.0,LA CUISINE,20.0,1.0,131.516315789,0.0
125,253715602,78.25,INOX,INOX,52.75,LA CUISINE,28.75,1.0,169.803186813,0.0
150,218228122,24.0,INOX,INOX,20.0,LA CUISINE,20.0,1.0,133.74,0.0
170,218228122,24.0,INOX,INOX,20.0,LA CUISINE,20.0,1.0,131.516315789,0.0
172,248655628,39.0,INOX,INOX,17.7,HERCULES,39.0,0.0,392.9,0.0
176,218228122,24.0,INOX,INOX,20.0,LA CUISINE,20.0,1.0,131.516315789,0.0
190,258467592,16.5,ALUMINIO,TURQUESA,24.0,BRINOX,34.5,0.0,91.4452941176,0.0
224,218228122,24.0,INOX,INOX,20.0,LA CUISINE,20.0,1.0,130.24,0.0
235,218228122,24.0,INOX,INOX,20.0,LA CUISINE,20.0,1.0,129.99,0.0
278,253715602,78.25,INOX,INOX,52.75,LA CUISINE,28.75,1.0,169.99,0.0
286,11418554,36.0,INOX,INOX,25.5,TRAMONTINA,18.9,0.0,271.54,0.0
292,218228122,24.0,INOX,INOX,20.0,LA CUISINE,20.0,1.0,129.99,0.0
331,218228122,24.0,INOX,INOX,20.0,LA CUISINE,20.0,1.0,141.042631579,0.0
395,253715602,78.25,INOX,INOX,52.75,LA CUISINE,28.75,1.0,169.99,0.0
406,258463516,16.5,ALUMINIO,PRATA,24.0,BRINOX,34.5,0.0,95.2627272727,0.0
425,218228122,24.0,INOX,INOX,20.0,LA CUISINE,20.0,1.0,150.99,0.0
453,218228122,24.0,INOX,INOX,20.0,LA CUISINE,20.0,1.0,134.275714286,0.0
476,218228122,24.0,INOX,INOX,20.0,LA CUISINE,20.0,1.0,129.99,0.0
543,218228122,24.0,INOX,INOX,20.0,LA CUISINE,20.0,1.0,139.99,0.0
564,218228122,24.0,INOX,INOX,20.0,LA CUISINE,20.0,1.0,129.99,1.0
