,ITEM_ID,ALTURA,LARGURA,MARCA,PROFUNDIDADE,SESSION_ID,ITEM_PRICE,INTERESTED
30,216538542,13.0,15.0,TRAMONTINA,14.0,521.559303558,65.0,1.0
91,216538542,13.0,15.0,TRAMONTINA,14.0,296.59612525,65.0,1.0
217,216538542,13.0,15.0,TRAMONTINA,14.0,320.602453197,65.0,0.0
221,216538542,13.0,15.0,TRAMONTINA,14.0,992.758961495,66.275,0.0
236,216538542,13.0,15.0,TRAMONTINA,14.0,844.8672844189999,65.0,0.0
455,258462982,12.0,12.5,BRINOX,18.5,177.87753518099998,65.0,0.0
535,216538542,13.0,15.0,TRAMONTINA,14.0,294.77065695399995,65.0,1.0
596,216538542,13.0,15.0,TRAMONTINA,14.0,411.66377872699996,66.59375,0.0
605,216538542,13.0,15.0,TRAMONTINA,14.0,297.22777574,65.7128571429,0.0
640,216538542,13.0,15.0,TRAMONTINA,14.0,993.588653398,59.0,1.0
720,216538542,13.0,15.0,TRAMONTINA,14.0,29.3799374628,60.2,0.0
733,216538542,13.0,15.0,TRAMONTINA,14.0,844.0833642160001,62.6734693878,0.0
867,258463142,12.0,13.0,BRINOX,17.5,227.80232719,64.4589569161,0.0
903,216538542,13.0,15.0,TRAMONTINA,14.0,891.877988783,66.2444444444,0.0
999,216538542,13.0,15.0,TRAMONTINA,14.0,73.0466952216,65.0,0.0
1058,216538542,13.0,15.0,TRAMONTINA,14.0,935.182858027,64.99,0.0
1095,216538542,13.0,15.0,TRAMONTINA,14.0,269.113951272,65.0,0.0
1160,216538542,13.0,15.0,TRAMONTINA,14.0,869.863130015,66.5,0.0
1207,216538542,13.0,15.0,TRAMONTINA,14.0,810.5960506639999,60.411764705900005,0.0
1228,258464112,13.0,15.0,BRINOX,20.0,927.027503376,42.1,1.0
1249,216538542,13.0,15.0,TRAMONTINA,14.0,934.2986629430001,65.7128571429,0.0
1309,216538542,13.0,15.0,TRAMONTINA,14.0,862.041986447,64.7669230769,0.0
1398,216538542,13.0,15.0,TRAMONTINA,14.0,513.804043184,65.0,1.0
1414,216538542,13.0,15.0,TRAMONTINA,14.0,976.322835018,65.0,1.0
1438,216538542,13.0,15.0,TRAMONTINA,14.0,755.268382439,65.0,1.0
1447,258464390,13.0,15.0,BRINOX,20.0,708.1234368959999,65.83166666665,0.0
1482,216538542,13.0,15.0,TRAMONTINA,14.0,660.978491353,66.6633333333,0.0
1509,216538542,13.0,15.0,TRAMONTINA,14.0,99.2449556044,65.1134615385,0.0
1565,216538542,13.0,15.0,TRAMONTINA,14.0,583.550264646,60.411764705900005,0.0
1624,216538542,13.0,15.0,TRAMONTINA,14.0,366.15453593,64.3152631579,0.0
1675,216538542,13.0,15.0,TRAMONTINA,14.0,183.847803686,65.0,0.0
