,ITEM_ID,ALTURA,LARGURA,MARCA,PROFUNDIDADE,SESSION_ID,ITEM_PRICE,INTERESTED
1600,260009020,19.0,32.0,FUMIL,50.0,641.725740344,323.323333333,0.0
1661,261899042,27.0,31.0,PANELA MINEIRA,26.5,712.160596318,199.99,0.0
2398,260009788,27.0,31.0,FUMIL,26.5,487.970994126,184.99,0.0
3742,260009020,19.0,32.0,FUMIL,50.0,952.014241784,299.99,1.0
3859,261899042,27.0,31.0,PANELA MINEIRA,26.5,403.632936602,199.99,0.0
4034,261899042,27.0,31.0,PANELA MINEIRA,26.5,153.546689536,204.495,0.0
4469,260009788,27.0,31.0,FUMIL,26.5,808.867351462,209.0,1.0
6584,260009788,27.0,31.0,FUMIL,26.5,332.108227489,184.99,0.0
7096,260006502,28.0,35.0,PANELA MINEIRA,35.0,52.952806941400006,192.49,0.0
7134,261899042,27.0,31.0,PANELA MINEIRA,26.5,770.443781462,199.99,0.0
7467,260009788,27.0,31.0,FUMIL,26.5,640.124954516,184.99,0.0
7492,260009788,27.0,31.0,FUMIL,26.5,435.793874854,169.99,0.0
8807,260008228,38.0,30.0,PANELA MINEIRA,29.0,424.91972764900004,177.49,0.0
9008,260009788,27.0,31.0,FUMIL,26.5,520.3754585959999,184.99,0.0
9135,260008228,38.0,30.0,PANELA MINEIRA,29.0,673.7556825380001,184.99,0.0
9422,260009020,19.0,32.0,FUMIL,50.0,377.451837534,184.99,0.0
9446,260009788,27.0,31.0,FUMIL,26.5,826.7429449780001,184.99,0.0
9642,260009788,27.0,31.0,FUMIL,26.5,798.200784922,184.99,0.0
10340,260009020,19.0,32.0,FUMIL,50.0,241.354406238,251.24,0.0
10881,260009020,19.0,32.0,FUMIL,50.0,443.303448675,317.49,0.0
10906,260009788,27.0,31.0,FUMIL,26.5,832.05303737,209.0,0.0
11455,260009788,27.0,31.0,FUMIL,26.5,109.98462073299999,184.99,0.0
11552,260009788,27.0,31.0,FUMIL,26.5,608.6584451,189.99,0.0
12310,260009788,27.0,31.0,FUMIL,26.5,178.118819835,194.99,0.0
13737,261899042,27.0,31.0,PANELA MINEIRA,26.5,803.50709298,199.99,0.0
14092,261899042,27.0,31.0,PANELA MINEIRA,26.5,303.71321053599996,199.99,0.0
14160,260006502,28.0,35.0,PANELA MINEIRA,35.0,16.568154909500002,199.99,0.0
14434,260008228,38.0,30.0,PANELA MINEIRA,29.0,222.92951404299998,199.99,0.0
14479,261899042,27.0,31.0,PANELA MINEIRA,26.5,684.154745235,199.99,0.0
14690,260009788,27.0,31.0,FUMIL,26.5,895.1994368119999,209.0,0.0
14779,260008228,38.0,30.0,PANELA MINEIRA,29.0,735.344318393,69.99,0.0
15447,260009788,27.0,31.0,FUMIL,26.5,907.367334384,184.99,0.0
15537,260009020,19.0,32.0,FUMIL,50.0,777.523348364,299.99,0.0
15974,261899042,27.0,31.0,PANELA MINEIRA,26.5,75.5807696796,199.99,0.0
16912,261899042,27.0,31.0,PANELA MINEIRA,26.5,141.772793278,199.99,0.0
17013,260009020,19.0,32.0,FUMIL,50.0,163.681074117,144.945,0.0
17229,260008228,38.0,30.0,PANELA MINEIRA,29.0,644.2376650580001,89.9,0.0
17721,260008228,38.0,30.0,PANELA MINEIRA,29.0,853.6315120639999,108.918,0.0
17729,260009788,27.0,31.0,FUMIL,26.5,176.82700460400002,127.936,0.0
17964,260008228,38.0,30.0,PANELA MINEIRA,29.0,957.231671722,146.954,0.0
18530,260006502,28.0,35.0,PANELA MINEIRA,35.0,21.795802430100004,165.972,0.0
18726,260009788,27.0,31.0,FUMIL,26.5,448.74167835599997,184.99,0.0
19303,261899042,27.0,31.0,PANELA MINEIRA,26.5,383.500539701,199.99,1.0
19349,260006502,28.0,35.0,PANELA MINEIRA,35.0,824.798692457,224.99,0.0
19485,260006502,28.0,35.0,PANELA MINEIRA,35.0,243.504248757,249.99,0.0
20146,260009788,27.0,31.0,FUMIL,26.5,261.115643229,274.99,0.0
20202,260009020,19.0,32.0,FUMIL,50.0,614.973617926,299.99,0.0
20437,260009020,19.0,32.0,FUMIL,50.0,953.662287249,256.6566666666667,0.0
20758,260008228,38.0,30.0,PANELA MINEIRA,29.0,802.4529499,213.32333333333332,0.0
21985,260009788,27.0,31.0,FUMIL,26.5,138.04147287799998,169.99,0.0
22283,260009788,27.0,31.0,FUMIL,26.5,673.496301316,184.99,0.0
22642,260008228,38.0,30.0,PANELA MINEIRA,29.0,114.082372374,69.99,0.0
23179,261899042,27.0,31.0,PANELA MINEIRA,26.5,676.171943941,199.99,0.0
23343,260008228,38.0,30.0,PANELA MINEIRA,29.0,65.9929702556,199.99,0.0
23422,261899042,27.0,31.0,PANELA MINEIRA,26.5,487.51955707800005,199.99,0.0
24033,260006502,28.0,35.0,PANELA MINEIRA,35.0,416.68757641400003,204.495,0.0
24195,260009788,27.0,31.0,FUMIL,26.5,831.023808432,209.0,0.0
25579,260009788,27.0,31.0,FUMIL,26.5,651.629371922,184.99,0.0
