,ITEM_ID,COR,MARCA,PROFUNDIDADE,SESSION_ID,ITEM_PRICE,INTERESTED
35,260008262,VERMELHO,FUMIL,26.5,677.717146739,172.222,0.0
650,260009104,LARANJA,PANELA MINEIRA,26.0,654.222415394,158.74,0.0
2605,260008262,VERMELHO,FUMIL,26.5,172.028996847,172.78,0.0
6357,260008262,VERMELHO,FUMIL,26.5,708.086975047,172.315,0.0
6607,260009104,LARANJA,PANELA MINEIRA,26.0,69.3148945995,157.99,0.0
7223,260008262,VERMELHO,FUMIL,26.5,303.947961554,172.222,0.0
9057,260008262,VERMELHO,FUMIL,26.5,509.107806074,172.222,0.0
9181,260009104,LARANJA,PANELA MINEIRA,26.0,851.056284677,154.99,0.0
10950,260009382,AZUL,PANELA MINEIRA,26.0,143.46099245,154.99,0.0
11059,260009104,LARANJA,PANELA MINEIRA,26.0,419.573818906,154.99,1.0
11843,260008262,VERMELHO,FUMIL,26.5,188.962734172,172.78,0.0
13222,260009104,LARANJA,PANELA MINEIRA,26.0,590.6999726480001,169.99,0.0
14184,260009382,AZUL,PANELA MINEIRA,26.0,694.523645965,171.385,0.0
14903,260008262,VERMELHO,FUMIL,26.5,681.639599783,172.78,0.0
15908,260008262,VERMELHO,FUMIL,26.5,453.555778606,172.78,0.0
22663,260009104,LARANJA,PANELA MINEIRA,26.0,749.6358996280001,154.99,0.0
23503,260008262,VERMELHO,FUMIL,26.5,150.832742833,172.78,0.0
24201,260009382,AZUL,PANELA MINEIRA,26.0,342.949833743,184.31,0.0
25310,260008262,VERMELHO,FUMIL,26.5,444.18438458599996,172.222,0.0
26997,260009382,AZUL,PANELA MINEIRA,26.0,86.9256588409,171.031,0.0
28248,260008262,VERMELHO,FUMIL,26.5,537.848872465,169.84,0.0
30191,260009104,LARANJA,PANELA MINEIRA,26.0,454.32111435300004,169.99,0.0
34050,260009382,AZUL,PANELA MINEIRA,26.0,712.0564566769999,171.106,0.0
34678,260008262,VERMELHO,FUMIL,26.5,329.89060623299997,172.222,0.0
37626,260009382,AZUL,PANELA MINEIRA,26.0,714.858477044,168.14466666666667,0.0
38496,260009382,AZUL,PANELA MINEIRA,26.0,748.8863199110001,164.06733333333335,0.0
40136,260009104,LARANJA,PANELA MINEIRA,26.0,698.3057339869999,159.99,0.0
40182,260009382,AZUL,PANELA MINEIRA,26.0,172.332655545,157.49,0.0
41428,260009104,LARANJA,PANELA MINEIRA,26.0,805.2778663260001,154.99,1.0
41901,260009104,LARANJA,PANELA MINEIRA,26.0,557.994933487,154.99,0.0
41930,260009104,LARANJA,PANELA MINEIRA,26.0,818.506513562,154.99,0.0
41989,260008262,VERMELHO,FUMIL,26.5,936.198867767,172.222,0.0
42123,260008262,VERMELHO,FUMIL,26.5,3.8691060645699995,172.222,0.0
43494,260009104,LARANJA,PANELA MINEIRA,26.0,314.288939051,157.49,0.0
43625,260009104,LARANJA,PANELA MINEIRA,26.0,134.715912369,159.99,0.0
43950,260008262,VERMELHO,FUMIL,26.5,50.5912413176,172.78,0.0
44263,260009382,AZUL,PANELA MINEIRA,26.0,205.295010773,172.78,0.0
45860,260008262,VERMELHO,FUMIL,26.5,602.0226085869999,172.78,0.0
47902,260008262,VERMELHO,FUMIL,26.5,163.865671311,172.78,0.0
48107,260009104,LARANJA,PANELA MINEIRA,26.0,227.387492497,154.99,0.0
51365,260009104,LARANJA,PANELA MINEIRA,26.0,469.81256789,158.74,0.0
51890,260008262,VERMELHO,FUMIL,26.5,26.742287945799998,169.84,0.0
53153,260008262,VERMELHO,FUMIL,26.5,906.6611477580001,169.84,0.0
53280,260009382,AZUL,PANELA MINEIRA,26.0,56.2285944186,166.14000000000001,0.0
54058,260009382,AZUL,PANELA MINEIRA,26.0,514.4507217519999,162.44,0.0
54577,260009104,LARANJA,PANELA MINEIRA,26.0,983.546601462,158.74,0.0
55653,260008262,VERMELHO,FUMIL,26.5,70.8689485085,172.222,0.0
56584,260009382,AZUL,PANELA MINEIRA,26.0,237.211900408,171.428,0.0
56646,260008262,VERMELHO,FUMIL,26.5,323.859719031,170.63400000000001,0.0
57220,260008262,VERMELHO,FUMIL,26.5,753.340724994,169.84,0.0
57437,260008262,VERMELHO,FUMIL,26.5,506.193543736,172.78,0.0
66411,260008262,VERMELHO,FUMIL,26.5,146.044989582,172.222,0.0
68259,260008262,VERMELHO,FUMIL,26.5,406.549423931,178.26600000000002,0.0
68461,260009382,AZUL,PANELA MINEIRA,26.0,516.977162131,184.31,1.0
69186,260009104,LARANJA,PANELA MINEIRA,26.0,172.332655545,158.74,0.0
69741,260008262,VERMELHO,FUMIL,26.5,247.42912505099997,159.365,0.0
72034,260009104,LARANJA,PANELA MINEIRA,26.0,874.0131812110001,159.99,0.0
75150,260009104,LARANJA,PANELA MINEIRA,26.0,726.376533585,158.74,0.0
75310,260009382,AZUL,PANELA MINEIRA,26.0,508.137224488,160.99,0.0
76351,260008262,VERMELHO,FUMIL,26.5,365.283989761,172.222,0.0
77313,260009104,LARANJA,PANELA MINEIRA,26.0,677.717146739,159.99,0.0
77909,260008262,VERMELHO,FUMIL,26.5,172.332655545,172.222,0.0
78105,260009104,LARANJA,PANELA MINEIRA,26.0,279.566207322,172.222,0.0
78479,260008262,VERMELHO,FUMIL,26.5,241.354406238,172.222,0.0
78790,260008262,VERMELHO,FUMIL,26.5,999.56267384,172.78,1.0
80551,260009382,AZUL,PANELA MINEIRA,26.0,451.15264702699994,172.501,0.0
80927,260008262,VERMELHO,FUMIL,26.5,23.4937452346,172.222,0.0
83136,260008262,VERMELHO,FUMIL,26.5,636.2752656069999,172.78,0.0
84550,260009382,AZUL,PANELA MINEIRA,26.0,811.7370498480001,163.885,0.0
85498,260009104,LARANJA,PANELA MINEIRA,26.0,777.8988318280001,154.99,0.0
85521,260009382,AZUL,PANELA MINEIRA,26.0,255.393246031,159.298,0.0
87343,260009382,AZUL,PANELA MINEIRA,26.0,44.9542919908,163.606,0.0
89169,260009104,LARANJA,PANELA MINEIRA,26.0,895.3148801880001,167.91400000000002,0.0
89559,260008262,VERMELHO,FUMIL,26.5,448.71556367,172.222,0.0
90405,260008262,VERMELHO,FUMIL,26.5,951.270518825,172.78,0.0
91682,260009382,AZUL,PANELA MINEIRA,26.0,845.627727585,169.27,0.0
91921,260008262,VERMELHO,FUMIL,26.5,643.884961514,165.76,0.0
93388,260009382,AZUL,PANELA MINEIRA,26.0,297.97619443400004,162.25,0.0
95922,260009104,LARANJA,PANELA MINEIRA,26.0,140.532893317,158.74,0.0
96016,260009382,AZUL,PANELA MINEIRA,26.0,367.633390688,163.42000000000002,0.0
96124,260009104,LARANJA,PANELA MINEIRA,26.0,531.7483140969999,168.1,0.0
97338,260008262,VERMELHO,FUMIL,26.5,327.166271081,172.78,0.0
97449,260009104,LARANJA,PANELA MINEIRA,26.0,201.812822452,172.78,0.0
97794,260009382,AZUL,PANELA MINEIRA,26.0,382.05602204,172.78,0.0
97865,260008262,VERMELHO,FUMIL,26.5,50.9687372378,172.78,0.0
100286,260008262,VERMELHO,FUMIL,26.5,128.515890531,172.222,0.0
100304,260009382,AZUL,PANELA MINEIRA,26.0,260.139361221,172.26850000000002,0.0
100329,260008262,VERMELHO,FUMIL,26.5,102.039595817,172.315,0.0
104736,260008262,VERMELHO,FUMIL,26.5,421.884575314,171.0775,0.0
105761,260008262,VERMELHO,FUMIL,26.5,69.3148945995,169.84,0.0
106173,260009104,LARANJA,PANELA MINEIRA,26.0,578.223959528,169.84,0.0
106980,260008262,VERMELHO,FUMIL,26.5,944.1057951260001,169.84,0.0
107561,260009382,AZUL,PANELA MINEIRA,26.0,290.969616123,184.31,0.0
110309,260009104,LARANJA,PANELA MINEIRA,26.0,346.89619884300004,154.99,0.0
112309,260009104,LARANJA,PANELA MINEIRA,26.0,721.187229161,169.99,0.0
112557,260008262,VERMELHO,FUMIL,26.5,542.316375769,170.734,0.0
113474,260009382,AZUL,PANELA MINEIRA,26.0,119.043823595,171.478,0.0
114869,260008262,VERMELHO,FUMIL,26.5,347.260336264,172.222,0.0
117127,260008262,VERMELHO,FUMIL,26.5,649.845734197,172.78,0.0
119657,260008262,VERMELHO,FUMIL,26.5,448.767905924,172.78,0.0
119975,260009382,AZUL,PANELA MINEIRA,26.0,859.1432966469999,184.31,0.0
