,ITEM_ID,ALTURA,COR,LARGURA,MARCA,PROFUNDIDADE,TEM_TAMPA,SESSION_ID,ITEM_PRICE,INTERESTED
327,261893906,27.0,PRETO,31.0,PANELA MINEIRA,26.5,0.0,174.496484201,54.99,0.0
627,261893906,27.0,PRETO,31.0,PANELA MINEIRA,26.5,0.0,349.328319683,54.99,0.0
933,261893906,27.0,PRETO,31.0,PANELA MINEIRA,26.5,0.0,524.160155165,54.99,0.0
1369,261900938,28.0,PRETO,37.0,PANELA MINEIRA,40.0,0.0,214.003989063,69.99,0.0
1537,261901012,28.0,PRETO,37.0,PANELA MINEIRA,40.0,0.0,348.60621945400004,69.99,0.0
2023,261900938,28.0,PRETO,37.0,PANELA MINEIRA,40.0,0.0,715.370275217,69.99,0.0
2435,261894032,28.0,PRETO,37.0,PANELA MINEIRA,40.0,0.0,384.552129812,84.99,0.0
2957,260009264,28.0,VERMELHO,37.0,PANELA MINEIRA,40.0,0.0,399.10756814900003,47.8370588235,0.0
2991,261894032,28.0,PRETO,37.0,PANELA MINEIRA,40.0,0.0,561.463689007,84.99,0.0
3008,261901012,28.0,PRETO,37.0,PANELA MINEIRA,40.0,0.0,595.045138409,92.5,1.0
3393,261893906,27.0,PRETO,31.0,PANELA MINEIRA,26.5,0.0,628.626587811,54.99,0.0
4061,261900938,28.0,PRETO,37.0,PANELA MINEIRA,40.0,0.0,30.4553424582,69.99,0.0
4477,260006822,28.0,AZUL,37.0,PANELA MINEIRA,40.0,0.0,513.033468116,50.99,0.0
5274,261893906,27.0,PRETO,31.0,PANELA MINEIRA,26.5,0.0,340.044693589,54.99,0.0
5330,261900938,28.0,PRETO,37.0,PANELA MINEIRA,40.0,0.0,628.191784093,69.99,0.0
5610,261894032,28.0,PRETO,37.0,PANELA MINEIRA,40.0,0.0,489.92403574900004,84.99,0.0
5631,261893906,27.0,PRETO,31.0,PANELA MINEIRA,26.5,0.0,561.220412744,54.99,1.0
5637,261893906,27.0,PRETO,31.0,PANELA MINEIRA,26.5,0.0,873.607856768,62.489999999999995,0.0
5686,261901012,28.0,PRETO,37.0,PANELA MINEIRA,40.0,0.0,289.310927157,69.99,1.0
5832,260006940,28.0,LARANJA,37.0,PANELA MINEIRA,40.0,0.0,977.4841450260001,47.99,1.0
6593,261893906,27.0,PRETO,31.0,PANELA MINEIRA,26.5,0.0,612.325727165,54.99,1.0
7381,261901012,28.0,PRETO,37.0,PANELA MINEIRA,40.0,0.0,993.704300337,69.99,0.0
7522,261893906,27.0,PRETO,31.0,PANELA MINEIRA,26.5,0.0,45.658970284,54.99,0.0
