,ITEM_ID,MARCA,TEM_FERRO_FUNDIDO,TEM_TAMPA,TIPO_WOK,SESSION_ID,ITEM_PRICE,INTERESTED
44,259620238,FUMIL,SIM,1.0,NAO,564.899905212,79.99,0.0
51,240761108,MTA,NAO,1.0,NAO,563.837778506,69.56,0.0
53,259619742,FUMIL,SIM,0.0,NAO,168.738302927,59.13,1.0
69,257531582,HAPPYCALL,NAO,0.0,NAO,380.7660948,259.9,0.0
71,242956508,ROCHEDO,NAO,0.0,NAO,230.021755624,30.3655172414,0.0
104,257170702,BRINOX,NAO,0.0,NAO,634.073460249,96.71,0.0
107,11996682,TRAMONTINA,NAO,0.0,NAO,60.529306989700004,142.828,0.0
115,263055906,EURO HOME,NAO,0.0,NAO,594.7951680680001,119.864,0.0
143,13863712,TRAMONTINA,NAO,0.0,NAO,154.74349514600001,96.9,0.0
146,257796924,HAPPYCALL,NAO,0.0,NAO,984.911676212,314.9,0.0
155,240761706,MTA,NAO,0.0,NAO,394.23458440400003,199.0,0.0
163,245841896,EURO,NAO,0.0,NAO,255.91861463900003,34.99,0.0
166,257532432,HAPPYCALL,NAO,0.0,NAO,812.344153045,32.366,0.0
169,257488824,BRINOX,NAO,0.0,NAO,770.7370188460001,29.741999999999997,0.0
178,216538756,TRAMONTINA,NAO,0.0,NAO,145.4375326,29.727999999999998,0.0
193,257531582,HAPPYCALL,NAO,0.0,NAO,847.4863256130001,29.714,0.0
196,242956508,ROCHEDO,NAO,0.0,NAO,603.191376538,29.7,0.0
201,242956508,ROCHEDO,NAO,0.0,NAO,617.315434691,29.7,1.0
209,242956508,ROCHEDO,NAO,0.0,NAO,625.0765210569999,29.7,0.0
214,259619742,FUMIL,SIM,0.0,NAO,71.1833130416,59.13,0.0
220,258462832,BRINOX,NAO,0.0,NAO,170.754148343,62.27,0.0
258,257531582,HAPPYCALL,NAO,0.0,NAO,22.8415985331,288.0,0.0
268,257170702,BRINOX,NAO,0.0,NAO,853.81291449,193.995,0.0
311,255487712,LA CUISINE,NAO,0.0,NAO,604.875368875,99.99,0.0
320,242956508,ROCHEDO,NAO,0.0,NAO,301.427836643,29.7,1.0
324,257165624,BRINOX,NAO,0.0,NAO,348.06926349800005,184.35,0.0
348,257796924,HAPPYCALL,NAO,0.0,NAO,780.331957783,339.0,0.0
359,218994466,CERAFLAME,NAO,1.0,NAO,823.8801625939999,132.9,0.0
361,255487712,LA CUISINE,NAO,0.0,NAO,356.67679300300006,94.3561971831,0.0
362,259619902,FUMIL,SIM,1.0,NAO,630.6741891309999,84.99,0.0
363,257490264,BRINOX,NAO,0.0,NAO,293.737862721,17.99,0.0
383,11996254,TRAMONTINA,NAO,0.0,NAO,463.16970292,185.92,0.0
396,245841962,EURO,NAO,0.0,NAO,269.122365762,34.99,0.0
409,242956508,ROCHEDO,NAO,0.0,NAO,352.733600542,29.7,0.0
428,12099434,TRAMONTINA,NAO,0.0,NAO,501.205175063,25.9,0.0
435,255487712,LA CUISINE,NAO,0.0,NAO,112.064655163,89.99,0.0
445,255487712,LA CUISINE,NAO,0.0,NAO,843.855997473,99.99,1.0
457,255487712,LA CUISINE,NAO,0.0,NAO,285.36680956099997,89.99,0.0
506,11996250,TRAMONTINA,NAO,0.0,NAO,423.20934492199996,91.99739130430001,0.0
509,242956508,ROCHEDO,NAO,0.0,NAO,954.723968966,29.7,0.0
531,259619742,FUMIL,SIM,0.0,NAO,935.637892507,59.13,0.0
533,242956508,ROCHEDO,NAO,0.0,NAO,460.44869771199996,29.7,0.0
551,13863716,TRAMONTINA,NAO,0.0,NAO,663.73646808,161.56,0.0
556,242956508,ROCHEDO,NAO,0.0,NAO,475.38990904300005,29.7,0.0
569,256483588,HERCULES,SIM,0.0,NAO,774.256912895,93.80000000000001,0.0
573,13863716,TRAMONTINA,NAO,0.0,NAO,994.245980085,157.9,0.0
577,13863712,TRAMONTINA,NAO,0.0,NAO,709.169035359,97.26,0.0
587,10697200,TRAMONTINA,NAO,0.0,NAO,953.442609208,74.83666666666667,0.0
591,257531986,HAPPYCALL,NAO,0.0,NAO,998.10163243,52.413333333333334,0.0
610,257488824,BRINOX,NAO,0.0,NAO,654.2785712455,29.99,1.0
634,225902690,JOMAFE,NAO,0.0,NAO,310.455510061,29.845,0.0
654,242956508,ROCHEDO,NAO,0.0,NAO,854.466575826,29.7,0.0
695,12099434,TRAMONTINA,NAO,0.0,NAO,251.364683164,25.9,0.0
718,240761580,MTA,NAO,0.0,NAO,605.359691963,28.845,0.0
728,245841736,EURO,NAO,0.0,NAO,154.114914205,31.79,0.0
729,242956508,ROCHEDO,NAO,0.0,NAO,998.2851915069999,29.7,0.0
731,242956508,ROCHEDO,NAO,0.0,NAO,775.829791442,29.7,0.0
746,11996250,TRAMONTINA,NAO,0.0,NAO,282.135061679,93.9,0.0
752,225903448,JOMAFE,NAO,0.0,NAO,459.29499055800005,89.99,0.0
790,218994466,CERAFLAME,NAO,1.0,NAO,779.838546091,119.9,0.0
805,224111396,PRAVA,SIM,1.0,NAO,274.315241539,92.8707142857,0.0
806,259619742,FUMIL,SIM,0.0,NAO,300.833373043,65.8414285714,0.0
809,240761546,MTA,NAO,0.0,NAO,600.117216889,269.99,0.0
827,245841768,EURO,NAO,0.0,NAO,260.675365757,167.07,0.0
864,216538756,TRAMONTINA,NAO,0.0,NAO,993.565599321,64.15,0.0
872,257488824,BRINOX,NAO,0.0,NAO,980.696526458,26.99,0.0
874,255487712,LA CUISINE,NAO,0.0,NAO,655.354248404,84.7794736842,0.0
881,653352,TRAMONTINA,NAO,0.0,NAO,911.40333596,154.453809524,0.0
904,257488824,BRINOX,NAO,0.0,NAO,950.9931674769999,26.99,0.0
