,ITEM_ID,ALTURA,COR,LARGURA,MARCA,PROFUNDIDADE,TEM_FERRO_FUNDIDO,SESSION_ID,ITEM_PRICE,INTERESTED
434,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,10.777637493699999,49.99,0.0
489,258468188,10.0,PRATA,24.5,BRINOX,39.0,NAO,976.179777907,56.03,0.0
499,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,408.725750295,49.99,0.0
530,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,432.124849955,49.99,0.0
799,257104276,4.7,LARANJA,19.5,HERCULES,33.0,SIM,88.88564917629999,49.99,0.0
824,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,254.370139439,49.99,0.0
921,257104276,4.7,LARANJA,19.5,HERCULES,33.0,SIM,947.104483588,79.99,0.0
1008,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,701.586139018,49.99,0.0
1039,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,647.392826616,49.99,0.0
1118,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,942.5158670610001,49.99,0.0
1192,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,603.5127183669999,49.99,0.0
1348,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,911.704046571,49.99,0.0
1377,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,394.317752506,49.99,0.0
1449,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,165.903779915,49.99,0.0
1678,257104276,4.7,LARANJA,19.5,HERCULES,33.0,SIM,25.798014366700002,114.99,0.0
1851,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,345.79857711,49.99,0.0
1861,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,776.3940935210001,49.99,0.0
1978,257104276,4.7,LARANJA,19.5,HERCULES,33.0,SIM,890.6119686789999,49.99,0.0
2669,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,256.348937102,49.99,0.0
3099,257165678,8.0,VERMELHO,27.0,BRINOX,46.0,NAO,439.12102212599996,49.99,0.0
3369,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,631.382849736,49.99,0.0
3374,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,237.56028735799998,49.99,0.0
3664,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,570.423698866,49.99,0.0
3688,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,537.128145875,49.99,0.0
3815,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,947.104483588,50.2097560976,0.0
3999,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,116.288723676,47.99,0.0
4168,258468188,10.0,PRATA,24.5,BRINOX,39.0,NAO,625.650236672,56.03,1.0
4566,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,112.727228965,49.99,0.0
4743,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,653.693132546,49.99,0.0
5097,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,618.9569317419999,59.0,0.0
5144,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,573.8250113519999,49.99,0.0
5223,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,141.863250878,51.33191489359999,0.0
5342,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,5.45615217826,49.99,0.0
5354,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,408.127735454,49.99,0.0
5370,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,374.86626346099996,49.99,0.0
5575,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,322.447991818,49.99,0.0
6059,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,488.51475005199995,49.99,0.0
6175,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,212.07418914599998,49.99,0.0
6298,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,692.780767352,49.99,0.0
6307,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,462.992868384,49.99,0.0
6620,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,663.311818624,50.2097560976,0.0
6688,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,409.018930995,49.99,0.0
7062,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,971.811611121,49.99,0.0
7146,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,423.267549728,49.99,0.0
7487,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,819.4470354189999,49.99,0.0
7523,257104276,4.7,LARANJA,19.5,HERCULES,33.0,SIM,213.289104262,50.0998780488,0.0
7532,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,509.607686148,50.2097560976,0.0
7627,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,857.050080775,49.99,0.0
7733,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,342.88920708,49.99,0.0
7971,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,387.491785006,49.99,0.0
7993,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,129.589380023,49.99,0.0
8268,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,31.2735822145,49.99,0.0
8326,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,87.36223770379999,49.99,0.0
8556,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,784.54061135,49.99,0.0
8585,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,699.260893331,49.99,0.0
8626,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,319.67013217,49.99,0.0
8772,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,760.45531678,59.0,0.0
8886,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,345.96324959300006,49.99,0.0
9174,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,313.079531224,49.99,0.0
9438,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,908.907601475,51.4297916667,0.0
9499,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,924.542766796,49.99,0.0
9763,257104276,4.7,LARANJA,19.5,HERCULES,33.0,SIM,190.546580712,49.99,0.0
9834,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,219.27664992,49.99,0.0
