,ITEM_ID,ALTURA,COR,FORMATO,LARGURA,PROFUNDIDADE,SESSION_ID,ITEM_PRICE,INTERESTED
56,257077622,6.7,VERMELHO,OVAL,10.4,15.2,83.8194861875,96.5645454545,0.0
1883,256332682,10.0,VERMELHO,REDONDO,4.5,10.1,669.778978616,104.37303030300001,0.0
2180,257104308,8.0,LARANJA,QUADRADO,15.2,19.8,736.53711143,112.1815151515,0.0
2390,257077622,6.7,VERMELHO,OVAL,10.4,15.2,716.646691617,119.99,0.0
2661,257073782,8.5,LARANJA,REDONDO,15.6,17.0,238.80109754400002,172.49,0.0
3202,257073782,8.5,LARANJA,REDONDO,15.6,17.0,391.30518753300004,224.99,0.0
4021,257077622,6.7,VERMELHO,OVAL,10.4,15.2,911.292344336,119.99,0.0
6258,257077622,6.7,VERMELHO,OVAL,10.4,15.2,788.743084162,119.99,0.0
6547,257077622,6.7,VERMELHO,OVAL,10.4,15.2,132.043171557,119.99,0.0
6884,257077622,6.7,VERMELHO,OVAL,10.4,15.2,276.310787325,119.99,0.0
7716,257077622,6.7,VERMELHO,OVAL,10.4,15.2,812.830030426,119.99,0.0
7748,257104148,8.3,VERMELHO,REDONDO,15.6,17.0,523.672284616,146.24,0.0
8120,256332682,10.0,VERMELHO,REDONDO,4.5,10.1,337.112965587,172.49,0.0
8656,257104308,8.0,LARANJA,QUADRADO,15.2,19.8,71.7486401781,198.74,0.0
9132,257073782,8.5,LARANJA,REDONDO,15.6,17.0,556.165830494,224.99,0.0
9995,257077622,6.7,VERMELHO,OVAL,10.4,15.2,613.192164575,119.99,0.0
10086,257104308,8.0,LARANJA,QUADRADO,15.2,19.8,296.47846048900004,119.99,0.0
10356,257077622,6.7,VERMELHO,OVAL,10.4,15.2,400.494477893,119.99,0.0
10667,257077622,6.7,VERMELHO,OVAL,10.4,15.2,265.300454294,119.99,0.0
10840,257077622,6.7,VERMELHO,OVAL,10.4,15.2,59.658905956400005,119.99,0.0
11024,257077622,6.7,VERMELHO,OVAL,10.4,15.2,27.9765736706,119.99,1.0
12458,257077622,6.7,VERMELHO,OVAL,10.4,15.2,521.496357741,119.99,0.0
12783,257077622,6.7,VERMELHO,OVAL,10.4,15.2,161.037593657,119.99,0.0
14255,257077622,6.7,VERMELHO,OVAL,10.4,15.2,446.030596188,119.99,0.0
14968,257077622,6.7,VERMELHO,OVAL,10.4,15.2,605.095828295,119.99,0.0
15423,257077622,6.7,VERMELHO,OVAL,10.4,15.2,887.7547364569999,119.99,0.0
16257,257077622,6.7,VERMELHO,OVAL,10.4,15.2,576.683413006,119.99,0.0
16396,257077622,6.7,VERMELHO,OVAL,10.4,15.2,484.698905417,119.99,0.0
16698,257104148,8.3,VERMELHO,REDONDO,15.6,17.0,285.27166704900003,224.99,0.0
17165,257077622,6.7,VERMELHO,OVAL,10.4,15.2,650.2197958190001,119.99,0.0
17746,257077622,6.7,VERMELHO,OVAL,10.4,15.2,291.393194871,96.5645454545,0.0
18134,257077622,6.7,VERMELHO,OVAL,10.4,15.2,833.7898274419999,119.99,0.0
18915,257077622,6.7,VERMELHO,OVAL,10.4,15.2,158.160917151,99.99,0.0
19426,257077622,6.7,VERMELHO,OVAL,10.4,15.2,646.31997256,119.99,0.0
20518,257077622,6.7,VERMELHO,OVAL,10.4,15.2,898.825024253,119.99,0.0
22810,257077622,6.7,VERMELHO,OVAL,10.4,15.2,559.969230709,119.99,0.0
23465,257104148,8.3,VERMELHO,REDONDO,15.6,17.0,511.254337931,224.99,0.0
23594,257077622,6.7,VERMELHO,OVAL,10.4,15.2,911.115432216,119.99,0.0
23653,257077622,6.7,VERMELHO,OVAL,10.4,15.2,929.3388814739999,119.99,0.0
23922,257077622,6.7,VERMELHO,OVAL,10.4,15.2,989.6149120680001,119.99,0.0
24299,257077622,6.7,VERMELHO,OVAL,10.4,15.2,268.90514381,119.99,0.0
24412,257077622,6.7,VERMELHO,OVAL,10.4,15.2,97.23576450559999,119.99,0.0
24432,257073782,8.5,LARANJA,REDONDO,15.6,17.0,645.9114555040001,119.99,0.0
24620,257077622,6.7,VERMELHO,OVAL,10.4,15.2,462.44068013300006,119.99,0.0
24812,256332682,10.0,VERMELHO,REDONDO,4.5,10.1,377.485248641,119.99,0.0
25810,257077622,6.7,VERMELHO,OVAL,10.4,15.2,270.19050971,119.99,0.0
26353,257104308,8.0,LARANJA,QUADRADO,15.2,19.8,888.393244116,119.99,0.0
26482,257077622,6.7,VERMELHO,OVAL,10.4,15.2,144.084229108,119.99,0.0
26542,257104148,8.3,VERMELHO,REDONDO,15.6,17.0,557.149483541,224.99,0.0
27233,257104308,8.0,LARANJA,QUADRADO,15.2,19.8,775.653900633,172.49,0.0
28120,257077622,6.7,VERMELHO,OVAL,10.4,15.2,738.7734886510001,119.99,1.0
28137,257077622,6.7,VERMELHO,OVAL,10.4,15.2,827.3783379160001,119.99,0.0
28322,256332682,10.0,VERMELHO,REDONDO,4.5,10.1,404.587592115,144.99,0.0
28525,257077622,6.7,VERMELHO,OVAL,10.4,15.2,673.073727837,119.99,0.0
28808,256332682,10.0,VERMELHO,REDONDO,4.5,10.1,821.6341940010001,119.99,0.0
29241,257077622,6.7,VERMELHO,OVAL,10.4,15.2,527.583629282,119.99,0.0
29362,257104468,7.9,VERMELHO,QUADRADO,15.0,19.6,472.01448060900003,132.49,0.0
29864,256332682,10.0,VERMELHO,REDONDO,4.5,10.1,312.298130422,144.99,0.0
30108,257077622,6.7,VERMELHO,OVAL,10.4,15.2,790.670608045,136.65666666666667,0.0
30163,256332682,10.0,VERMELHO,REDONDO,4.5,10.1,431.429596346,128.32333333333332,0.0
30398,257077622,6.7,VERMELHO,OVAL,10.4,15.2,969.246032002,119.99,0.0
30558,257073782,8.5,LARANJA,REDONDO,15.6,17.0,781.555977245,119.99,0.0
32296,257077622,6.7,VERMELHO,OVAL,10.4,15.2,634.014108421,119.99,0.0
33251,257077622,6.7,VERMELHO,OVAL,10.4,15.2,509.39958647300006,119.99,0.0
33501,257077622,6.7,VERMELHO,OVAL,10.4,15.2,808.799979535,119.99,0.0
34191,257077622,6.7,VERMELHO,OVAL,10.4,15.2,112.027955096,119.99,0.0
34905,257077622,6.7,VERMELHO,OVAL,10.4,15.2,212.158450555,119.99,0.0
35959,257073782,8.5,LARANJA,REDONDO,15.6,17.0,261.22858375,224.99,0.0
36376,257077622,6.7,VERMELHO,OVAL,10.4,15.2,511.552925048,119.99,0.0
37529,257077622,6.7,VERMELHO,OVAL,10.4,15.2,979.93268624,119.99,0.0
38146,257077622,6.7,VERMELHO,OVAL,10.4,15.2,63.5978408883,119.99,0.0
39600,257077622,6.7,VERMELHO,OVAL,10.4,15.2,488.654185596,119.99,0.0
40425,257077622,6.7,VERMELHO,OVAL,10.4,15.2,74.704388978,119.99,0.0
41344,257077622,6.7,VERMELHO,OVAL,10.4,15.2,522.5972442240001,119.99,0.0
41451,257077622,6.7,VERMELHO,OVAL,10.4,15.2,903.252454745,119.99,0.0
42233,257077622,6.7,VERMELHO,OVAL,10.4,15.2,862.712557177,119.99,0.0
42276,257073782,8.5,LARANJA,REDONDO,15.6,17.0,339.10747737599996,108.27727272725,0.0
42347,257077622,6.7,VERMELHO,OVAL,10.4,15.2,938.82652453,96.5645454545,0.0
42475,257077622,6.7,VERMELHO,OVAL,10.4,15.2,187.21201529,119.99,0.0
44201,257077622,6.7,VERMELHO,OVAL,10.4,15.2,499.817478167,119.99,0.0
44427,257077622,6.7,VERMELHO,OVAL,10.4,15.2,529.118453608,119.99,0.0
45285,256332682,10.0,VERMELHO,REDONDO,4.5,10.1,484.646223786,144.99,0.0
46676,257077622,6.7,VERMELHO,OVAL,10.4,15.2,292.559152359,119.99,0.0
47971,257077622,6.7,VERMELHO,OVAL,10.4,15.2,448.85053469699994,119.99,0.0
48665,257077622,6.7,VERMELHO,OVAL,10.4,15.2,635.272094586,119.99,0.0
50061,257104148,8.3,VERMELHO,REDONDO,15.6,17.0,703.445600538,224.99,0.0
50103,257077622,6.7,VERMELHO,OVAL,10.4,15.2,351.380482114,198.74,0.0
50532,257077622,6.7,VERMELHO,OVAL,10.4,15.2,216.567384788,172.49,0.0
50822,256329340,10.0,LARANJA,REDONDO,4.5,10.1,62.218793677600004,146.24,0.0
50843,257077622,6.7,VERMELHO,OVAL,10.4,15.2,504.88388887599996,119.99,0.0
50876,257077622,6.7,VERMELHO,OVAL,10.4,15.2,274.34038275,119.99,0.0
51117,257077622,6.7,VERMELHO,OVAL,10.4,15.2,127.987556308,119.99,0.0
51917,256332682,10.0,VERMELHO,REDONDO,4.5,10.1,1000.31111322,172.49,0.0
52868,257104148,8.3,VERMELHO,REDONDO,15.6,17.0,215.211461583,224.99,0.0
54030,257104148,8.3,VERMELHO,REDONDO,15.6,17.0,709.3750957369999,224.99,0.0
54189,257077622,6.7,VERMELHO,OVAL,10.4,15.2,387.62344748,119.99,0.0
54252,257077622,6.7,VERMELHO,OVAL,10.4,15.2,805.0611707910001,119.99,0.0
54465,256332682,10.0,VERMELHO,REDONDO,4.5,10.1,300.215942184,128.32333333333332,0.0
56078,257073782,8.5,LARANJA,REDONDO,15.6,17.0,242.379952003,136.65666666666667,0.0
56225,256332682,10.0,VERMELHO,REDONDO,4.5,10.1,100.16088249299999,144.99,0.0
56990,257104148,8.3,VERMELHO,REDONDO,15.6,17.0,594.6876761030001,224.99,1.0
57017,257073782,8.5,LARANJA,REDONDO,15.6,17.0,764.846096012,172.49,0.0
57592,257077622,6.7,VERMELHO,OVAL,10.4,15.2,346.870241407,119.99,0.0
57668,256332682,10.0,VERMELHO,REDONDO,4.5,10.1,210.941726018,144.99,0.0
58237,256332682,10.0,VERMELHO,REDONDO,4.5,10.1,846.1030888160001,144.99,0.0
58405,256332682,10.0,VERMELHO,REDONDO,4.5,10.1,691.9118332310001,144.99,0.0
58921,256329340,10.0,LARANJA,REDONDO,4.5,10.1,412.609569406,136.65666666666667,0.0
59546,257073782,8.5,LARANJA,REDONDO,15.6,17.0,337.397464069,128.32333333333332,0.0
59794,257077622,6.7,VERMELHO,OVAL,10.4,15.2,270.735359172,119.99,0.0
60413,256332682,10.0,VERMELHO,REDONDO,4.5,10.1,819.4170745089999,119.99,0.0
60979,257073782,8.5,LARANJA,REDONDO,15.6,17.0,674.635333341,119.99,0.0
62553,257077622,6.7,VERMELHO,OVAL,10.4,15.2,708.688471327,119.99,0.0
62834,257077622,6.7,VERMELHO,OVAL,10.4,15.2,45.4837639622,96.5645454545,0.0
63069,256329340,10.0,LARANJA,REDONDO,4.5,10.1,363.20576923699997,144.99,0.0
64231,257077622,6.7,VERMELHO,OVAL,10.4,15.2,657.479851756,119.99,0.0
64394,257077622,6.7,VERMELHO,OVAL,10.4,15.2,906.7949718589999,119.99,0.0
64455,257077622,6.7,VERMELHO,OVAL,10.4,15.2,783.125762592,119.99,0.0
64548,257077622,6.7,VERMELHO,OVAL,10.4,15.2,698.6838445110001,119.99,0.0
64573,257073782,8.5,LARANJA,REDONDO,15.6,17.0,893.809750897,119.99,0.0
65077,256332682,10.0,VERMELHO,REDONDO,4.5,10.1,238.463487598,119.99,0.0
66399,257077622,6.7,VERMELHO,OVAL,10.4,15.2,433.25265286,119.99,0.0
66564,257104148,8.3,VERMELHO,REDONDO,15.6,17.0,73.9950699411,119.99,0.0
66657,256332682,10.0,VERMELHO,REDONDO,4.5,10.1,933.1490758089999,119.99,0.0
67237,257077622,6.7,VERMELHO,OVAL,10.4,15.2,844.2013250460001,119.99,0.0
67601,257073782,8.5,LARANJA,REDONDO,15.6,17.0,258.64724099299997,119.99,0.0
68320,257077622,6.7,VERMELHO,OVAL,10.4,15.2,349.480490985,119.99,0.0
68695,257077622,6.7,VERMELHO,OVAL,10.4,15.2,81.7716092404,119.99,0.0
68828,257073782,8.5,LARANJA,REDONDO,15.6,17.0,547.1328693840001,119.99,0.0
68935,257077622,6.7,VERMELHO,OVAL,10.4,15.2,797.881869319,119.99,0.0
69027,257073782,8.5,LARANJA,REDONDO,15.6,17.0,140.772973087,224.99,0.0
69048,257077622,6.7,VERMELHO,OVAL,10.4,15.2,116.16583597299999,119.99,0.0
69954,257104148,8.3,VERMELHO,REDONDO,15.6,17.0,229.950565047,224.99,0.0
70062,257077622,6.7,VERMELHO,OVAL,10.4,15.2,192.00109947400003,119.99,0.0
70325,257077622,6.7,VERMELHO,OVAL,10.4,15.2,300.75082626799997,119.99,0.0
71467,256332682,10.0,VERMELHO,REDONDO,4.5,10.1,619.5895060409999,119.99,0.0
71754,257077622,6.7,VERMELHO,OVAL,10.4,15.2,507.079978366,119.99,0.0
72556,257077622,6.7,VERMELHO,OVAL,10.4,15.2,669.778978616,119.99,0.0
73023,257073782,8.5,LARANJA,REDONDO,15.6,17.0,825.618086066,157.49,0.0
73041,257104148,8.3,VERMELHO,REDONDO,15.6,17.0,44.5835990001,194.99,0.0
73279,257077622,6.7,VERMELHO,OVAL,10.4,15.2,282.72712786799997,110.578235294,0.0
73413,257104148,8.3,VERMELHO,REDONDO,15.6,17.0,530.0977705280001,224.99,0.0
73516,256329340,10.0,LARANJA,REDONDO,4.5,10.1,618.297258965,144.99,1.0
73735,257073782,8.5,LARANJA,REDONDO,15.6,17.0,95.77897224530001,132.49,0.0
73851,257077622,6.7,VERMELHO,OVAL,10.4,15.2,721.169687018,119.99,0.0
73879,257073782,8.5,LARANJA,REDONDO,15.6,17.0,357.141684575,224.99,0.0
74107,257077622,6.7,VERMELHO,OVAL,10.4,15.2,759.103518405,119.99,0.0
74641,257073782,8.5,LARANJA,REDONDO,15.6,17.0,722.9596812230001,172.49,0.0
74892,257104148,8.3,VERMELHO,REDONDO,15.6,17.0,108.572229331,224.99,0.0
76192,257077622,6.7,VERMELHO,OVAL,10.4,15.2,656.776290433,119.99,0.0
76226,257077622,6.7,VERMELHO,OVAL,10.4,15.2,963.919075901,119.99,0.0
76575,257077622,6.7,VERMELHO,OVAL,10.4,15.2,556.258879131,119.99,0.0
77203,257077622,6.7,VERMELHO,OVAL,10.4,15.2,484.646223786,119.99,0.0
78383,257077622,6.7,VERMELHO,OVAL,10.4,15.2,545.622875486,119.99,0.0
79739,257104308,8.0,LARANJA,QUADRADO,15.2,19.8,629.289041258,224.99,0.0
80565,257077622,6.7,VERMELHO,OVAL,10.4,15.2,224.414878705,172.49,0.0
80737,257077622,6.7,VERMELHO,OVAL,10.4,15.2,659.714690379,119.99,0.0
81329,257077622,6.7,VERMELHO,OVAL,10.4,15.2,29.929235537399997,119.99,0.0
