,ITEM_ID,ALTURA,COR,LARGURA,PROFUNDIDADE,ITEM_PRICE,INTERESTED
504,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
776,258469704,7.5,CEREJA,19.0,34.5,48.6046722689,0.0
1019,256646756,7.5,VERMELHO,19.5,32.5,48.6270588235,0.0
1175,258464582,7.0,PRATA,14.5,27.0,60.46852941175,0.0
1311,258469704,7.5,CEREJA,19.0,34.5,72.31,1.0
1382,258463110,7.0,TURQUESA,14.5,27.0,52.29,0.0
1676,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
2329,258464582,7.0,PRATA,14.5,27.0,39.91,0.0
2537,258464582,7.0,PRATA,14.5,27.0,44.266590909099996,0.0
2972,256646756,7.5,VERMELHO,19.5,32.5,48.623181818199996,0.0
3211,256646756,7.5,VERMELHO,19.5,32.5,46.146363636400004,0.0
3319,256646756,7.5,VERMELHO,19.5,32.5,39.99,0.0
3416,258469704,7.5,CEREJA,19.0,34.5,39.95,0.0
3567,258463110,7.0,TURQUESA,14.5,27.0,39.91,0.0
4019,258462918,7.5,TURQUESA,19.5,32.5,56.03,0.0
4049,256646756,7.5,VERMELHO,19.5,32.5,48.623181818199996,0.0
6077,256646756,7.5,VERMELHO,19.5,32.5,48.6627272727,0.0
6797,256646756,7.5,VERMELHO,19.5,32.5,56.03,1.0
6900,256646756,7.5,VERMELHO,19.5,32.5,51.3111764706,0.0
7925,258464550,7.5,PRATA,19.5,32.5,62.9,0.0
8605,256646756,7.5,VERMELHO,19.5,32.5,46.4136,0.0
8916,256646756,7.5,VERMELHO,19.5,32.5,46.4136,0.0
9361,256646756,7.5,VERMELHO,19.5,32.5,49.3518,0.0
11251,258463110,7.0,TURQUESA,14.5,27.0,52.29,1.0
11392,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
11819,258463110,7.0,TURQUESA,14.5,27.0,56.14114285715,0.0
11877,256646756,7.5,VERMELHO,19.5,32.5,63.7,0.0
13040,256646756,7.5,VERMELHO,19.5,32.5,39.99,0.0
13167,256646756,7.5,VERMELHO,19.5,32.5,47.02555555560001,0.0
