,ITEM_ID,ALTURA,COMPOSICAO,LARGURA,MARCA,PROFUNDIDADE,TEM_TAMPA,SESSION_ID,ITEM_PRICE,INTERESTED
65,257249402,6.0,ALUMINIO,34.0,BRINOX,43.0,0.0,125.94067348600001,69.9,0.0
470,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,58.035610902600006,108.9,0.0
771,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,472.00911459800005,99.9,1.0
835,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,422.588782569,266.79,0.0
855,240741908,13.0,ALUMINIO,37.5,MTA,64.5,1.0,62.9128860588,129.9,0.0
906,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,353.03333179539993,362.32,0.0
1227,258468828,6.0,ALUMINIO,34.0,BRINOX,43.0,0.0,643.1537775319999,235.61,0.0
1458,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,667.718451045,108.9,0.0
1594,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,473.622442257,108.9,0.0
1619,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,997.1016117519999,105.7846153845,0.0
2219,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,892.0325535119999,102.669230769,0.0
2506,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,215.31545325099998,213.82961538450002,0.0
3002,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,245.959958075,324.99,0.0
3250,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,158.44786291100002,252.48,0.0
3816,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,120.770431428,474.136363636,0.0
3883,257249402,6.0,ALUMINIO,34.0,BRINOX,43.0,0.0,533.283541741,418.228181818,0.0
3977,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,267.1398788,362.32,0.0
4093,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,438.565888803,266.79,0.0
4161,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,496.418970845,295.89,0.0
4307,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,342.476722315,324.99,0.0
4347,258468946,6.0,ALUMINIO,34.0,BRINOX,43.0,0.0,269.745805462,83.83,0.0
4587,11898110,6.0,ALUMINIO,31.0,TRAMONTINA,37.0,0.0,934.584762575,92.42750000000001,0.0
4800,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,478.86092848699997,101.025,0.0
4927,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,697.715453723,474.136363636,0.0
5415,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,892.2841092489999,287.018181818,0.0
5820,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,872.822485002,99.9,0.0
5881,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,748.795821945,102.9,0.0
6268,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,338.964165449,105.9,0.0
6281,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,47.9633250718,108.9,0.0
6301,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,73.1659210952,422.9,0.0
6466,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,993.49184621,265.9,0.0
6740,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,641.815767904,108.9,0.0
7396,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,690.906128756,108.9,1.0
7837,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,704.353626115,474.136363636,0.0
7843,11898110,6.0,ALUMINIO,31.0,TRAMONTINA,37.0,0.0,448.00588435199995,56.9,0.0
7906,241717562,10.0,ACO ESMALTADO,42.0,PRAVAS,43.0,0.0,228.260645448,78.4,0.0
8100,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,465.384370498,99.9,1.0
8398,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,157.416745469,266.79,0.0
8664,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,395.195420271,324.99,0.0
9107,11898110,6.0,ALUMINIO,31.0,TRAMONTINA,37.0,0.0,57.7417485286,56.9,0.0
9195,240741908,13.0,ALUMINIO,37.5,MTA,64.5,1.0,186.133408323,162.74666666649998,0.0
9501,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,549.567619516,268.593333333,0.0
9865,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,428.230055219,362.32,0.0
10438,257249402,6.0,ALUMINIO,34.0,BRINOX,43.0,0.0,556.897789966,235.61,0.0
10562,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,110.635964427,108.9,0.0
10659,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,593.5148647880001,108.9,0.0
10701,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,789.8351060030001,108.9,0.0
10794,241717562,10.0,ACO ESMALTADO,42.0,PRAVAS,43.0,0.0,430.428150838,235.61,0.0
10832,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,9.15607336492,362.32,0.0
10985,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,77.5539216896,235.61,0.0
11596,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,948.537652631,108.9,0.0
11917,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,729.558537396,266.79,0.0
12053,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,380.51401104800004,187.84500000000003,0.0
12446,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,379.324433996,108.9,0.0
12525,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,488.391479046,108.9,1.0
13082,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,352.957038075,474.136363636,0.0
13457,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,466.168448065,302.018181818,0.0
13569,240741908,13.0,ALUMINIO,37.5,MTA,64.5,1.0,477.07543250599997,129.9,0.0
13645,240741908,13.0,ALUMINIO,37.5,MTA,64.5,1.0,280.560184462,115.9,0.0
13668,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,283.960725299,101.9,0.0
13734,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,515.966241415,266.79,0.0
13907,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,251.67757059999997,108.9,0.0
14597,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,641.1626403180001,401.488235294,0.0
14729,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,786.8350350769999,269.9,0.0
15044,258468946,6.0,ALUMINIO,34.0,BRINOX,43.0,0.0,570.6297705769999,269.57333333325,0.0
15380,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,80.245054478,269.2466666665,0.0
15440,241717562,10.0,ACO ESMALTADO,42.0,PRAVAS,43.0,0.0,977.813751213,268.91999999974996,0.0
15629,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,612.576549622,268.593333333,0.0
15952,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,805.4828252410001,101.9,0.0
15996,257249402,6.0,ALUMINIO,34.0,BRINOX,43.0,0.0,379.324433996,69.9,0.0
16025,11898110,6.0,ALUMINIO,31.0,TRAMONTINA,37.0,0.0,341.326349117,94.12,0.0
16085,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,62.9128860588,108.9,0.0
16351,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,404.265514101,474.136363636,0.0
16523,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,533.9384377719999,422.9,1.0
16876,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,603.217004621,268.593333333,0.0
17139,257249402,6.0,ALUMINIO,34.0,BRINOX,43.0,0.0,317.943007477,202.36222222199999,0.0
17219,11898110,6.0,ALUMINIO,31.0,TRAMONTINA,37.0,0.0,640.195885362,136.131111111,0.0
17491,257249402,6.0,ALUMINIO,34.0,BRINOX,43.0,0.0,366.404902203,69.9,0.0
17673,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,913.7577518989999,324.99,0.0
17745,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,220.465778604,252.48,0.0
17939,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,556.897789966,108.9,0.0
18138,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,239.981969363,187.84500000000003,0.0
18142,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,745.7956968210001,266.79,0.0
18456,240741908,13.0,ALUMINIO,37.5,MTA,64.5,1.0,859.2993993260001,129.9,0.0
18661,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,516.8899132180001,266.79,0.0
18976,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,832.276964957,422.9,0.0
19197,11898110,6.0,ALUMINIO,31.0,TRAMONTINA,37.0,0.0,828.519850825,73.52,0.0
19252,241717562,10.0,ACO ESMALTADO,42.0,PRAVAS,43.0,0.0,229.98207629700002,170.54375,0.0
19988,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,42.5517775288,267.5675,0.0
20061,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,380.49988705,108.9,0.0
20250,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,138.44374049299998,208.784,0.0
20305,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,139.502562821,308.66799999999995,0.0
20732,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,301.937016321,408.55199999999996,0.0
21213,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,169.778412095,324.99,0.0
21243,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,428.07503296699997,108.9,1.0
21674,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,866.025483455,266.79,0.0
21932,11898110,6.0,ALUMINIO,31.0,TRAMONTINA,37.0,0.0,708.745254828,97.5,0.0
22166,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,857.8760355969999,266.79,0.0
22435,11898110,6.0,ALUMINIO,31.0,TRAMONTINA,37.0,0.0,496.65202400199996,97.5,0.0
22553,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,697.23837781,474.136363636,0.0
22560,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,138.81398374399998,108.9,1.0
23484,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,406.650308872,108.9,0.0
23687,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,505.30737270699996,266.79,0.0
23895,11898110,6.0,ALUMINIO,31.0,TRAMONTINA,37.0,0.0,787.8140451139999,73.52,0.0
23921,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,426.32953507599996,248.20999999999998,0.0
23973,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,92.1809115217,422.9,0.0
24074,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,39.2811352928,108.9,0.0
24111,240741908,13.0,ALUMINIO,37.5,MTA,64.5,1.0,937.422722406,107.10000000000001,0.0
24376,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,39.3107413295,105.30000000000001,0.0
24723,241717562,10.0,ACO ESMALTADO,42.0,PRAVAS,43.0,0.0,456.589868766,103.5,0.0
24781,11898110,6.0,ALUMINIO,31.0,TRAMONTINA,37.0,0.0,242.660142879,101.7,0.0
25296,11898110,6.0,ALUMINIO,31.0,TRAMONTINA,37.0,0.0,873.8386014710001,99.9,1.0
25456,258468828,6.0,ALUMINIO,34.0,BRINOX,43.0,0.0,115.05696690399999,102.15,0.0
25506,258468946,6.0,ALUMINIO,34.0,BRINOX,43.0,0.0,614.611602023,104.4,0.0
