,ITEM_ID,ITEM_PRICE,INTERESTED
117,256629054,32.49,1.0
989,256629054,32.49,0.0
1223,256629054,32.49,0.0
1307,13863708,34.9,1.0
1459,13863708,39.9,1.0
1626,13863708,36.195,0.0
1697,256629054,32.49,0.0
2192,13863708,34.9,0.0
2448,13863708,35.948,1.0
2693,257256396,48.734,0.0
2774,257256396,61.52,0.0
3194,257256782,55.255,0.0
3635,258467752,48.99,0.0
4175,256629054,26.99,1.0
4298,256629054,46.165000000000006,0.0
5051,257256782,65.34,0.0
5417,13863708,36.92,0.0
5489,256629054,31.9344444444,0.0
5522,256629054,32.2122222222,0.0
5716,256629054,32.49,0.0
5728,13863708,28.9,0.0
5873,256629054,32.49,0.0
5930,13863708,34.9,0.0
6046,13863708,33.68,0.0
6227,13863708,38.521875,0.0
6485,13863708,35.8473684211,0.0
6714,256629054,32.49,0.0
7107,13863708,34.9,0.0
7785,13863708,42.9,0.0
8389,258464220,37.07,0.0
8483,256629054,31.24,0.0
8903,256629054,32.49,0.0
9146,13863708,34.9,0.0
9295,13863708,29.9,0.0
9447,13863708,35.8473684211,0.0
9544,256629054,26.99,0.0
10347,257256782,75.66,0.0
11153,256629054,28.21,0.0
11286,256629054,31.49,0.0
11805,13863708,36.13,0.0
12568,13863708,34.9,0.0
12900,257256782,61.9,0.0
12946,256629054,32.49,0.0
13245,256629054,33.695,0.0
13561,13863708,34.9,0.0
13660,13863708,26.97,1.0
13758,256629054,26.99,0.0
14318,13863708,34.9,0.0
14527,256629054,29.99,0.0
14723,13863708,40.045,0.0
15326,256629054,32.49,0.0
15396,13863708,32.455357142850005,0.0
15640,256629054,32.4207142857,0.0
16188,13863708,34.9,0.0
16240,256629054,32.49,1.0
16650,256629054,32.49,1.0
16819,13863708,28.9,0.0
16872,256629054,32.49,0.0
17310,13863708,37.975,0.0
17610,258468230,36.4375,0.0
17744,13863708,34.9,0.0
18649,13863708,36.8623076923,0.0
18774,13863708,36.92,1.0
18854,257256782,61.9,0.0
18907,256629054,32.4207142857,0.0
19090,13863708,39.9,0.0
19276,257256782,64.652,0.0
19629,13863708,33.68,0.0
20378,256629054,32.49,0.0
21027,13863708,35.0648717949,0.0
21471,256629054,31.49,0.0
21552,256629054,32.4153846154,0.0
21646,256629054,32.49,0.0
21815,256629054,31.49,0.0
22040,258464220,27.824,0.0
22136,257256782,64.652,0.0
22894,13863708,35.705,0.0
23040,256629054,32.49,0.0
23067,256629054,32.49,0.0
23609,256629054,32.49,0.0
23651,256629054,32.447826086999996,0.0
23858,13863708,39.4315,0.0
24294,258464220,24.8,0.0
24509,257256782,65.62,0.0
24570,13863708,34.9,0.0
24897,257256782,36.4775,0.0
25056,13863708,38.055,0.0
25399,13863708,36.58,0.0
25809,13863708,35.8473684211,0.0
26031,257256396,32.373684210549996,0.0
26081,13863708,28.9,0.0
26212,256629054,32.49,0.0
26669,256629054,28.21,0.0
26813,13863708,36.58,0.0
26972,13863708,40.045,0.0
27086,256629054,31.24,0.0
27327,13863708,36.92,0.0
27709,256629054,26.99,1.0
27794,258463196,27.363333333299998,1.0
28053,13863708,36.58,0.0
28075,13863708,39.4315,0.0
28298,256629054,31.49,0.0
29608,258464220,24.8,0.0
30031,256629054,29.85,0.0
30263,13863708,34.9,0.0
30368,13863708,34.9,0.0
30644,256629054,31.49,0.0
30839,13863708,31.365,0.0
30859,256629054,31.24,0.0
31377,256629054,31.469074074066665,0.0
31921,256629054,31.69814814813333,0.0
32149,256629054,31.927222222199998,0.0
32183,13863708,28.9,0.0
32257,256629054,31.168333333333333,0.0
32442,256629054,33.43666666666667,0.0
32519,13863708,35.705,0.0
32564,258464220,24.8,0.0
32786,13863708,34.9,0.0
32896,257256782,61.9,1.0
33007,13863708,42.9,0.0
33227,13863708,32.06,1.0
33569,256629054,33.480000000000004,0.0
33724,13863708,34.9,0.0
33727,257256396,61.52,0.0
33861,256629054,28.21,0.0
34158,13863708,36.92,0.0
34165,257256782,32.372,0.0
35252,258464220,27.824,0.0
35383,257256396,27.824,0.0
35542,258464220,27.824,0.0
35733,13863708,34.9,0.0
36145,258464220,24.8,0.0
36383,257256782,32.4525,0.0
36654,13863708,40.105,0.0
36923,256629054,32.49,1.0
37478,13863708,36.3966666667,0.0
37798,256629054,31.49,0.0
38269,256629054,31.24,0.0
38527,13863708,37.8462790698,0.0
38585,13863708,34.9,0.0
38647,256629054,32.49,0.0
38884,256629054,32.49,0.0
39767,256629054,32.49,0.0
40118,258463196,32.49,0.0
40343,256629054,32.49,0.0
40502,13863708,38.055,0.0
40797,256629054,31.49,0.0
40906,13863708,39.4315,0.0
41009,258464220,37.40104411765,0.0
41773,13863708,35.370588235300005,0.0
41780,13863708,36.92,0.0
41822,13863708,38.521875,0.0
42018,256629054,31.49,0.0
42073,13863708,42.9,0.0
42211,256629054,31.49,0.0
42287,256629054,31.365,0.0
42855,256629054,31.24,0.0
43161,13863708,37.975,0.0
43243,257256782,61.9,0.0
43841,13863708,37.144,0.0
44297,256629054,26.99,0.0
44469,13863708,32.06,1.0
44492,257256782,61.9,0.0
44698,256629054,32.49,0.0
45054,13863708,38.055,0.0
45305,257256782,61.9,0.0
45369,257256782,50.2109375,0.0
45376,13863708,38.521875,0.0
45995,257256396,61.52,0.0
46003,256629054,33.0,0.0
46304,256629054,32.49,0.0
46347,258463196,32.156666666666666,0.0
46431,256629054,31.823333333333334,0.0
46523,256629054,31.49,0.0
47055,13863708,35.0648717949,0.0
47668,13863708,34.9,0.0
47784,13863708,33.68,0.0
48830,256629054,34.29,0.0
49521,13863708,34.9,0.0
49768,13863708,28.9,0.0
49947,13863708,36.92,0.0
50229,258464220,24.8,1.0
50267,13863708,29.85,0.0
50294,13863708,34.9,0.0
50745,256629054,26.99,0.0
50831,13863708,37.8462790698,0.0
51094,256629054,32.4207142857,0.0
51642,13863708,28.9,0.0
51830,256629054,32.49,0.0
51831,13863708,43.07,0.0
51924,256629054,32.643,0.0
51929,257256782,32.566500000000005,0.0
52510,256629054,32.49,0.0
52527,257256396,33.085,0.0
52539,13863708,33.68,0.0
52575,257256782,65.34,0.0
52632,13863708,40.045,0.0
52728,13863708,37.4725,0.0
52848,13863708,34.9,0.0
53068,256629054,26.99,0.0
53156,13863708,43.58,1.0
53392,256629054,31.49,0.0
53431,256629054,32.4153846154,0.0
53433,13863708,43.07,0.0
53650,256629054,32.49,0.0
53891,13863708,34.9,1.0
53923,13863708,48.4,0.0
54040,257256782,61.9,0.0
54107,256629054,30.99,0.0
54128,256629054,33.0,0.0
54200,13863708,37.8462790698,0.0
54309,256629054,31.49,0.0
54966,258464220,28.58,0.0
55144,256629054,33.0,0.0
56264,256629054,32.4207142857,0.0
56447,13863708,35.8473684211,0.0
56884,13863708,37.8462790698,0.0
57014,257256782,36.775639534899994,0.0
57346,13863708,35.705,0.0
57634,256629054,36.184666666666665,0.0
57831,13863708,36.66433333333333,0.0
58286,13863708,37.144,0.0
59263,13863708,32.5685,0.0
59443,13863708,34.9,1.0
60012,13863708,34.9,0.0
60044,13863708,26.97,0.0
60057,256629054,31.49,0.0
60432,258464220,24.8,0.0
60576,13863708,34.9,0.0
60803,13863708,36.63,1.0
60807,256629054,31.24,0.0
61115,13863708,36.92,0.0
61160,258464220,24.8,1.0
61333,256629054,31.6566666667,0.0
61377,256629054,30.1998484848,0.0
61551,13863708,36.58,0.0
61574,256629054,32.643,0.0
61654,13863708,43.1833333333,0.0
61713,256629054,28.21,0.0
61844,13863708,37.144,0.0
61879,13863708,38.55,0.0
61919,256629054,31.24,0.0
62024,256629054,32.49,0.0
62113,256629054,32.49,0.0
62123,256629054,32.49,0.0
62340,256629054,32.4207142857,0.0
62459,13863708,34.9,0.0
62608,256629054,33.673913043499994,0.0
62889,256629054,32.447826086999996,0.0
63056,256629054,31.49,0.0
63518,13863708,36.13,0.0
63711,256629054,32.49,1.0
63783,13863708,32.5685,0.0
63888,13863708,37.8462790698,0.0
63995,13863708,32.5685,0.0
64206,13863708,42.9,1.0
64392,256629054,32.49,0.0
64397,257256396,61.52,0.0
64525,258464220,24.8,0.0
64778,13863708,39.4315,0.0
64829,13863708,32.5685,0.0
64987,256629054,31.24,0.0
65154,256629054,32.49,0.0
65493,256629054,32.643,0.0
65878,13863708,34.9,0.0
66071,256629054,32.49,0.0
66279,13863708,36.13,0.0
66627,256629054,33.083333333333336,0.0
67303,256629054,30.036666666666665,0.0
67496,256629054,26.99,0.0
67564,13863708,34.9,0.0
68039,258464220,24.8,0.0
69102,256629054,31.49,0.0
69120,13863708,34.9,0.0
69529,13863708,29.9,0.0
69607,256629054,32.49,0.0
69679,258463196,54.075,0.0
69726,257256782,75.66,0.0
69820,13863708,36.25,0.0
69945,257256396,35.575,0.0
70093,13863708,34.9,0.0
70571,13863708,33.68,0.0
70990,13863708,35.8473684211,0.0
71210,258464220,24.8,0.0
71320,13863708,39.4315,0.0
71558,13863708,39.4315,0.0
72142,257256782,32.11575,0.0
72159,258464220,24.8,0.0
73356,13863708,34.9,0.0
73415,258463196,36.620000000000005,0.0
74032,13863708,38.34,0.0
74236,256629054,32.4207142857,0.0
74683,13863708,34.9,0.0
75321,13863708,36.13,0.0
75715,256629054,31.24,0.0
76026,257256782,65.34,0.0
77121,13863708,34.9,0.0
77227,13863708,32.5685,0.0
77312,256629054,31.24,0.0
77351,13863708,34.9,0.0
77706,13863708,38.521875,0.0
