,ITEM_ID,ALTURA,COR,LARGURA,MARCA,PARA_LAVA_LOUCAS,PESO,PROFUNDIDADE,TEM_TAMPA,SESSION_ID,ITEM_PRICE,INTERESTED
1,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,73.15640083619999,105.112580645,0.0
3,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,637.759106255,103.29333333299999,1.0
4,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,478.531428016,103.330241935,0.0
14,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,301.263966599,105.502613636,0.0
19,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,703.194197471,110.4498,0.0
27,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,722.381244125,108.831282051,0.0
36,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,197.76973057700002,114.41272727299999,0.0
43,13712142,14.0,PRATA,21.0,ALUMINIO FORTALEZA,Yes,120.0,34.0,0.0,898.832014807,35.9,0.0
47,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,781.065601587,110.22849315100001,0.0
59,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,187.555818458,103.554,0.0
70,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,887.319235583,108.29593220299999,0.0
78,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,222.725358395,109.791111111,0.0
87,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,165.44538864,109.9,1.0
88,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,64.1903842542,107.288181818,0.0
92,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,707.5659029210001,109.93,0.0
100,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,250.534280982,103.330241935,0.0
101,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,285.30307061400003,114.41272727299999,0.0
122,13712142,14.0,PRATA,21.0,ALUMINIO FORTALEZA,Yes,135.0,34.0,0.0,124.74944707,35.9,0.0
124,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,641.095091555,103.08166666700001,0.0
134,253661478,49.5,GRAFITE,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,299.784752776,99.99,0.0
137,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,632.228303374,108.741803279,0.0
141,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,848.5386219860001,107.348918919,0.0
149,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,598.822705476,109.791111111,0.0
168,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,990.2211647080001,113.0,1.0
174,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,187.103623693,109.790909091,0.0
177,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,626.120885215,106.198536585,0.0
184,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,451.472733439,108.741803279,0.0
187,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,275.823270964,108.556666667,0.0
189,10191288,35.75,VERMELHO,32.75,ALUMINIO RAMOS,Yes,135.0,43.5,0.0,209.19610399799998,67.0,0.0
200,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,797.657490973,100.67181818200001,0.0
205,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,247.332313137,108.556666667,0.0
206,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,325.884061123,99.99,0.0
211,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,551.916199135,99.99,0.0
213,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,908.978423292,100.224473684,0.0
219,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,832.627742822,109.79,0.0
234,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,423.6679745,107.348918919,0.0
237,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,530.813647481,109.798382353,0.0
240,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,843.4750591019999,106.93857142899999,1.0
245,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,633.928115389,109.55309090899999,0.0
249,253661478,49.5,GRAFITE,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,497.48978713699995,119.99,0.0
252,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,977.7017487319999,101.52529411799999,0.0
256,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,931.6845877989999,109.698125,0.0
267,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,125.513142129,111.254927536,0.0
