,ITEM_ID,ALTURA,FORMATO,LARGURA,MARCA,PROFUNDIDADE,SESSION_ID,ITEM_PRICE,INTERESTED
2735,262995286,30.0,RETANGULAR,22.0,PANELA MINEIRA,42.0,237.242676558,37.99,1.0
4086,260007260,28.0,OVAL,37.0,FUMIL,40.0,119.687358295,41.25,1.0
6941,260007260,28.0,OVAL,37.0,FUMIL,40.0,43.943728278100004,38.49666666666667,0.0
7393,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,278.59843254655,35.74333333333333,0.0
8526,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,513.253136815,32.99,0.0
9607,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,237.242676558,32.99,1.0
12735,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,316.830234565,32.99,0.0
13657,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,815.7474055539999,32.99,0.0
15518,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,861.8047374939999,32.99,0.0
17254,262995286,30.0,RETANGULAR,22.0,PANELA MINEIRA,42.0,821.9385202210001,34.85,0.0
17863,260007260,28.0,OVAL,37.0,FUMIL,40.0,282.931526023,36.71,0.0
18389,260007260,28.0,OVAL,37.0,FUMIL,40.0,153.17811061700002,38.57,0.0
19422,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,640.124954516,32.99,0.0
19896,260007260,28.0,OVAL,37.0,FUMIL,40.0,450.54436287,41.25,0.0
21085,260007260,28.0,OVAL,37.0,FUMIL,40.0,206.989633818,37.120000000000005,0.0
24989,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,508.07905958599997,32.99,0.0
27045,262995286,30.0,RETANGULAR,22.0,PANELA MINEIRA,42.0,188.544549925,32.99,0.0
27691,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,917.222717485,32.99,0.0
27699,262995286,30.0,RETANGULAR,22.0,PANELA MINEIRA,42.0,508.07905958599997,37.99,1.0
29421,262995286,30.0,RETANGULAR,22.0,PANELA MINEIRA,42.0,259.39261182,37.99,0.0
33190,262995286,30.0,RETANGULAR,22.0,PANELA MINEIRA,42.0,12.033453518,37.99,0.0
36975,262995286,30.0,RETANGULAR,22.0,PANELA MINEIRA,42.0,263.481426631,37.99,0.0
37152,262995286,30.0,RETANGULAR,22.0,PANELA MINEIRA,42.0,490.191862763,37.99,0.0
42143,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,836.7779330110001,32.99,0.0
42309,260007260,28.0,OVAL,37.0,FUMIL,40.0,874.0131812110001,35.49,0.0
42441,262995286,30.0,RETANGULAR,22.0,PANELA MINEIRA,42.0,458.430004858,37.99,0.0
42672,260007260,28.0,OVAL,37.0,FUMIL,40.0,540.931146308,38.123333333299996,0.0
44019,260007260,28.0,OVAL,37.0,FUMIL,40.0,304.105008137,39.16555555553333,0.0
44570,260007260,28.0,OVAL,37.0,FUMIL,40.0,189.176866093,40.207777777766665,0.0
46964,260007260,28.0,OVAL,37.0,FUMIL,40.0,376.227290115,41.25,0.0
47901,260007260,28.0,OVAL,37.0,FUMIL,40.0,868.3367262989999,39.620000000000005,0.0
50697,262995286,30.0,RETANGULAR,22.0,PANELA MINEIRA,42.0,746.72157298,37.99,0.0
51411,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,666.609840987,32.49,0.0
52515,260007260,28.0,OVAL,37.0,FUMIL,40.0,951.571767635,26.99,0.0
54442,260007260,28.0,OVAL,37.0,FUMIL,40.0,357.170119732,29.990000000000002,0.0
59722,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,866.742492693,32.99,0.0
60177,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,405.89254941300004,32.99,0.0
62145,262995286,30.0,RETANGULAR,22.0,PANELA MINEIRA,42.0,487.931135679,37.99,0.0
64978,260007260,28.0,OVAL,37.0,FUMIL,40.0,823.269478425,29.99,1.0
66093,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,443.830764812,32.99,0.0
66108,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,20.275702107,32.99,0.0
67450,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,254.076484834,32.99,0.0
69324,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,673.616041194,32.99,0.0
71054,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,645.857637829,32.99,0.0
71529,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,493.141193221,32.99,0.0
71820,260007260,28.0,OVAL,37.0,FUMIL,40.0,252.58732336949998,41.25,1.0
71972,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,12.033453518,32.99,0.0
72642,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,7.21434830322,32.99,0.0
73004,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,324.617188166,32.99,1.0
73115,262995286,30.0,RETANGULAR,22.0,PANELA MINEIRA,42.0,96.26145169709999,37.99,0.0
77423,260007260,28.0,OVAL,37.0,FUMIL,40.0,918.163730406,27.18,0.0
81007,260007260,28.0,OVAL,37.0,FUMIL,40.0,503.42838367900004,26.99,1.0
82049,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,852.008382805,32.99,0.0
87939,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,529.975734731,32.99,0.0
89333,260007260,28.0,OVAL,37.0,FUMIL,40.0,97.0043394309,32.99,0.0
91292,260007260,28.0,OVAL,37.0,FUMIL,40.0,118.53120554700001,32.99,0.0
96753,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,723.19288171,32.99,1.0
97388,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,815.7474055539999,32.99,0.0
99185,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,548.3785328419999,32.99,0.0
102696,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,559.042666296,32.99,0.0
105659,260007260,28.0,OVAL,37.0,FUMIL,40.0,956.693860728,27.37,1.0
106469,262995286,30.0,RETANGULAR,22.0,PANELA MINEIRA,42.0,874.0131812110001,34.31,0.0
106887,260007260,28.0,OVAL,37.0,FUMIL,40.0,487.970994126,41.25,0.0
107106,260007260,28.0,OVAL,37.0,FUMIL,40.0,613.22070874,38.57,0.0
107267,260007260,28.0,OVAL,37.0,FUMIL,40.0,850.0653185189999,35.78,0.0
109349,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,368.97529449800004,32.99,0.0
111089,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,926.5094323430001,32.99,1.0
113013,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,390.87962135699996,32.99,0.0
116370,262995286,30.0,RETANGULAR,22.0,PANELA MINEIRA,42.0,962.5274005289999,37.99,0.0
