,ITEM_ID,ALTURA,COR,LARGURA,MARCA,PROFUNDIDADE,SESSION_ID,ITEM_PRICE,INTERESTED
291,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,495.708465827,94.99,0.0
848,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,878.7826756339999,96.24,0.0
3284,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,776.5327502485,97.49,0.0
5222,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,674.2828248630001,98.74,0.0
5857,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,77.8475823119,85.82333333333332,0.0
5874,260008826,26.0,PRETO,29.0,FUMIL,45.0,254.013062008,72.90666666666667,0.0
6395,260008826,26.0,PRETO,29.0,FUMIL,45.0,489.564329084,59.99,0.0
7383,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,174.471603722,47.99,0.0
7677,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,962.5274005289999,70.995,0.0
9049,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,288.866553561,65.07666666666667,0.0
9051,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,550.935809036,59.15833333333334,0.0
13125,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,284.005247999,53.24,0.0
13855,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,492.758799041,54.99,0.0
14566,260008826,26.0,PRETO,29.0,FUMIL,45.0,790.148167756,51.49,0.0
14904,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,774.576577413,47.99,0.0
15099,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,825.8559840810001,54.99,0.0
17182,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,126.627046512,94.99,0.0
17280,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,192.022975007,47.99,0.0
18876,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,256.29260504,76.33,0.0
19775,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,685.177630465,69.21666666666667,0.0
20071,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,322.300490318,62.10333333333333,0.0
20109,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,308.678985463,54.99,0.0
20280,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,517.50485029,54.99,1.0
20301,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,563.590280647,98.74,0.0
21883,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,709.3447908060001,99.99,0.0
22304,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,266.764468665,98.74,0.0
23389,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,885.041765612,94.99,0.0
24690,260008826,26.0,PRETO,29.0,FUMIL,45.0,514.167609955,59.99,0.0
24992,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,41.3029120608,70.995,0.0
25263,260008826,26.0,PRETO,29.0,FUMIL,45.0,904.5456655439999,82.9925,0.0
25548,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,175.62384026900003,94.99,1.0
25574,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,666.528555712,94.99,0.0
25612,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,419.73254859699995,94.99,1.0
26166,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,817.1743389530001,54.99,0.0
27226,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,328.77487963,68.32333333333334,0.0
28892,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,567.527210618,81.65666666666667,0.0
29577,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,36.504386155,94.99,0.0
30719,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,688.9585529289999,94.99,0.0
31055,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,480.62775513800005,96.6566666667,0.0
31282,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,41.3029120608,95.82333333335,0.0
31515,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,874.0870986660001,94.99,0.0
32709,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,556.915201934,94.99,0.0
