,ITEM_ID,COR,MARCA,TEM_FERRO_FUNDIDO,TEM_TAMPA,SESSION_ID,ITEM_PRICE,INTERESTED
82,245842332,AZUL,EURO,NAO,1.0,361.32835002800005,126.9,0.0
113,258461350,PRATA,BRINOX,NAO,0.0,298.274719084,155.515,0.0
194,256587172,VERMELHO,BRINOX,NAO,1.0,961.566586013,184.13,0.0
218,258463024,TURQUESA,BRINOX,NAO,0.0,464.90340164800006,113.9,0.0
222,240742184,PRETO,MTA,SIM,1.0,205.752954982,89.54,0.0
228,258461174,TURQUESA,BRINOX,NAO,0.0,470.886711793,96.13266666666667,0.0
231,245842600,ROXO,EURO,NAO,1.0,396.57744316,102.72533333333334,0.0
265,245842600,ROXO,EURO,NAO,1.0,390.910340559,109.318,0.0
287,240742184,PRETO,MTA,SIM,1.0,478.678456171,89.54,0.0
295,245842652,VERDE,EURO,NAO,1.0,404.674815355,114.99,0.0
297,258444068,CEREJA,BRINOX,NAO,0.0,364.411724301,73.9,0.0
313,240742184,PRETO,MTA,SIM,1.0,545.380103123,79.9,0.0
316,257171354,VERMELHO,BRINOX,NAO,0.0,482.71068724300005,86.385,0.0
347,258463548,CEREJA,BRINOX,NAO,1.0,404.674815355,92.87,0.0
382,240742184,PRETO,MTA,SIM,1.0,270.907928981,89.5324324324,0.0
385,245842578,LARANJA,EURO,NAO,1.0,665.9465098430001,115.518695652,0.0
394,245842440,VERDE,EURO,NAO,1.0,519.242416461,120.9,0.0
462,245842600,ROXO,EURO,NAO,1.0,75.00575485739999,119.99,0.0
512,240742184,PRETO,MTA,SIM,1.0,983.9120904810001,79.9,1.0
526,245842364,LARANJA,EURO,NAO,1.0,703.7559091310001,89.73636363635,0.0
532,245842652,VERDE,EURO,NAO,1.0,11.4031405316,99.5727272727,0.0
572,258444068,CEREJA,BRINOX,NAO,0.0,425.045845016,73.9,0.0
574,258444068,CEREJA,BRINOX,NAO,0.0,340.828936822,84.075,0.0
595,258464060,TURQUESA,BRINOX,NAO,1.0,308.918535895,94.25,0.0
598,258444068,CEREJA,BRINOX,NAO,0.0,824.491651349,116.465,0.0
651,245842364,LARANJA,EURO,NAO,1.0,691.745725714,138.68,0.0
663,245842652,VERDE,EURO,NAO,1.0,331.48327895299997,100.387241379,0.0
675,245842440,VERDE,EURO,NAO,1.0,770.4827351160001,94.76862068950001,0.0
700,258464060,TURQUESA,BRINOX,NAO,1.0,569.291065441,89.15,1.0
719,245842524,AZUL,EURO,NAO,1.0,432.086154494,105.99,0.0
789,245842600,ROXO,EURO,NAO,1.0,996.408142757,113.72875,0.0
808,245842652,VERDE,EURO,NAO,1.0,453.161177197,99.03333333329999,0.0
820,245842578,LARANJA,EURO,NAO,1.0,918.731977122,108.52,0.0
879,245842440,VERDE,EURO,NAO,1.0,476.86629124,119.9,1.0
894,245842524,AZUL,EURO,NAO,1.0,853.839210458,109.99,0.0
1043,256589690,PRETO,BRINOX,NAO,1.0,381.910992241,124.945,0.0
1085,257170596,VERMELHO,BRINOX,NAO,0.0,457.47337319999997,139.9,0.0
1098,245842332,AZUL,EURO,NAO,1.0,778.289390629,120.3,0.0
1180,240742184,PRETO,MTA,SIM,1.0,990.584362687,79.9,1.0
1229,258461056,PRATA,BRINOX,NAO,1.0,133.937857015,100.132,0.0
1282,257168296,VERMELHO,BRINOX,NAO,1.0,472.01340748,193.9,0.0
1310,257168296,VERMELHO,BRINOX,NAO,1.0,432.278307326,193.9,0.0
1344,245842440,VERDE,EURO,NAO,1.0,555.6301463330001,120.61428571399999,0.0
1393,256587172,VERMELHO,BRINOX,NAO,1.0,210.176609411,184.13,0.0
1468,258461424,PRATA,BRINOX,NAO,1.0,159.288476433,95.19,0.0
1485,245842578,LARANJA,EURO,NAO,1.0,559.658306099,110.45,0.0
1492,245842364,LARANJA,EURO,NAO,1.0,356.837046686,129.9,0.0
1539,245842440,VERDE,EURO,NAO,1.0,800.09849218,126.9,0.0
1549,245842524,AZUL,EURO,NAO,1.0,998.7762921780001,123.9,0.0
1561,245842440,VERDE,EURO,NAO,1.0,408.664493216,120.9,0.0
1660,256587172,VERMELHO,BRINOX,NAO,1.0,281.558154028,184.13,0.0
1689,257170596,VERMELHO,BRINOX,NAO,0.0,806.376057502,139.9,0.0
1826,257170510,AZUL,BRINOX,NAO,0.0,696.662013519,153.42000000000002,0.0
1836,257168296,VERMELHO,BRINOX,NAO,1.0,782.048700455,166.94,0.0
1837,245842600,ROXO,EURO,NAO,1.0,134.939624914,114.99,0.0
1890,245842440,VERDE,EURO,NAO,1.0,113.42460648,119.9,0.0
2049,240742184,PRETO,MTA,SIM,1.0,977.173056752,89.5,0.0
2053,245842652,VERDE,EURO,NAO,1.0,529.699301991,98.44,0.0
2064,240742184,PRETO,MTA,SIM,1.0,442.766072789,89.5,0.0
2094,256587172,VERMELHO,BRINOX,NAO,1.0,28.8043607434,184.13,0.0
2096,245842332,AZUL,EURO,NAO,1.0,290.102918125,149.015,0.0
2152,258463024,TURQUESA,BRINOX,NAO,0.0,836.888137356,113.9,0.0
2175,245842684,VERMELHO,EURO,NAO,1.0,239.565433893,105.9,0.0
2211,245842652,VERDE,EURO,NAO,1.0,434.20455392900004,110.9,0.0
2326,245842652,VERDE,EURO,NAO,1.0,596.306199781,114.99,1.0
2360,257170596,VERMELHO,BRINOX,NAO,0.0,962.554128318,139.9,0.0
2379,257171354,VERMELHO,BRINOX,NAO,0.0,818.274246381,49.28,0.0
2406,257171354,VERMELHO,BRINOX,NAO,0.0,469.593065051,49.28,1.0
2411,258444154,AZUL,BRINOX,NAO,1.0,454.426841402,149.9,0.0
2475,245842684,VERMELHO,EURO,NAO,1.0,758.1218018689999,105.9,0.0
2515,258463548,CEREJA,BRINOX,NAO,1.0,531.108586451,92.87,0.0
2538,245842600,ROXO,EURO,NAO,1.0,382.92778082300003,115.353103448,0.0
2541,245842578,LARANJA,EURO,NAO,1.0,679.370972611,111.124827586,0.0
2545,258463548,CEREJA,BRINOX,NAO,1.0,950.37601828,106.896551724,0.0
2551,245842364,LARANJA,EURO,NAO,1.0,371.511826967,102.668275862,0.0
2574,245842652,VERDE,EURO,NAO,1.0,644.307245064,98.44,0.0
2608,245842578,LARANJA,EURO,NAO,1.0,398.374852375,108.52,0.0
2640,245842440,VERDE,EURO,NAO,1.0,859.361429403,120.5,0.0
2665,245842440,VERDE,EURO,NAO,1.0,706.635205834,120.15,0.0
2681,240742184,PRETO,MTA,SIM,1.0,157.530730452,89.5,0.0
2701,258444068,CEREJA,BRINOX,NAO,0.0,503.528722055,73.9,0.0
2712,240742184,PRETO,MTA,SIM,1.0,884.83577906,129.015,0.0
2759,256587172,VERMELHO,BRINOX,NAO,1.0,82.8873100311,184.13,0.0
2770,245842652,VERDE,EURO,NAO,1.0,299.454911712,114.99,1.0
2794,245842684,VERMELHO,EURO,NAO,1.0,294.33191248,105.9,0.0
2798,245842332,AZUL,EURO,NAO,1.0,142.460350067,120.566666667,0.0
2827,245842652,VERDE,EURO,NAO,1.0,95.2683250541,117.49,0.0
2828,258464464,CEREJA,BRINOX,NAO,1.0,480.520061844,116.5925,0.0
2901,258464464,CEREJA,BRINOX,NAO,1.0,417.32388623800006,115.695,0.0
2922,258462544,TURQUESA,BRINOX,NAO,0.0,309.820049876,114.7975,0.0
2974,258463024,TURQUESA,BRINOX,NAO,0.0,144.837967536,113.9,0.0
2998,257168296,VERMELHO,BRINOX,NAO,1.0,948.3401422239999,174.428888889,0.0
3079,245842684,VERMELHO,EURO,NAO,1.0,783.1228572460001,107.9,0.0
3101,245842332,AZUL,EURO,NAO,1.0,762.423305087,120.122222222,0.0
3140,245842578,LARANJA,EURO,NAO,1.0,865.9599781810001,115.0,0.0
3169,258444036,AZUL,BRINOX,NAO,1.0,640.9245686840001,132.9,0.0
3335,245842440,VERDE,EURO,NAO,1.0,282.53805931700003,134.671428571,0.0
3337,257168296,VERMELHO,BRINOX,NAO,1.0,146.804840604,193.9,0.0
3429,240742184,PRETO,MTA,SIM,1.0,348.36828653199996,89.5,0.0
3471,245842684,VERMELHO,EURO,NAO,1.0,331.418886723,106.61428571399999,0.0
3488,245842600,ROXO,EURO,NAO,1.0,836.241121875,111.899411765,0.0
3550,256589690,PRETO,BRINOX,NAO,1.0,281.558154028,153.9,0.0
3601,256587172,VERMELHO,BRINOX,NAO,1.0,761.399610009,184.13,0.0
3603,245842684,VERMELHO,EURO,NAO,1.0,882.47459798,107.9,0.0
3606,245842332,AZUL,EURO,NAO,1.0,52.002894062299994,119.9,0.0
3620,245842440,VERDE,EURO,NAO,1.0,399.02950186199996,120.9,0.0
3633,240742184,PRETO,MTA,SIM,1.0,587.152352366,79.798,0.0
3665,245842440,VERDE,EURO,NAO,1.0,177.83577938599998,120.9,0.0
3667,245842524,AZUL,EURO,NAO,1.0,768.229978365,115.92423076899999,0.0
3759,245842600,ROXO,EURO,NAO,1.0,504.96120461699996,110.94846153799999,0.0
3783,240742184,PRETO,MTA,SIM,1.0,23.037307094499997,89.5,0.0
3798,245842406,ROXO,EURO,NAO,1.0,52.002894062299994,90.62333333333333,0.0
3807,240761952,PRETO,MTA,SIM,1.0,759.2380922660001,91.74666666666667,0.0
3844,258463548,CEREJA,BRINOX,NAO,1.0,353.937060301,92.87,0.0
3851,245842684,VERMELHO,EURO,NAO,1.0,637.200530895,107.9,0.0
3904,240742184,PRETO,MTA,SIM,1.0,388.309472187,89.9,0.0
3915,240742184,PRETO,MTA,SIM,1.0,123.11422201299999,89.7588235294,0.0
3982,245842332,AZUL,EURO,NAO,1.0,195.96908791,139.2448663102,0.0
3985,256587172,VERMELHO,BRINOX,NAO,1.0,191.226515321,188.73090909099997,0.0
4042,245842364,LARANJA,EURO,NAO,1.0,363.05507897900003,139.03833590144998,0.0
4087,240742184,PRETO,MTA,SIM,1.0,253.01047804400002,89.34576271190001,0.0
4131,245842440,VERDE,EURO,NAO,1.0,767.95390565,120.9,0.0
4247,245842332,AZUL,EURO,NAO,1.0,178.449413217,119.9,0.0
4284,245842600,ROXO,EURO,NAO,1.0,963.0472343580001,119.99,0.0
4302,256587172,VERMELHO,BRINOX,NAO,1.0,374.47765469800004,184.13,0.0
4364,258444068,CEREJA,BRINOX,NAO,0.0,133.30547283299998,73.9,0.0
4476,258463238,CEREJA,BRINOX,NAO,0.0,342.342010203,63.09,0.0
4484,245842406,ROXO,EURO,NAO,1.0,295.381261098,91.795,0.0
4511,245842440,VERDE,EURO,NAO,1.0,760.462331725,120.5,0.0
4559,245842364,LARANJA,EURO,NAO,1.0,746.388823881,129.9,0.0
4564,245842440,VERDE,EURO,NAO,1.0,502.93154822300005,120.9,0.0
4582,258464060,TURQUESA,BRINOX,NAO,1.0,326.352073964,94.25,0.0
4616,245842684,VERMELHO,EURO,NAO,1.0,323.359629387,106.17777777799999,0.0
4646,245842684,VERMELHO,EURO,NAO,1.0,138.184332213,107.9,0.0
4648,258444068,CEREJA,BRINOX,NAO,0.0,180.70510458400003,73.9,0.0
4677,256587172,VERMELHO,BRINOX,NAO,1.0,654.535859933,184.13,0.0
4683,258444068,CEREJA,BRINOX,NAO,0.0,823.711645278,73.9,0.0
