,ITEM_ID,CAPACIDADE_(L),COMPOSICAO,COR,MARCA,PARA_LAVA_LOUCAS,TEMPO_GARANTIA,TEM_FERRO_FUNDIDO,SESSION_ID,ITEM_PRICE,INTERESTED
120338,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,801.752738441,147.91,0.0
120419,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,204.331468253,110.899245283,0.0
120425,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,553.747182896,295.68,0.0
120845,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,722.8129325819999,117.244,1.0
121034,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,679.60413012,110.899245283,0.0
122752,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,194.742535033,95.83,0.0
122824,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,285.980620179,334.472857143,0.0
122845,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,50.737936794899994,295.68,0.0
122852,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,60.4408488541,316.568461538,0.0
123121,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,376.182547928,110.899245283,0.0
123234,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,493.93572899599997,95.83,0.0
123375,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,599.69483455,110.35127272700001,0.0
123397,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,480.02912807900003,110.899245283,0.0
124006,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,268.894854619,110.899245283,0.0
124129,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,830.9861473589999,97.78,0.0
124155,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,510.394478931,97.78,0.0
124231,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,727.553850015,95.83,0.0
124264,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,408.012414547,95.83,0.0
124409,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,653.736882754,95.83,0.0
124673,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,515.0039312380001,276.9,0.0
124958,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,256.437471821,95.83,0.0
124968,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,605.98852752,95.83,0.0
125028,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,418.43487549199995,156.18666666666667,0.0
125521,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,118.334149545,216.54333333333332,0.0
125741,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,459.328183839,276.9,0.0
125789,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,742.813278838,111.18903846200001,0.0
125958,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,708.766253303,110.899245283,0.0
126178,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,886.568286889,95.83,0.0
126239,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,777.7705931339999,295.68,0.0
126638,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,186.830204522,245.7175,0.0
127121,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,402.94175388699995,195.755,0.0
127502,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,589.276305505,145.7925,0.0
127553,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,780.621748903,95.83,1.0
127693,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,164.758516522,95.83,0.0
127973,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,514.611509239,95.8797435897,0.0
128360,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,441.214854281,111.18903846200001,0.0
