,ITEM_ID,COR,MARCA,TEM_FERRO_FUNDIDO,TEM_TAMPA,TIPO_WOK,SESSION_ID,ITEM_PRICE,INTERESTED
120191,260008784,PRETO,PANELA MINEIRA,SIM,1.0,NAO,681.98383509,74.99,0.0
120199,653424,INOX,TRAMONTINA,NAO,0.0,NAO,784.927013212,143.851428571,0.0
120204,653412,INOX,TRAMONTINA,NAO,0.0,NAO,250.52059272900001,149.0,0.0
120225,653372,INOX,TRAMONTINA,NAO,0.0,NAO,656.2192678580001,128.518333333,0.0
120231,10697172,INOX,TRAMONTINA,NAO,0.0,NAO,269.475317357,128.7591666665,0.0
120241,653408,INOX,TRAMONTINA,NAO,0.0,NAO,1000.10094736,129.0,0.0
120265,216538948,INOX,TRAMONTINA,NAO,1.0,NAO,459.04269642,173.747435897,0.0
120273,259733592,PRETO,PANELA MINEIRA,SIM,0.0,NAO,562.091125715,38.8919607843,0.0
120286,260010022,PRETO,PANELA MINEIRA,SIM,1.0,NAO,325.699370423,69.99,0.0
120328,258248692,VERMELHO,HERCULES,SIM,0.0,NAO,641.192856627,399.99,0.0
120334,259620078,PRETO,FUMIL,SIM,1.0,NAO,680.499316724,99.99,0.0
120335,239170860,LARANJA,HERCULES,SIM,0.0,NAO,918.512970148,363.37,0.0
120343,239171072,PRETO,HERCULES,SIM,0.0,NAO,630.800343975,189.971052632,0.0
120369,259733592,PRETO,PANELA MINEIRA,SIM,0.0,NAO,950.5603393680001,39.99,0.0
120380,653424,INOX,TRAMONTINA,NAO,0.0,NAO,498.13909575400004,117.65600939,0.0
120400,653384,INOX,TRAMONTINA,NAO,0.0,NAO,563.972435199,166.428709677,0.0
120404,11418558,INOX,TRAMONTINA,NAO,1.0,NAO,975.743256868,164.99,0.0
120409,260010022,PRETO,PANELA MINEIRA,SIM,1.0,NAO,948.14356615,69.99,1.0
120417,257102254,VERMELHO,HERCULES,SIM,0.0,NAO,767.2796360130001,100.63,0.0
120432,653408,INOX,TRAMONTINA,NAO,0.0,NAO,191.818901492,131.27,0.0
120433,14807824,INOX,TRAMONTINA,NAO,1.0,NAO,728.368266573,229.12,1.0
120440,216538948,INOX,TRAMONTINA,NAO,1.0,NAO,755.6547196289999,142.20475,0.0
120475,653408,INOX,TRAMONTINA,NAO,0.0,NAO,50.229836762,132.91,1.0
120476,653408,INOX,TRAMONTINA,NAO,0.0,NAO,372.094756964,129.0,0.0
120485,259620142,PRETO,FUMIL,SIM,1.0,NAO,681.221436242,139.99,0.0
120534,259619988,PRETO,FUMIL,SIM,0.0,NAO,867.987365776,36.26,0.0
120541,218994434,CHOCOLATE,CERAFLAME,NAO,1.0,NAO,917.7041382269999,38.125,0.0
120550,259733592,PRETO,PANELA MINEIRA,SIM,0.0,NAO,190.61901792900002,39.99,1.0
120557,260012144,PRETO,PANELA MINEIRA,SIM,1.0,NAO,966.777294012,87.9,0.0
120558,260008752,PRETO,PANELA MINEIRA,SIM,0.0,NAO,557.608751656,139.99,0.0
120560,255994024,VERMELHO,DONA CHEFA,NAO,1.0,NAO,114.815519744,44.99,0.0
120605,653412,INOX,TRAMONTINA,NAO,0.0,NAO,940.337371159,156.581818182,0.0
120609,255993984,PRETO,DONA CHEFA,NAO,1.0,NAO,896.2413921110001,97.53590909100001,0.0
120617,259733592,PRETO,PANELA MINEIRA,SIM,0.0,NAO,409.848423189,38.49,0.0
120630,240761386,VERMELHO,MTA,NAO,0.0,NAO,24.489685394299997,138.82416666700001,0.0
120665,10697164,VERMELHO,TRAMONTINA,NAO,0.0,NAO,895.668232902,251.89,0.0
120671,260010140,PRETO,PANELA MINEIRA,SIM,1.0,NAO,448.74167835599997,61.5177777778,0.0
120675,234081294,AMARELO,LA CUISINE,NAO,0.0,NAO,252.97475933400003,100.53388888890001,0.0
120680,653424,INOX,TRAMONTINA,NAO,0.0,NAO,596.243758523,139.55,0.0
120681,653408,INOX,TRAMONTINA,NAO,0.0,NAO,17.6992386553,115.215,0.0
120701,263050298,PRETO,EURO HOME,NAO,0.0,NAO,682.9670157,94.99,0.0
120709,653408,INOX,TRAMONTINA,NAO,0.0,NAO,443.23366807699995,111.38,1.0
120732,223401814,VERMELHO,CERAFLAME,NAO,1.0,NAO,730.9731601139999,120.13499999999999,0.0
120747,653408,INOX,TRAMONTINA,NAO,0.0,NAO,651.509116915,128.89,0.0
120765,653408,INOX,TRAMONTINA,NAO,0.0,NAO,673.532215593,112.325,0.0
120778,653372,INOX,TRAMONTINA,NAO,0.0,NAO,872.748385543,129.47375,0.0
120781,653408,INOX,TRAMONTINA,NAO,0.0,NAO,762.507111067,122.33,0.0
120789,260010022,PRETO,PANELA MINEIRA,SIM,1.0,NAO,500.24223504099996,69.99,0.0
120790,650392,INOX,TRAMONTINA,NAO,1.0,NAO,701.2099202530001,84.99,0.0
