,ITEM_ID,ALTURA,COMPOSICAO,LARGURA,MARCA,PROFUNDIDADE,TEM_FERRO_FUNDIDO,TEM_TAMPA,SESSION_ID,ITEM_PRICE,INTERESTED
120190,256745782,23.0,INOX,20.0,VEC,21.0,NAO,0.0,951.3145466310001,34.99,1.0
120215,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,193.131198982,27.4082905983,0.0
120232,241441110,46.5,INOX,23.5,EURO HOME,64.0,NAO,0.0,313.622555201,91.048125,0.0
120244,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,665.247801421,32.9,0.0
120246,666178,43.0,INOX,39.0,SUN GUIDER,58.0,NAO,0.0,999.14262537,39.99,0.0
120249,241441078,46.5,INOX,23.5,EURO HOME,65.0,NAO,0.0,273.50485888,68.9,0.0
120250,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,639.180809959,28.9761538462,0.0
120255,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,526.746935135,32.9,0.0
120290,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,71.8127464113,43.5261971831,0.0
120295,256877514,16.0,INOX,19.0,VEC,19.5,NAO,0.0,150.066711706,49.9,0.0
120303,256745782,23.0,INOX,20.0,VEC,21.0,NAO,0.0,445.0338114,34.99,0.0
120309,666178,43.0,INOX,39.0,SUN GUIDER,58.0,NAO,0.0,345.12686201099996,43.085238095200005,0.0
120324,248586318,46.5,INOX,23.5,EURO,65.0,NAO,0.0,173.617856687,89.99,0.0
120327,10697140,33.75,INOX,21.25,TRAMONTINA,42.5,NAO,0.0,342.80871286900003,180.4652,0.0
120329,256639794,21.0,INOX,19.0,HERCULES,20.0,NAO,0.0,568.750233986,58.9,0.0
120330,10697140,22.0,INOX,19.5,TRAMONTINA,20.5,NAO,0.0,207.504017327,178.59290322599998,0.0
120333,256719146,23.0,INOX,20.0,VEC,21.0,NAO,1.0,443.764723899,34.99,0.0
120342,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,391.39126677,28.5754385965,0.0
120345,248586104,41.5,INOX,20.5,EURO,57.5,NAO,0.0,245.805826565,101.735714286,0.0
120371,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,45.338588710699995,26.99,1.0
120374,241441110,46.5,INOX,23.5,EURO HOME,64.0,NAO,0.0,237.025174214,97.49,0.0
120390,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,1000.18825236,43.5261971831,0.0
120401,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,142.485627968,30.9037037037,0.0
120402,666178,43.0,INOX,39.0,SUN GUIDER,58.0,NAO,0.0,714.232961978,42.886855670100005,0.0
120407,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,178.81564736400003,31.890797545999998,0.0
120416,10214452,22.0,INOX,18.0,TRAMONTINA,22.0,NAO,0.0,391.522252148,169.0,0.0
120418,241441024,46.5,INOX,23.5,EURO HOME,65.0,NAO,0.0,62.4722408149,78.9333333333,0.0
120426,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,27.6713017194,27.4082905983,0.0
120453,256877514,16.0,INOX,19.0,VEC,19.5,NAO,0.0,974.684332893,49.9,0.0
