,ITEM_ID,ALTURA,CAPACIDADE_(L),LARGURA,PARA_LAVA_LOUCAS,PESO,PROFUNDIDADE,SESSION_ID,ITEM_PRICE,INTERESTED
120602,14807856,29.2,3.1,22.5,Yes,585.0,10.6,888.843788507,83.44,0.0
120892,14807856,29.2,3.1,22.5,Yes,585.0,10.6,597.035940373,92.9,0.0
120953,14807856,29.2,3.1,22.5,Yes,585.0,10.6,634.604490805,83.44,0.0
121077,14807852,25.3,1.7,18.1,Yes,460.0,10.0,169.618042266,95.49,0.0
121311,14807852,25.3,1.7,18.1,Yes,460.0,10.0,78.1778688887,88.99,0.0
122123,10697196,27.25,5.7,20.3,No,522.5,10.3,362.28617072800006,139.99,0.0
122358,14807856,29.2,3.1,22.5,Yes,585.0,10.6,512.802777384,83.44,0.0
122520,14807852,25.3,1.7,18.1,Yes,460.0,10.0,271.878752765,103.94,0.0
122628,14807856,29.2,3.1,22.5,Yes,585.0,10.6,165.53312786,87.01100000000001,0.0
122911,14807856,29.2,3.1,22.5,Yes,585.0,10.6,98.74946219739999,87.01100000000001,0.0
122920,14807856,29.2,3.1,22.5,Yes,585.0,10.6,7.252373083239998,85.3364285714,0.0
123672,14807852,25.3,1.7,18.1,Yes,460.0,10.0,29.599026429600002,102.015714286,0.0
123808,14807856,29.2,3.1,22.5,Yes,585.0,10.6,770.56725985,89.99,0.0
124083,10697192,27.25,1.7,20.3,No,522.5,10.3,192.432481037,96.74,0.0
124331,14807852,25.3,1.7,18.1,Yes,460.0,10.0,888.843788507,103.49,1.0
124647,14807856,29.2,3.1,22.5,Yes,585.0,10.6,173.024711513,85.6233333333,0.0
124657,14807852,25.3,1.7,18.1,Yes,460.0,10.0,72.9581739821,69.26166666665,0.0
125353,14807852,25.3,1.7,18.1,Yes,460.0,10.0,632.372322385,52.9,0.0
125472,14807852,25.3,1.7,18.1,Yes,460.0,10.0,872.67594673,57.9,0.0
125876,14807856,29.2,3.1,22.5,Yes,585.0,10.6,242.460723003,83.44,1.0
126353,14807856,29.2,3.1,22.5,Yes,585.0,10.6,15.120063406500002,83.44,1.0
126492,14807852,25.3,1.7,18.1,Yes,460.0,10.0,264.651206571,95.49,0.0
126702,14807856,29.2,3.1,22.5,Yes,585.0,10.6,56.8571758483,83.44,0.0
126999,14807852,25.3,1.7,18.1,Yes,460.0,10.0,71.3852312284,93.69,0.0
127158,14807852,25.3,1.7,18.1,Yes,460.0,10.0,507.02416153400003,103.94,0.0
127541,14807852,25.3,1.7,18.1,Yes,460.0,10.0,150.59421006600002,105.79,0.0
127859,14807852,25.3,1.7,18.1,Yes,460.0,10.0,96.51164446450001,103.49,0.0
128563,14807852,25.3,1.7,18.1,Yes,460.0,10.0,352.705393495,96.24,0.0
129191,14807852,25.3,1.7,18.1,Yes,460.0,10.0,628.9494266080001,88.99,0.0
129195,10697196,25.3,5.7,18.1,No,460.0,10.0,187.204824098,94.1225,0.0
129415,14807852,25.3,1.7,18.1,Yes,460.0,10.0,362.866118196,99.255,0.0
129522,14807852,25.3,1.7,18.1,Yes,460.0,10.0,540.1578906269999,104.38749999999999,0.0
129550,14807852,25.3,1.7,18.1,Yes,460.0,10.0,368.394889069,109.52,0.0
130183,14807852,25.3,1.7,18.1,Yes,460.0,10.0,836.3451273210001,106.411666667,0.0
130292,14807856,29.2,3.1,22.5,Yes,585.0,10.6,334.349103793,83.44,0.0
130652,10697196,27.25,5.7,20.3,No,522.5,10.3,650.5016564580001,84.8275,0.0
130683,14807852,25.3,1.7,18.1,Yes,460.0,10.0,553.520793681,86.215,0.0
130863,10697196,25.3,5.7,18.1,No,460.0,10.0,795.6431556269999,87.60249999999999,0.0
131068,14807852,25.3,1.7,18.1,Yes,460.0,10.0,652.913505093,88.99,1.0
131081,14807856,29.2,3.1,22.5,Yes,585.0,10.6,155.708728101,83.44,0.0
