,ITEM_ID,ALTURA,LARGURA,MARCA,PROFUNDIDADE,SESSION_ID,ITEM_PRICE,INTERESTED
122195,260009596,33.0,26.0,PANELA MINEIRA,48.0,962.5274005289999,59.99,0.0
124257,260009596,33.0,26.0,PANELA MINEIRA,48.0,626.6446278669999,59.99,0.0
125033,260010620,28.0,37.0,PANELA MINEIRA,40.0,458.188363187,69.99,0.0
126244,260010620,28.0,37.0,PANELA MINEIRA,40.0,540.284925535,69.99,0.0
127262,260006342,28.0,37.0,FUMIL,40.0,596.705937508,69.99,0.0
135828,260010620,28.0,37.0,PANELA MINEIRA,40.0,286.515183976,69.99,0.0
140345,260009596,33.0,26.0,PANELA MINEIRA,48.0,944.1867024869999,69.99,0.0
141621,260010620,28.0,37.0,PANELA MINEIRA,40.0,907.212179204,69.99,0.0
141917,260010620,28.0,37.0,PANELA MINEIRA,40.0,245.161517388,69.99,1.0
142856,260010620,28.0,37.0,PANELA MINEIRA,40.0,611.807565464,69.99,0.0
148036,260010620,28.0,37.0,PANELA MINEIRA,40.0,746.953305624,69.99,0.0
148507,260010620,28.0,37.0,PANELA MINEIRA,40.0,558.150456591,71.65666666666667,0.0
150570,260006342,28.0,37.0,FUMIL,40.0,700.04830584,73.32333333333332,0.0
151670,260010620,28.0,37.0,PANELA MINEIRA,40.0,501.226745078,74.99,1.0
155190,260006342,28.0,37.0,FUMIL,40.0,971.884812298,67.49,0.0
156145,260009596,33.0,26.0,PANELA MINEIRA,48.0,294.034248769,59.99,0.0
157268,260010620,28.0,37.0,PANELA MINEIRA,40.0,108.37266678200001,74.99,0.0
162154,260010620,28.0,37.0,PANELA MINEIRA,40.0,393.29194883900004,72.49,0.0
165468,260009596,33.0,26.0,PANELA MINEIRA,48.0,638.341475682,66.24,0.0
165559,260009596,33.0,26.0,PANELA MINEIRA,48.0,142.142170714,59.99,0.0
166964,260009596,33.0,26.0,PANELA MINEIRA,48.0,195.210233161,59.99,0.0
167654,260009596,33.0,26.0,PANELA MINEIRA,48.0,607.578475176,59.99,0.0
168350,260006342,28.0,37.0,FUMIL,40.0,142.142170714,69.99,0.0
168394,260007184,28.0,37.0,FUMIL,40.0,308.91612313400003,79.99,1.0
169781,260010620,28.0,37.0,PANELA MINEIRA,40.0,570.160921159,74.99,0.0
169916,260010620,28.0,37.0,PANELA MINEIRA,40.0,617.310639422,74.365,0.0
170357,260010620,28.0,37.0,PANELA MINEIRA,40.0,2.8841597559200003,74.365,0.0
172576,260010620,28.0,37.0,PANELA MINEIRA,40.0,442.27731746,74.99,0.0
173483,260010620,28.0,37.0,PANELA MINEIRA,40.0,352.64863553099997,69.99,0.0
175819,260010620,28.0,37.0,PANELA MINEIRA,40.0,703.261094447,69.99,0.0
