,ITEM_ID,ALTURA,LARGURA,MARCA,PROFUNDIDADE,SESSION_ID,ITEM_PRICE,INTERESTED
120187,241440074,62.0,19.0,EURO HOME,41.0,870.270957999,79.9,0.0
120201,241440074,62.0,19.0,EURO HOME,41.0,345.507563656,60.99,0.0
120219,241440074,62.0,19.0,EURO HOME,41.0,966.567367527,67.6541860465,0.0
120221,242171044,19.0,15.5,TRAMONTINA,22.0,191.11509864400003,142.0,1.0
120234,258328660,19.7,19.7,AT.HOME,20.2,718.789571321,39.99,0.0
120258,241440074,62.0,19.0,EURO HOME,41.0,443.99156503300003,55.7666666667,0.0
120282,242171044,19.0,15.5,TRAMONTINA,22.0,898.417688228,157.38,0.0
120285,242171044,19.0,15.5,TRAMONTINA,22.0,924.080653758,127.52,0.0
120321,242171044,19.0,15.5,TRAMONTINA,22.0,482.532345134,157.38,1.0
120344,229170002,18.0,18.0,HERCULES,18.0,915.1836304510001,76.99,0.0
120438,256639582,17.0,12.5,BRINOX,25.0,45.467120388999994,122.76714285700001,0.0
120443,242171044,19.0,15.5,TRAMONTINA,22.0,921.7730331189999,157.38,0.0
120463,10695626,19.35,17.6,TRAMONTINA,21.1,510.706103676,209.0,0.0
120473,258328660,19.7,19.7,AT.HOME,20.2,712.846831326,38.172352941199996,0.0
120493,10695626,19.7,19.7,TRAMONTINA,20.2,162.635436554,208.18333333299998,0.0
120496,258328660,19.7,19.7,AT.HOME,20.2,790.554811614,39.99,0.0
120506,256639582,17.0,12.5,BRINOX,25.0,99.03749337149999,109.9,0.0
120569,242171044,19.0,15.5,TRAMONTINA,22.0,94.6233516313,142.0,0.0
120601,241440074,62.0,19.0,EURO HOME,41.0,394.32715604599997,79.9,0.0
120695,241440074,62.0,19.0,EURO HOME,41.0,149.815401966,74.16937062939999,0.0
120725,242171044,19.0,15.5,TRAMONTINA,22.0,722.995213193,157.38,0.0
120731,229170002,18.0,18.0,HERCULES,18.0,945.650042996,81.5979856115,0.0
120744,256639582,17.0,12.5,BRINOX,25.0,828.27196522,117.01078947399999,0.0
120751,241440074,62.0,19.0,EURO HOME,41.0,931.141178125,60.9,0.0
120792,242171044,19.0,15.5,TRAMONTINA,22.0,249.528614386,159.051111111,0.0
120826,241440074,62.0,19.0,EURO HOME,41.0,215.67152988400002,79.9,0.0
120827,241440074,62.0,19.0,EURO HOME,41.0,879.8861255830001,63.06769230770001,0.0
120833,241440074,62.0,19.0,EURO HOME,41.0,88.9797195756,79.9,0.0
120838,258328660,19.7,19.7,AT.HOME,20.2,702.346007484,49.99,0.0
120880,242171044,19.0,15.5,TRAMONTINA,22.0,795.9713686460001,103.685,0.0
120897,242171044,19.0,15.5,TRAMONTINA,22.0,319.93902682099997,157.38,1.0
120898,258328660,19.7,19.7,AT.HOME,20.2,183.41733677599998,43.508518518500004,0.0
120972,241440074,62.0,19.0,EURO HOME,41.0,931.4643635560001,71.5361904762,0.0
121014,241440074,62.0,19.0,EURO HOME,41.0,957.867711067,59.2333333333,0.0
121018,242171044,19.0,15.5,TRAMONTINA,22.0,395.464965633,157.38,0.0
121027,242171044,19.0,15.5,TRAMONTINA,22.0,905.840501789,149.633333333,0.0
121031,256639582,17.0,12.5,BRINOX,25.0,88.076847579,135.24,0.0
121063,241440074,62.0,19.0,EURO HOME,41.0,798.99088884,60.6435983264,0.0
121073,241440074,62.0,19.0,EURO HOME,41.0,893.106663512,60.9,0.0
121076,229170002,18.0,18.0,HERCULES,18.0,978.226303938,64.5,0.0
121085,241440074,62.0,19.0,EURO HOME,41.0,635.77619041,63.06769230770001,0.0
121104,258328660,19.7,19.7,AT.HOME,20.2,931.7011944889999,44.7939215686,0.0
121109,256639582,17.0,12.5,BRINOX,25.0,815.238513959,109.9,0.0
121133,241440074,62.0,19.0,EURO HOME,41.0,264.635984297,72.9857142857,0.0
121181,10695626,62.0,19.0,TRAMONTINA,41.0,58.584517830299994,206.9,0.0
121221,241440074,62.0,19.0,EURO HOME,41.0,50.1443857005,79.9,0.0
121249,258328660,19.7,19.7,AT.HOME,20.2,65.6339918386,39.99,1.0
121250,242171044,19.0,15.5,TRAMONTINA,22.0,242.612991684,157.38,0.0
121256,241440074,62.0,19.0,EURO HOME,41.0,223.08539213,49.9,0.0
121261,229170002,18.0,18.0,HERCULES,18.0,720.244969628,79.95,0.0
121266,229170002,18.0,18.0,HERCULES,18.0,878.853090653,70.9,0.0
121296,10695626,17.5,15.25,TRAMONTINA,21.5,797.5087268919999,207.844444444,0.0
121347,256639582,17.0,12.5,BRINOX,25.0,547.7190410119999,128.9,1.0
121348,229170002,18.0,18.0,HERCULES,18.0,300.888556363,71.598,0.0
121350,258328660,19.7,19.7,AT.HOME,20.2,214.84100337799998,49.99,0.0
121364,258328660,19.7,19.7,AT.HOME,20.2,56.661263706599996,38.172352941199996,0.0
121462,242171044,19.0,15.5,TRAMONTINA,22.0,848.44420796,169.196,0.0
121468,242171044,19.0,15.5,TRAMONTINA,22.0,979.8548545860001,162.355555556,0.0
121479,242171044,19.0,15.5,TRAMONTINA,22.0,926.893570411,157.38,0.0
121497,241440074,62.0,19.0,EURO HOME,41.0,200.913967893,72.9857142857,0.0
121502,242171044,19.0,15.5,TRAMONTINA,22.0,96.5076407603,157.38,0.0
121527,242171044,19.0,15.5,TRAMONTINA,22.0,755.635119642,140.23,0.0
121607,241440074,62.0,19.0,EURO HOME,41.0,785.491129395,64.5733333333,0.0
121612,258328660,19.7,19.7,AT.HOME,20.2,696.123282958,39.99,0.0
121621,10695626,19.7,19.7,TRAMONTINA,20.2,847.7560835930001,208.265,0.0
121627,258328660,19.7,19.7,AT.HOME,20.2,198.78203440099998,49.99,0.0
121662,242171044,19.0,15.5,TRAMONTINA,22.0,299.325262958,142.0,0.0
121738,258328660,19.7,19.7,AT.HOME,20.2,749.434765781,44.99,0.0
121759,229170002,18.0,18.0,HERCULES,18.0,11.374013803399999,79.95,0.0
121807,258328660,19.7,19.7,AT.HOME,20.2,717.030598003,44.571000000000005,0.0
121812,241440074,62.0,19.0,EURO HOME,41.0,5.931915878350001,79.9,0.0
121829,242171044,19.0,15.5,TRAMONTINA,22.0,291.852458338,142.0,0.0
121845,241440074,62.0,19.0,EURO HOME,41.0,48.5977234559,79.9,0.0
121862,256639582,17.0,12.5,BRINOX,25.0,495.85017577800005,109.9,0.0
121873,242171044,19.0,15.5,TRAMONTINA,22.0,732.2210973480001,144.929,0.0
121880,242171044,19.0,15.5,TRAMONTINA,22.0,809.3122908930001,164.9,0.0
121893,10695626,40.5,17.25,TRAMONTINA,31.5,580.686567061,208.3,0.0
121899,241440074,62.0,19.0,EURO HOME,41.0,637.607744153,55.9,0.0
121904,242171044,19.0,15.5,TRAMONTINA,22.0,336.906302091,142.0,1.0
121965,241440074,62.0,19.0,EURO HOME,41.0,141.760924795,63.06769230770001,0.0
121977,258328660,19.7,19.7,AT.HOME,20.2,391.96596555,39.99,0.0
121996,229170002,18.0,18.0,HERCULES,18.0,999.101665642,70.9,0.0
122000,241440074,62.0,19.0,EURO HOME,41.0,75.88853380489999,60.99,0.0
122002,256639582,17.0,12.5,BRINOX,25.0,17.5573326289,131.744117647,0.0
122020,242171044,19.0,15.5,TRAMONTINA,22.0,781.0711152910001,151.95956044,0.0
122067,10695626,18.5,16.75,TRAMONTINA,20.0,718.057578522,208.58,0.0
122115,229170002,18.0,18.0,HERCULES,18.0,176.52317331900002,93.735,0.0
122159,242171044,19.0,15.5,TRAMONTINA,22.0,87.8248655162,164.9,0.0
122205,229170002,18.0,18.0,HERCULES,18.0,593.509120048,70.9,0.0
122215,241440074,62.0,19.0,EURO HOME,41.0,310.473637811,56.415,0.0
122223,256639582,17.0,12.5,BRINOX,25.0,418.891300579,132.595128205,0.0
122229,258328660,19.7,19.7,AT.HOME,20.2,334.868778797,49.99,0.0
122245,242171044,19.0,15.5,TRAMONTINA,22.0,268.703983029,157.38,0.0
122277,242171044,19.0,15.5,TRAMONTINA,22.0,511.61579719450003,164.9,0.0
122314,241440074,62.0,19.0,EURO HOME,41.0,754.52761136,70.2333333333,0.0
122323,229170002,18.0,18.0,HERCULES,18.0,96.0111460373,97.09,0.0
122374,242171044,19.0,15.5,TRAMONTINA,22.0,847.316385415,73.995,0.0
122437,241440074,62.0,19.0,EURO HOME,41.0,557.23614038,50.9,0.0
122454,258328660,19.7,19.7,AT.HOME,20.2,976.169801795,39.99,1.0
122479,258328660,19.7,19.7,AT.HOME,20.2,285.236954938,44.99,0.0
122534,256639582,17.0,12.5,BRINOX,25.0,502.89985646300005,128.9,0.0
122583,241440074,62.0,19.0,EURO HOME,41.0,496.486975971,49.9,0.0
122627,241440074,62.0,19.0,EURO HOME,41.0,379.309527638,79.9,0.0
122644,242171044,19.0,15.5,TRAMONTINA,22.0,219.67074055900002,157.38,0.0
122648,242171044,19.0,15.5,TRAMONTINA,22.0,944.421233007,164.9,1.0
122651,229170002,18.0,18.0,HERCULES,18.0,660.837169487,76.99,0.0
122653,242171044,19.0,15.5,TRAMONTINA,22.0,40.3350368633,150.20264,0.0
122671,242171044,19.0,15.5,TRAMONTINA,22.0,844.8691392589999,169.196,0.0
122676,258328660,19.7,19.7,AT.HOME,20.2,503.440500579,49.99,0.0
122719,256639582,17.0,12.5,BRINOX,25.0,693.7153327130001,122.565,0.0
122734,229170002,18.0,18.0,HERCULES,18.0,596.450686419,99.99,0.0
122836,10695626,18.5,16.75,TRAMONTINA,20.0,52.4310958988,208.58,0.0
122847,242171044,19.0,15.5,TRAMONTINA,22.0,729.754945792,140.23,0.0
122878,241440074,62.0,19.0,EURO HOME,41.0,67.5805314481,49.9,0.0
122880,229170002,18.0,18.0,HERCULES,18.0,78.638238995,79.95,0.0
122892,229170002,18.0,18.0,HERCULES,18.0,191.13718736200002,76.99,0.0
122936,242171044,19.0,15.5,TRAMONTINA,22.0,173.86390328599998,151.95956044,0.0
122973,242171044,19.0,15.5,TRAMONTINA,22.0,725.7723117080001,150.20264,0.0
122990,242171044,19.0,15.5,TRAMONTINA,22.0,908.7406050889999,159.88666666700001,0.0
123078,258328660,19.7,19.7,AT.HOME,20.2,467.76837026199996,49.99,0.0
123091,242171044,19.0,15.5,TRAMONTINA,22.0,919.23895213,164.9,0.0
123093,242171044,19.0,15.5,TRAMONTINA,22.0,848.6039107260001,157.38,0.0
123102,241440074,62.0,19.0,EURO HOME,41.0,719.5889137219999,55.7666666667,0.0
123114,241440074,62.0,19.0,EURO HOME,41.0,190.75119803400003,52.5233333333,0.0
123129,258328660,19.7,19.7,AT.HOME,20.2,109.414004243,44.571000000000005,0.0
123140,258328660,19.7,19.7,AT.HOME,20.2,754.3443568060001,49.99,0.0
123145,241440074,62.0,19.0,EURO HOME,41.0,196.614574,66.96,0.0
123203,242171044,19.0,15.5,TRAMONTINA,22.0,853.081131789,159.88666666700001,0.0
123241,241440074,62.0,19.0,EURO HOME,41.0,790.4134270410001,79.9,0.0
123276,229170002,18.0,18.0,HERCULES,18.0,827.732699993,87.48,1.0
123286,258328660,19.7,19.7,AT.HOME,20.2,574.241768653,48.74,0.0
123371,229170002,18.0,18.0,HERCULES,18.0,702.3635759269999,90.39299999999999,0.0
123414,10695626,18.0,18.0,TRAMONTINA,18.0,456.87102091,208.58,0.0
123424,10695626,18.0,18.0,TRAMONTINA,18.0,265.679745369,209.0,0.0
123432,229170002,18.0,18.0,HERCULES,18.0,445.23323355800005,87.48,0.0
123455,10695626,18.0,18.0,TRAMONTINA,18.0,475.430190005,206.266666667,0.0
123528,229170002,18.0,18.0,HERCULES,18.0,311.578344711,83.995,0.0
123542,241440074,62.0,19.0,EURO HOME,41.0,756.4564777,79.9,0.0
123543,229170002,18.0,18.0,HERCULES,18.0,190.35086134,97.67,0.0
123565,10695626,40.0,18.5,TRAMONTINA,29.5,917.1064253589999,208.58,0.0
123566,241440074,62.0,19.0,EURO HOME,41.0,885.163461699,79.9,0.0
123577,258328660,19.7,19.7,AT.HOME,20.2,278.618133472,46.6566666667,0.0
123583,242171044,19.0,15.5,TRAMONTINA,22.0,789.56866459,142.0,0.0
123594,241440074,62.0,19.0,EURO HOME,41.0,756.597641206,60.6435983264,0.0
123614,242171044,19.0,15.5,TRAMONTINA,22.0,320.495108765,151.404,0.0
123616,241440074,62.0,19.0,EURO HOME,41.0,826.453859555,79.9,0.0
123686,229170002,18.0,18.0,HERCULES,18.0,278.75578732099996,97.67,0.0
123710,229170002,18.0,18.0,HERCULES,18.0,944.705218942,91.1175,0.0
123737,241440074,62.0,19.0,EURO HOME,41.0,496.517617487,59.99,1.0
123821,10695626,40.0,18.5,TRAMONTINA,29.5,690.917316723,208.18333333299998,0.0
123825,229170002,18.0,18.0,HERCULES,18.0,881.7704694239999,82.2307936508,0.0
123872,10695626,18.85,18.85,TRAMONTINA,19.1,437.863038408,207.96,0.0
123874,258328660,19.7,19.7,AT.HOME,20.2,201.792916123,49.99,0.0
123892,242171044,19.0,15.5,TRAMONTINA,22.0,1.11269963361,123.9,0.0
123917,258328660,19.7,19.7,AT.HOME,20.2,477.934405828,44.99,0.0
123920,229170002,18.0,18.0,HERCULES,18.0,897.194986078,82.29679245279999,0.0
123921,242171044,19.0,15.5,TRAMONTINA,22.0,688.7188222460001,161.18673913,0.0
123992,256639582,17.0,12.5,BRINOX,25.0,326.840178403,104.835,0.0
124007,10695626,18.0,14.0,TRAMONTINA,23.5,896.348210361,209.0,0.0
124023,242171044,19.0,15.5,TRAMONTINA,22.0,900.561522612,153.111428571,0.0
124029,241440074,62.0,19.0,EURO HOME,41.0,370.73996105300006,60.9,1.0
124074,10695626,40.85,19.35,TRAMONTINA,30.6,30.320388662800003,208.31666666700002,0.0
124094,258328660,19.7,19.7,AT.HOME,20.2,527.329196435,45.987142857100004,0.0
124122,229170002,18.0,18.0,HERCULES,18.0,841.0772161189999,89.85,0.0
124131,256639582,17.0,12.5,BRINOX,25.0,507.417216446,151.0,1.0
124156,256639582,17.0,12.5,BRINOX,25.0,278.301002403,151.0,0.0
124163,258328660,19.7,19.7,AT.HOME,20.2,500.817640969,49.99,0.0
124168,242171044,19.0,15.5,TRAMONTINA,22.0,215.551598601,152.565,0.0
124209,241440074,62.0,19.0,EURO HOME,41.0,152.061516877,60.9,0.0
124243,258328660,19.7,19.7,AT.HOME,20.2,685.360603824,47.7677777778,0.0
124299,242171044,19.0,15.5,TRAMONTINA,22.0,900.16596149,153.111428571,0.0
124324,242171044,19.0,15.5,TRAMONTINA,22.0,459.047905852,127.52,0.0
124334,242171044,19.0,15.5,TRAMONTINA,22.0,213.50190670400002,157.38,0.0
124338,241440074,62.0,19.0,EURO HOME,41.0,914.728351795,79.9,0.0
124372,229170002,18.0,18.0,HERCULES,18.0,269.438547505,93.735,0.0
124405,256639582,17.0,12.5,BRINOX,25.0,311.92484026299996,122.76714285700001,0.0
124485,10695626,39.5,15.75,TRAMONTINA,33.0,849.193161421,208.265,0.0
124503,241440074,62.0,19.0,EURO HOME,41.0,655.867148013,53.5666666667,0.0
124508,258328660,19.7,19.7,AT.HOME,20.2,967.7782243339999,49.99,1.0
124515,241440074,62.0,19.0,EURO HOME,41.0,10.5038449598,79.9,0.0
124522,242171044,19.0,15.5,TRAMONTINA,22.0,733.396418422,146.25,0.0
124668,229170002,18.0,18.0,HERCULES,18.0,453.068354073,87.48,0.0
124689,256639582,17.0,12.5,BRINOX,25.0,48.8895464983,109.9,0.0
124699,241440074,62.0,19.0,EURO HOME,41.0,273.387143422,60.9,0.0
124704,242171044,19.0,15.5,TRAMONTINA,22.0,895.1460059010001,151.95956044,0.0
124736,241440074,62.0,19.0,EURO HOME,41.0,31.6059794916,49.9,1.0
124775,242171044,19.0,15.5,TRAMONTINA,22.0,125.587511985,164.9,0.0
124844,256639582,17.0,12.5,BRINOX,25.0,48.4471957167,109.9,0.0
124862,229170002,18.0,18.0,HERCULES,18.0,247.524704025,89.98200000000001,0.0
124869,241440074,62.0,19.0,EURO HOME,41.0,754.041240096,67.08571428569999,0.0
124924,258328660,19.7,19.7,AT.HOME,20.2,16.6809801039,39.99,1.0
124980,241440074,62.0,19.0,EURO HOME,41.0,482.08148700000004,60.9,0.0
125085,242171044,19.0,15.5,TRAMONTINA,22.0,786.9385950689999,164.9,0.0
125160,242171044,19.0,15.5,TRAMONTINA,22.0,994.34202031,160.459146341,0.0
125205,241440074,62.0,19.0,EURO HOME,41.0,253.483478895,55.7666666667,0.0
125207,258328660,19.7,19.7,AT.HOME,20.2,943.3650438389999,45.4066666667,0.0
125231,242171044,19.0,15.5,TRAMONTINA,22.0,457.49633261900004,157.38,1.0
125234,242171044,19.0,15.5,TRAMONTINA,22.0,332.735049496,164.9,0.0
125281,241440074,62.0,19.0,EURO HOME,41.0,297.523479958,68.24,0.0
125289,241440074,62.0,19.0,EURO HOME,41.0,813.96870815,79.9,0.0
125309,258328660,19.7,19.7,AT.HOME,20.2,622.156066541,39.589,0.0
125316,241440074,62.0,19.0,EURO HOME,41.0,827.947076887,56.2533333333,0.0
125347,258328660,19.7,19.7,AT.HOME,20.2,202.29179540599998,39.99,0.0
125397,241440074,62.0,19.0,EURO HOME,41.0,39.0022365358,79.9,0.0
125405,258328660,19.7,19.7,AT.HOME,20.2,161.105261546,38.172352941199996,0.0
125425,229170002,18.0,18.0,HERCULES,18.0,263.546081555,79.95,0.0
125432,256639582,17.0,12.5,BRINOX,25.0,206.49968634400003,105.944,0.0
125453,242171044,19.0,15.5,TRAMONTINA,22.0,306.738147399,157.38,1.0
125467,241440074,62.0,19.0,EURO HOME,41.0,262.526311904,79.9,0.0
125500,241440074,62.0,19.0,EURO HOME,41.0,56.4733286302,79.9,0.0
125572,229170002,18.0,18.0,HERCULES,18.0,451.10813963,81.9,0.0
125587,256639582,17.0,12.5,BRINOX,25.0,710.6631748310001,128.9,0.0
125636,229170002,18.0,18.0,HERCULES,18.0,762.680699557,93.54,0.0
125641,242171044,19.0,15.5,TRAMONTINA,22.0,766.5176423989999,209.99,0.0
125715,258328660,19.7,19.7,AT.HOME,20.2,31.7734107632,49.99,0.0
125723,242171044,19.0,15.5,TRAMONTINA,22.0,820.2169717510001,163.33,0.0
125724,241440074,62.0,19.0,EURO HOME,41.0,547.527033339,60.9,0.0
125735,242171044,19.0,15.5,TRAMONTINA,22.0,281.769255005,157.38,0.0
125746,229170002,18.0,18.0,HERCULES,18.0,572.168508899,82.29679245279999,0.0
125795,242171044,19.0,15.5,TRAMONTINA,22.0,140.564571882,132.5,0.0
125796,242171044,19.0,15.5,TRAMONTINA,22.0,796.869211122,157.38,1.0
125813,229170002,18.0,18.0,HERCULES,18.0,140.50182194799999,99.99,0.0
125819,242171044,19.0,15.5,TRAMONTINA,22.0,311.336015905,157.38,0.0
125848,242171044,19.0,15.5,TRAMONTINA,22.0,723.1364040789999,157.38,0.0
125879,242171044,19.0,15.5,TRAMONTINA,22.0,207.300290415,127.525,0.0
125919,229170002,18.0,18.0,HERCULES,18.0,425.97149394400003,97.67,0.0
125957,242171044,19.0,15.5,TRAMONTINA,22.0,42.110587424,164.9,0.0
125990,229170002,18.0,18.0,HERCULES,18.0,376.956670594,87.48,0.0
126019,258328660,19.7,19.7,AT.HOME,20.2,96.4735007901,45.987142857100004,0.0
126021,242171044,19.0,15.5,TRAMONTINA,22.0,753.643803368,142.0,0.0
126087,258328660,19.7,19.7,AT.HOME,20.2,509.777423175,36.89,0.0
126111,241440074,62.0,19.0,EURO HOME,41.0,292.332582299,79.9,0.0
126184,242171044,19.0,15.5,TRAMONTINA,22.0,373.88401155699995,157.38,1.0
126271,258328660,19.7,19.7,AT.HOME,20.2,77.25395629329999,39.99,0.0
126323,241440074,62.0,19.0,EURO HOME,41.0,553.8218393369999,74.2235443038,0.0
126328,229170002,18.0,18.0,HERCULES,18.0,232.19247676,99.99,0.0
126346,241440074,62.0,19.0,EURO HOME,41.0,978.610033981,60.9,0.0
126366,241440074,62.0,19.0,EURO HOME,41.0,176.52317331900002,79.9,0.0
126415,241440074,62.0,19.0,EURO HOME,41.0,603.519773034,60.9,0.0
126438,242171044,19.0,15.5,TRAMONTINA,22.0,463.475033869,142.0,0.0
126469,229170002,18.0,18.0,HERCULES,18.0,429.075860167,70.9,0.0
126472,258328660,19.7,19.7,AT.HOME,20.2,645.341821628,44.99,0.0
126474,241440074,62.0,19.0,EURO HOME,41.0,302.697965707,79.9,0.0
126475,241440074,62.0,19.0,EURO HOME,41.0,320.392037182,79.9,0.0
126500,242171044,19.0,15.5,TRAMONTINA,22.0,938.227093633,77.09046357615,0.0
126566,241440074,62.0,19.0,EURO HOME,41.0,313.261503222,74.2809271523,0.0
126586,241440074,62.0,19.0,EURO HOME,41.0,287.754677151,60.9,0.0
126603,241440074,62.0,19.0,EURO HOME,41.0,684.98041971,68.89625,0.0
126615,256639582,17.0,12.5,BRINOX,25.0,26.4670120447,212.28,0.0
126624,242171044,19.0,15.5,TRAMONTINA,22.0,432.98600017900003,142.0,0.0
126641,241440074,62.0,19.0,EURO HOME,41.0,334.238473192,79.9,1.0
126648,229170002,18.0,18.0,HERCULES,18.0,842.343265987,81.4532352941,0.0
126651,258328660,19.7,19.7,AT.HOME,20.2,639.875772806,43.508518518500004,0.0
126687,241440074,62.0,19.0,EURO HOME,41.0,635.142880456,74.0768553459,0.0
126705,241440074,62.0,19.0,EURO HOME,41.0,889.350836975,79.9,0.0
126722,242171044,19.0,15.5,TRAMONTINA,22.0,379.651131271,157.38,0.0
126780,241440074,62.0,19.0,EURO HOME,41.0,2.83036092171,60.9,0.0
126785,242171044,19.0,15.5,TRAMONTINA,22.0,380.41033742400003,140.23,0.0
126801,258328660,19.7,19.7,AT.HOME,20.2,275.122570497,39.99,0.0
126813,241440074,62.0,19.0,EURO HOME,41.0,685.776008147,60.9,0.0
126832,258328660,19.7,19.7,AT.HOME,20.2,489.634451276,45.2263636364,0.0
126841,242171044,19.0,15.5,TRAMONTINA,22.0,904.9136832989999,157.38,0.0
