,ITEM_ID,ALTURA,LARGURA,MARCA,PROFUNDIDADE,SESSION_ID,ITEM_PRICE,INTERESTED
120243,216538542,13.0,15.0,TRAMONTINA,14.0,207.474464341,60.2,0.0
120302,216538542,13.0,15.0,TRAMONTINA,14.0,789.127353278,65.0,0.0
120336,258464144,11.3,13.0,BRINOX,19.5,936.270768259,41.41,0.0
120653,216538542,13.0,15.0,TRAMONTINA,14.0,636.00149333,62.6734693878,0.0
120870,216538542,13.0,15.0,TRAMONTINA,14.0,105.847403826,65.1134615385,0.0
120877,216538542,13.0,15.0,TRAMONTINA,14.0,270.230408056,60.8434375,0.0
121057,257256182,12.0,13.0,BRINOX,17.5,350.84136010833333,37.99,0.0
121131,216538542,13.0,15.0,TRAMONTINA,14.0,431.4523121606667,65.0,0.0
121241,216538542,13.0,15.0,TRAMONTINA,14.0,512.063264213,64.1428571429,0.0
121340,216538542,13.0,15.0,TRAMONTINA,14.0,832.970406273,60.411764705900005,0.0
121372,216538542,13.0,15.0,TRAMONTINA,14.0,661.46754197,65.0,0.0
121454,216538542,13.0,15.0,TRAMONTINA,14.0,216.16796206,65.0,0.0
121514,257169156,12.5,14.0,TRAMONTINA,15.75,288.461187511,78.015,0.0
121534,257256182,12.0,13.0,BRINOX,17.5,177.87753518099998,34.99,0.0
121561,216538542,13.0,15.0,TRAMONTINA,14.0,961.5154106839999,65.56,0.0
121642,216538542,13.0,15.0,TRAMONTINA,14.0,844.8672844189999,65.0,0.0
121646,216538542,13.0,15.0,TRAMONTINA,14.0,708.4279685710001,61.1428571429,0.0
121695,216538542,13.0,15.0,TRAMONTINA,14.0,741.99846563,70.9133333333,0.0
121732,216538542,13.0,15.0,TRAMONTINA,14.0,54.6545090364,59.0,0.0
121778,216538542,13.0,15.0,TRAMONTINA,14.0,667.206214003,64.12375,0.0
121911,216538542,13.0,15.0,TRAMONTINA,14.0,270.438087946,60.2,0.0
121946,216538542,13.0,15.0,TRAMONTINA,14.0,830.908789485,65.0,1.0
121980,216538542,13.0,15.0,TRAMONTINA,14.0,996.557244085,66.6633333333,0.0
122036,216538542,13.0,15.0,TRAMONTINA,14.0,545.352993351,66.5,0.0
122099,216538542,13.0,15.0,TRAMONTINA,14.0,557.8806582569999,65.0,0.0
122144,216538542,13.0,15.0,TRAMONTINA,14.0,532.6593382330001,64.5973333333,0.0
122155,216538542,13.0,15.0,TRAMONTINA,14.0,288.605895679,62.6,0.0
122334,216538542,13.0,15.0,TRAMONTINA,14.0,460.57715015199994,65.1134615385,0.0
122413,216538542,13.0,15.0,TRAMONTINA,14.0,418.20941894,65.0,1.0
122738,216538542,13.0,15.0,TRAMONTINA,14.0,345.401427278,59.0,0.0
122744,257256182,12.0,13.0,BRINOX,17.5,652.047641258,34.99,1.0
122960,216538542,13.0,15.0,TRAMONTINA,14.0,357.49759391699996,64.99,0.0
123099,216538542,13.0,15.0,TRAMONTINA,14.0,196.82799427400002,65.44800000000001,0.0
123246,216538542,13.0,15.0,TRAMONTINA,14.0,409.99539013699996,74.9,0.0
123260,216538542,13.0,15.0,TRAMONTINA,14.0,585.528097594,60.411764705900005,0.0
123274,216538542,13.0,15.0,TRAMONTINA,14.0,523.194667908,65.0,0.0
123629,216538542,13.0,15.0,TRAMONTINA,14.0,503.274923936,65.0,0.0
123634,216538542,13.0,15.0,TRAMONTINA,14.0,865.6696475130001,65.2268181818,0.0
123664,216538542,13.0,15.0,TRAMONTINA,14.0,852.674824495,66.2475,0.0
123669,216538542,13.0,15.0,TRAMONTINA,14.0,466.451934348,65.56,0.0
123690,216538542,13.0,15.0,TRAMONTINA,14.0,178.740681878,65.0,0.0
123990,216538542,13.0,15.0,TRAMONTINA,14.0,981.233949433,59.0,0.0
123993,216538542,13.0,15.0,TRAMONTINA,14.0,391.04679596,65.0,0.0
124015,216538542,13.0,15.0,TRAMONTINA,14.0,80.6653905716,64.4422222222,0.0
124021,258464144,11.3,13.0,BRINOX,19.5,39.2676137704,29.9,0.0
124022,216538542,13.0,15.0,TRAMONTINA,14.0,131.13444098,59.0,0.0
124054,216538542,13.0,15.0,TRAMONTINA,14.0,319.142201377,59.0,0.0
124087,216538542,13.0,15.0,TRAMONTINA,14.0,775.929047195,59.8,0.0
124090,216538542,13.0,15.0,TRAMONTINA,14.0,558.401551558,59.0,0.0
124268,258464390,13.0,15.0,BRINOX,20.0,852.998380917,62.0,0.0
124337,216538542,13.0,15.0,TRAMONTINA,14.0,824.758269003,65.0,0.0
124531,216538542,13.0,15.0,TRAMONTINA,14.0,880.140218461,60.2,0.0
124608,216538542,13.0,15.0,TRAMONTINA,14.0,141.71327573,67.3181818182,0.0
124694,257169156,13.0,15.0,TRAMONTINA,14.0,205.845815875,66.1590909091,0.0
124909,216538542,13.0,15.0,TRAMONTINA,14.0,740.559825665,65.0,1.0
124994,216538542,13.0,15.0,TRAMONTINA,14.0,277.715514799,65.0,0.0
125067,216538542,13.0,15.0,TRAMONTINA,14.0,489.37563255,64.98888888890001,0.0
125143,258464390,13.0,15.0,BRINOX,20.0,380.03572127300004,64.99444444445001,0.0
125184,216538542,13.0,15.0,TRAMONTINA,14.0,981.8697120960001,65.0,0.0
125212,216538542,13.0,15.0,TRAMONTINA,14.0,71.1350358292,64.995,0.0
125235,216538542,13.0,15.0,TRAMONTINA,14.0,246.73310868599998,64.99,0.0
125448,216538542,13.0,15.0,TRAMONTINA,14.0,527.125829802,65.0,0.0
125759,216538542,13.0,15.0,TRAMONTINA,14.0,92.8777027184,65.0,0.0
125780,216538542,13.0,15.0,TRAMONTINA,14.0,778.566677362,59.0,0.0
125864,216538542,13.0,15.0,TRAMONTINA,14.0,797.358646203,61.1428571429,0.0
125865,216538542,13.0,15.0,TRAMONTINA,14.0,229.763648785,65.0,1.0
126094,216538542,13.0,15.0,TRAMONTINA,14.0,40.3654282141,65.0,0.0
126107,216538542,13.0,15.0,TRAMONTINA,14.0,581.9440691780001,60.8,0.0
126134,257169156,13.0,15.0,TRAMONTINA,14.0,108.575067814,77.0,0.0
126167,216538542,13.0,15.0,TRAMONTINA,14.0,347.32081739,62.6734693878,0.0
126171,216538542,13.0,15.0,TRAMONTINA,14.0,560.620272524,65.7128571429,0.0
126295,216538542,13.0,15.0,TRAMONTINA,14.0,121.994171999,60.411764705900005,0.0
