,ITEM_ID,COR,MARCA,PROFUNDIDADE,SESSION_ID,ITEM_PRICE,INTERESTED
125218,260008262,VERMELHO,FUMIL,26.5,23.4937452346,172.222,0.0
127312,260009382,AZUL,PANELA MINEIRA,26.0,414.611280826,172.3615,0.0
131159,260009382,AZUL,PANELA MINEIRA,26.0,146.917430072,172.501,0.0
132229,260009382,AZUL,PANELA MINEIRA,26.0,234.479569397,172.6405,0.0
134323,260008262,VERMELHO,FUMIL,26.5,196.427095536,172.78,0.0
134380,260009382,AZUL,PANELA MINEIRA,26.0,569.271366225,166.885,0.0
138004,260009382,AZUL,PANELA MINEIRA,26.0,916.605539043,160.99,0.0
146120,260009382,AZUL,PANELA MINEIRA,26.0,642.747687292,166.6525,0.0
147392,260008262,VERMELHO,FUMIL,26.5,26.742287945799998,172.315,0.0
147485,260009382,AZUL,PANELA MINEIRA,26.0,812.2231032980001,172.26850000000002,0.0
149591,260008262,VERMELHO,FUMIL,26.5,353.32632954699994,172.222,0.0
149726,260008262,VERMELHO,FUMIL,26.5,506.340117515,172.315,0.0
149785,260009104,LARANJA,PANELA MINEIRA,26.0,654.69686903,154.99,0.0
150378,260008262,VERMELHO,FUMIL,26.5,312.94910848,172.78,1.0
150894,260008262,VERMELHO,FUMIL,26.5,303.5162307955,172.222,0.0
152771,260008262,VERMELHO,FUMIL,26.5,294.083353111,172.222,0.0
155677,260008262,VERMELHO,FUMIL,26.5,214.460385858,172.222,0.0
158027,260009382,AZUL,PANELA MINEIRA,26.0,477.04125447300004,172.501,0.0
158368,260008262,VERMELHO,FUMIL,26.5,692.225702585,172.78,0.0
158803,260009104,LARANJA,PANELA MINEIRA,26.0,415.12773327199994,158.74,0.0
159138,260009104,LARANJA,PANELA MINEIRA,26.0,535.0183962790001,162.25,0.0
159937,260008262,VERMELHO,FUMIL,26.5,397.292507862,165.76,0.0
160762,260009104,LARANJA,PANELA MINEIRA,26.0,104.46741505799999,169.27,0.0
161007,260008262,VERMELHO,FUMIL,26.5,303.22274957400003,172.78,0.0
161510,260008262,VERMELHO,FUMIL,26.5,816.554347945,172.78,1.0
161988,260009382,AZUL,PANELA MINEIRA,26.0,571.754092223,172.501,0.0
162404,260008262,VERMELHO,FUMIL,26.5,266.70608127599996,172.222,0.0
165670,260008262,VERMELHO,FUMIL,26.5,847.487841087,159.275714286,0.0
169877,260008262,VERMELHO,FUMIL,26.5,599.6851375480001,172.78,0.0
170646,260008262,VERMELHO,FUMIL,26.5,477.609147086,171.385,0.0
170876,260009104,LARANJA,PANELA MINEIRA,26.0,383.53872821,169.99,0.0
171377,260009382,AZUL,PANELA MINEIRA,26.0,921.723085635,170.548,0.0
172951,260009104,LARANJA,PANELA MINEIRA,26.0,316.828177312,171.106,0.0
173663,260009104,LARANJA,PANELA MINEIRA,26.0,181.09104780099997,171.66400000000002,0.0
173780,260009382,AZUL,PANELA MINEIRA,26.0,453.261307784,172.222,0.0
174026,260008262,VERMELHO,FUMIL,26.5,329.815731578,172.78,1.0
175896,260008262,VERMELHO,FUMIL,26.5,468.345645512,159.275714286,0.0
180003,260009382,AZUL,PANELA MINEIRA,26.0,65.3290259074,159.275714286,0.0
