,ITEM_ID,COR,SESSION_ID,ITEM_PRICE,INTERESTED
120189,258462672,PRATA,240.43975466400002,72.43,0.0
120711,258462672,PRATA,414.16071206699996,64.99,0.0
121084,258462672,PRATA,742.316114232,73.04304347829999,0.0
121255,258462672,PRATA,741.162134955,70.3471568627,0.0
121875,258462672,PRATA,52.119602182,72.43,0.0
121922,258462672,PRATA,815.765189428,71.49,0.0
122149,258461216,TURQUESA,1.8131878906,64.99,1.0
122165,258461216,TURQUESA,973.9352609560001,75.9,0.0
122312,258461216,TURQUESA,421.383182644,64.99,0.0
122831,258462672,PRATA,427.106587725,65.2933333333,0.0
122969,258462672,PRATA,472.933285005,73.37,0.0
123839,258462672,PRATA,322.35547449,73.37,0.0
124232,258462672,PRATA,769.8094102919999,75.9,0.0
124691,258462672,PRATA,241.73647256599997,73.37,0.0
125794,258462672,PRATA,36.3679580578,71.49,0.0
126144,258462672,PRATA,840.6299812980001,73.37,0.0
126387,258461216,TURQUESA,440.080793996,73.37,0.0
126994,258462672,PRATA,135.99388733700002,93.848,0.0
127309,258462672,PRATA,184.00153393,67.945,0.0
127396,258462672,PRATA,568.227038711,75.9,0.0
127606,258462672,PRATA,511.44589896400004,72.43,0.0
127985,258462672,PRATA,118.44109189,68.24,0.0
128178,258461216,TURQUESA,104.621820252,72.7433333333,0.0
128287,258462672,PRATA,497.90127639199994,72.60625,0.0
129072,258462672,PRATA,481.017613383,68.24,0.0
129132,258462672,PRATA,49.7083274762,71.49,0.0
129159,258462672,PRATA,207.666589297,64.99,0.0
129879,258462672,PRATA,445.805691836,84.4975,0.0
129986,258462672,PRATA,473.57454080300005,73.37,0.0
130082,258462672,PRATA,710.803175597,67.945,0.0
130271,258462672,PRATA,815.314513994,78.838125,0.0
130428,258462672,PRATA,653.678614809,64.99,0.0
130660,258462672,PRATA,200.395010087,74.566,0.0
130935,258462672,PRATA,181.802887324,64.99,0.0
131353,258462672,PRATA,181.87393387900002,72.60625,0.0
131663,258461216,TURQUESA,323.221047013,73.37,0.0
131786,258462672,PRATA,696.7613295460001,71.49,0.0
131856,258462672,PRATA,846.082918319,75.9,0.0
132124,258461216,TURQUESA,528.261302001,66.0733333333,0.0
132499,258462672,PRATA,172.53356442400002,64.99,0.0
132689,258462672,PRATA,58.5063143213,78.838125,0.0
132768,258462672,PRATA,548.826209904,74.92509090909999,0.0
132931,258461216,TURQUESA,796.473700218,73.37,0.0
133150,258462672,PRATA,605.3556863680001,68.24,0.0
133286,258462672,PRATA,743.6576386219999,74.92509090909999,0.0
133304,258462672,PRATA,753.858840791,73.37,0.0
133440,258462672,PRATA,624.166914379,74.92509090909999,0.0
133806,258462672,PRATA,203.41878175,75.9,0.0
133844,258461216,TURQUESA,572.8373423119999,73.695,0.0
133922,258462672,PRATA,431.771399095,71.49,1.0
134490,258462672,PRATA,362.63528802900004,78.838125,0.0
134664,258462672,PRATA,428.928814449,67.945,0.0
134883,258462672,PRATA,713.1271121410001,69.44,0.0
134961,258462672,PRATA,936.0089212910001,70.935,0.0
135152,258462672,PRATA,440.67550256199996,72.43,0.0
136077,258461216,TURQUESA,832.61603081,75.9,0.0
136100,258462672,PRATA,471.524429153,70.3471568627,0.0
136557,258462672,PRATA,7.74785059132,64.99,0.0
137243,258462672,PRATA,604.670916568,69.95754545455,0.0
138930,258462672,PRATA,845.014520017,74.92509090909999,0.0
139108,258462672,PRATA,388.223153538,67.945,0.0
139315,258462672,PRATA,267.635213745,68.24,0.0
139516,258462672,PRATA,554.224503993,73.37,0.0
139571,258462672,PRATA,570.9190825669999,74.92509090909999,0.0
139954,258462672,PRATA,591.264639253,73.37,0.0
140540,258462672,PRATA,397.493357289,65.2933333333,0.0
141377,258462672,PRATA,661.525583022,65.3583333333,0.0
141780,258461216,TURQUESA,795.217512887,65.4233333333,0.0
141820,258462672,PRATA,677.62153363,70.3471568627,0.0
141822,258462672,PRATA,920.901793238,73.37,0.0
142173,258462672,PRATA,707.926142842,78.838125,0.0
142268,258461216,TURQUESA,195.014906827,65.4542857143,0.0
142512,258461216,TURQUESA,718.524446339,71.49,0.0
142774,258462672,PRATA,387.512143303,64.99,0.0
143156,258462672,PRATA,76.5212645373,64.99,1.0
143286,258461216,TURQUESA,213.854750657,64.99,0.0
143540,258462672,PRATA,322.107202907,73.37,0.0
143571,258462672,PRATA,309.820049876,73.37,0.0
143616,258462672,PRATA,23.3726273658,73.37,0.0
143624,258462672,PRATA,872.20624879,73.37,0.0
144171,258461216,TURQUESA,185.37421499599998,89.99,0.0
144349,258461216,TURQUESA,728.523548474,80.16857843135,0.0
144413,258462672,PRATA,423.207494666,70.3471568627,0.0
144482,258462672,PRATA,47.0082243662,76.0583636364,0.0
144570,258462672,PRATA,317.442302217,64.99,0.0
144973,258462672,PRATA,730.997962753,64.99,0.0
145024,258462672,PRATA,889.910241159,73.04304347829999,0.0
145157,258462672,PRATA,668.588609943,74.92509090909999,0.0
146288,258462672,PRATA,676.109227338,72.43,0.0
146566,258462672,PRATA,489.838929286,73.37,0.0
146688,258462672,PRATA,874.5081336810001,67.945,0.0
147258,258461216,TURQUESA,503.461307495,73.37,0.0
147557,258462672,PRATA,81.0387785676,72.60625,0.0
147572,258462672,PRATA,267.647228449,72.988125,0.0
147785,258462672,PRATA,187.58108925,73.37,0.0
148168,258462672,PRATA,254.506123998,72.5724242424,0.0
148475,258461216,TURQUESA,258.411531459,74.2362121212,0.0
148590,258461216,TURQUESA,13.665802841700001,75.9,0.0
148837,258461216,TURQUESA,62.9619880849,65.9185714286,0.0
149425,258462672,PRATA,174.79402035745,76.0583636364,0.0
149815,258461216,TURQUESA,286.62605263,70.5966666667,0.0
150111,258462672,PRATA,612.970610827,64.99,1.0
151413,258462672,PRATA,765.071450455,73.37,0.0
151533,258462672,PRATA,869.934073692,73.37,0.0
151790,258462672,PRATA,890.279753658,64.99,0.0
152008,258462672,PRATA,349.47372460800005,73.37,0.0
152747,258462672,PRATA,320.749486136,73.37,0.0
153730,258461216,TURQUESA,767.781449468,73.00727272729999,0.0
154387,258461216,TURQUESA,239.67685632299998,75.9,0.0
154708,258461216,TURQUESA,776.9223292360001,72.7433333333,0.0
155086,258461216,TURQUESA,704.754711538,78.67166666665,0.0
155685,258462672,PRATA,357.38898187300003,84.6,1.0
157042,258461216,TURQUESA,703.8949490010001,73.00727272729999,0.0
157188,258461216,TURQUESA,676.153387644,64.99,0.0
157208,258462672,PRATA,607.2353043859999,72.60625,0.0
157255,258462672,PRATA,317.48763019,68.24,0.0
157399,258462672,PRATA,932.8529524960001,73.04304347829999,0.0
157659,258462672,PRATA,199.264816725,64.99,0.0
157777,258461216,TURQUESA,729.371372459,70.5966666667,0.0
158622,258462672,PRATA,482.90940173,73.37,0.0
158944,258462672,PRATA,582.348206428,70.3471568627,0.0
159893,258462672,PRATA,536.006850009,71.49,1.0
160033,258462672,PRATA,500.812098886,73.37,0.0
160230,258462672,PRATA,449.185829425,73.37,1.0
160659,258462672,PRATA,660.835777028,67.945,0.0
160679,258462672,PRATA,970.782145836,64.99,0.0
160704,258462672,PRATA,725.293011708,64.99,0.0
160833,258462672,PRATA,599.94188996,65.53166666665,0.0
161022,258461216,TURQUESA,143.537917117,66.0733333333,0.0
161747,258462672,PRATA,200.611269191,74.92509090909999,0.0
161843,258462672,PRATA,146.679366593,72.43,0.0
162599,258462672,PRATA,920.775142056,72.60625,0.0
162873,258462672,PRATA,34.3652830359,64.99,0.0
163485,258462672,PRATA,261.099769407,73.37,0.0
163492,258461216,TURQUESA,434.562223065,73.37,0.0
163665,258462672,PRATA,835.763436915,72.43,0.0
164822,258462672,PRATA,107.55703158799999,68.24,0.0
164938,258462672,PRATA,595.914398256,73.5390625,0.0
165058,258462672,PRATA,680.607759039,78.838125,0.0
165591,258462672,PRATA,784.2407440710001,73.37,0.0
165597,258462672,PRATA,48.526224877,74.14754545455,0.0
165785,258462672,PRATA,848.9280104610001,74.92509090909999,0.0
165859,258462672,PRATA,465.072875919,64.99,0.0
166112,258462672,PRATA,800.2950535880001,78.838125,0.0
166413,258462672,PRATA,2.69007670556,72.5724242424,0.0
166495,258462672,PRATA,947.7301410760001,73.37,0.0
166535,258462672,PRATA,644.4099528859999,64.99,0.0
166605,258462672,PRATA,489.604113524,72.60625,0.0
166818,258461216,TURQUESA,249.920413653,64.99,0.0
167348,258461216,TURQUESA,876.431854188,73.37,0.0
167361,258462672,PRATA,347.417250336,64.99,0.0
167965,258462672,PRATA,835.48646873,74.92509090909999,0.0
168070,258462672,PRATA,853.474223776,75.9,0.0
168682,258461216,TURQUESA,365.70452224800005,72.7433333333,0.0
168706,258462672,PRATA,767.376970151,69.1975,0.0
168768,258462672,PRATA,521.680020879,75.9,1.0
168866,258462672,PRATA,795.14759985,73.37,0.0
169110,258461216,TURQUESA,257.069523738,65.4542857143,0.0
169626,258461216,TURQUESA,307.346052739,75.9,0.0
169784,258462672,PRATA,14.307398852,71.49,0.0
169891,258462672,PRATA,707.129200679,59.99,0.0
170049,258461216,TURQUESA,842.649987958,65.9185714286,0.0
170536,258462672,PRATA,556.462479365,67.945,0.0
171337,258462672,PRATA,146.356200215,72.43,0.0
171576,258462672,PRATA,97.3802214463,64.99,0.0
171635,258461216,TURQUESA,650.99106798,75.9,0.0
171646,258462672,PRATA,436.375995096,75.9,0.0
173434,258462672,PRATA,203.509992387,72.60625,0.0
174207,258461216,TURQUESA,251.82712832,71.49,1.0
175471,258462672,PRATA,791.513358516,68.24,0.0
175796,258462672,PRATA,468.888721249,74.566,0.0
176213,258461216,TURQUESA,417.99536843199996,71.49,0.0
177187,258461216,TURQUESA,493.97835512800003,65.4542857143,0.0
177279,258462672,PRATA,758.869997171,71.49,0.0
177607,258462672,PRATA,354.555580234,78.838125,0.0
177960,258462672,PRATA,777.8980388719999,68.24,0.0
178061,258461216,TURQUESA,860.260206729,73.37,0.0
178127,258462672,PRATA,646.582702636,73.37,0.0
178245,258462672,PRATA,307.346052739,78.838125,0.0
178672,258461216,TURQUESA,755.910352866,64.99,0.0
179151,258462672,PRATA,187.54236008200002,93.848,0.0
179348,258462672,PRATA,883.92599197,71.49,0.0
