,ITEM_ID,ALTURA,COR,LARGURA,MARCA,PROFUNDIDADE,TEM_FERRO_FUNDIDO,SESSION_ID,ITEM_PRICE,INTERESTED
120229,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,670.053861168,49.99,0.0
120471,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,400.349137453,49.99,0.0
120539,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,765.0783326610001,49.99,0.0
120775,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,917.0899035660001,49.99,0.0
121164,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,503.932932873,49.99,0.0
121291,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,157.835706705,49.99,0.0
121367,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,758.4306478889999,49.99,0.0
121600,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,822.1435980010001,49.99,0.0
121631,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,248.704270468,48.0366666667,1.0
121881,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,531.8124100919999,49.99,0.0
122007,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,248.192120685,49.99,0.0
122021,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,88.4151650718,49.99,0.0
122090,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,73.3040064331,49.99,0.0
122162,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,8.6631814786,49.99,0.0
122567,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,2.3735241134900003,49.99,0.0
122770,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,695.5000122660001,49.99,0.0
122832,257168168,3.0,VERMELHO,22.0,BRINOX,42.5,NAO,834.160802016,104.82,0.0
122855,257104276,4.7,LARANJA,19.5,HERCULES,33.0,SIM,168.313247218,77.405,0.0
123153,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,472.241450349,49.99,0.0
123304,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,800.3924870660001,49.99,0.0
123580,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,281.09187106400003,49.99,0.0
123727,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,94.51146485049999,49.99,0.0
123976,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,409.449969909,49.99,0.0
124101,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,966.598327767,49.99,0.0
124114,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,32.6993076278,59.0,0.0
124135,257168168,3.0,VERMELHO,22.0,BRINOX,42.5,NAO,648.80123164,104.82,0.0
124544,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,686.8402739859999,49.99,0.0
124618,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,324.479729529,49.99,0.0
124631,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,375.223351471,49.99,0.0
124936,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,996.128861056,49.99,0.0
124937,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,409.822212964,49.99,0.0
124962,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,960.9186481239999,49.99,0.0
125536,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,600.957071275,49.99,0.0
125854,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,369.701817124,49.99,0.0
126037,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,855.346393412,49.99,0.0
126370,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,247.628878409,49.99,0.0
126616,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,3.3913954089,49.99,0.0
126944,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,978.61014128,49.99,0.0
127169,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,466.84212989300005,49.99,0.0
127179,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,996.0238049710001,49.99,0.0
127431,257104276,4.7,LARANJA,19.5,HERCULES,33.0,SIM,75.8439619482,79.99,0.0
127459,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,166.073295805,56.03,0.0
127723,256638176,10.0,VERMELHO,24.5,BRINOX,39.0,NAO,947.0160263360001,49.99,0.0
