,ITEM_ID,ALTURA,COMPOSICAO,COR,LARGURA,MARCA,PROFUNDIDADE,ITEM_PRICE,INTERESTED
120337,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,54.99,0.0
120509,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
120719,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,1.0
121061,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
121286,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,55.9,0.0
121566,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,1.0
121701,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
121733,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
121885,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
122164,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
122336,263050084,32.5,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,44.99,1.0
122376,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
122629,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
122657,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.95882352939999,0.0
123053,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,54.99,0.0
123526,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,49.0,1.0
123608,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
123738,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
124199,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,54.99,0.0
124390,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,54.99,0.0
124454,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,54.99,0.0
124849,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
125391,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,59.7,0.0
125755,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,54.99,0.0
125862,263050084,32.5,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,44.99,0.0
125932,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
126069,263050084,32.5,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,44.99,0.0
126070,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,59.7,0.0
126175,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,59.7,0.0
126288,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
126296,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,59.7,0.0
126487,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
126490,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,54.99,0.0
126515,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
126751,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
127684,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,39.99,0.0
128411,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,56.20769230770001,0.0
129945,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,54.99,0.0
130284,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
130468,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,39.99,0.0
130632,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
130914,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,1.0
130993,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
131178,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,55.9,0.0
131649,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
131989,263050084,32.5,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,44.99,0.0
132493,263050084,32.5,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,44.99,0.0
132632,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,59.7,0.0
133079,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,1.0
133080,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,56.026984127,0.0
133129,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,51.49,0.0
133144,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,53.695,0.0
133331,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
133777,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
133995,263050084,32.5,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,44.99,0.0
134196,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,54.99,0.0
134273,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,1.0
134391,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
135119,263050084,32.5,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,44.99,0.0
135202,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,54.99,0.0
135242,263050810,32.5,ALUMINIO,PRETO,38.0,EURO HOME,14.5,44.99,0.0
135747,263055822,32.0,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,54.99,1.0
135761,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
135852,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
136034,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
136068,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,54.99,0.0
136845,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,39.99,0.0
137159,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,54.99,0.0
137194,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
137228,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
137413,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
137685,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
138001,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.596666666666664,0.0
138295,263050810,32.5,ALUMINIO,PRETO,38.0,EURO HOME,14.5,55.29333333333334,0.0
139221,263055822,32.0,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,54.99,0.0
139239,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,54.99,0.0
139287,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,49.0,0.0
139297,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,59.7,0.0
139483,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,52.74375,0.0
139814,263050084,32.5,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,44.99,0.0
139997,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,59.7,0.0
