,ITEM_ID,ALTURA,COR,LARGURA,PROFUNDIDADE,ITEM_PRICE,INTERESTED
121006,258463110,7.0,TURQUESA,14.5,27.0,52.29,0.0
121059,256646756,7.5,VERMELHO,19.5,32.5,46.6552941176,0.0
121189,258464550,7.5,PRATA,19.5,32.5,62.9,0.0
121693,256646756,7.5,VERMELHO,19.5,32.5,39.99,0.0
121719,256646756,7.5,VERMELHO,19.5,32.5,56.03,0.0
122161,256646756,7.5,VERMELHO,19.5,32.5,56.03,0.0
122338,256646756,7.5,VERMELHO,19.5,32.5,52.32,0.0
122428,256646756,7.5,VERMELHO,19.5,32.5,48.61,0.0
123396,256646756,7.5,VERMELHO,19.5,32.5,39.99,0.0
123635,258463110,7.0,TURQUESA,14.5,27.0,52.29,0.0
124527,257256630,7.5,GRAFITE,19.5,32.0,50.43614285715,0.0
124825,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
124893,256646756,7.5,VERMELHO,19.5,32.5,56.03,0.0
125063,258462918,7.5,TURQUESA,19.5,32.5,48.61,0.0
125101,256646756,7.5,VERMELHO,19.5,32.5,48.623181818199996,0.0
125466,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
125801,256646756,7.5,VERMELHO,19.5,32.5,46.146363636400004,0.0
125944,256646756,7.5,VERMELHO,19.5,32.5,46.146363636400004,0.0
126308,256646756,7.5,VERMELHO,19.5,32.5,63.7,0.0
126674,256646756,7.5,VERMELHO,19.5,32.5,63.7,0.0
127144,256646756,7.5,VERMELHO,19.5,32.5,48.6270588235,0.0
127650,256646756,7.5,VERMELHO,19.5,32.5,63.7,0.0
127840,257256908,7.0,AZUL,14.5,27.0,57.5055882353,0.0
128201,256646756,7.5,VERMELHO,19.5,32.5,51.3111764706,0.0
128217,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
128283,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
128307,258462918,7.5,TURQUESA,19.5,32.5,50.43614285715,0.0
129093,258463110,7.0,TURQUESA,14.5,27.0,52.29,0.0
129114,256646756,7.5,VERMELHO,19.5,32.5,56.03,0.0
129364,258463110,7.0,TURQUESA,14.5,27.0,52.34416666665,0.0
129886,256646756,7.5,VERMELHO,19.5,32.5,48.6583333333,0.0
130249,256646756,7.5,VERMELHO,19.5,32.5,46.6552941176,0.0
131061,256646756,7.5,VERMELHO,19.5,32.5,48.623181818199996,0.0
131313,256646756,7.5,VERMELHO,19.5,32.5,48.61,0.0
131753,256646756,7.5,VERMELHO,19.5,32.5,50.965,0.0
131977,256646756,7.5,VERMELHO,19.5,32.5,46.6552941176,0.0
132932,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
133218,258462918,7.5,TURQUESA,19.5,32.5,56.03,0.0
135010,256646756,7.5,VERMELHO,19.5,32.5,48.6627272727,0.0
135011,258464550,7.5,PRATA,19.5,32.5,62.9,0.0
135045,258462918,7.5,TURQUESA,19.5,32.5,48.61,0.0
135365,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
135537,256646756,7.5,VERMELHO,19.5,32.5,63.7,1.0
135656,256646756,7.5,VERMELHO,19.5,32.5,46.6552941176,0.0
136477,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
136645,258463110,7.0,TURQUESA,14.5,27.0,44.0366666667,1.0
137149,256646756,7.5,VERMELHO,19.5,32.5,46.4136,0.0
137417,258463110,7.0,TURQUESA,14.5,27.0,52.29,0.0
137472,256646756,7.5,VERMELHO,19.5,32.5,56.03,0.0
137984,256646756,7.5,VERMELHO,19.5,32.5,48.623181818199996,0.0
138537,256646756,7.5,VERMELHO,19.5,32.5,39.99,0.0
