,ITEM_ID,ALTURA,FORMATO,LARGURA,MARCA,PROFUNDIDADE,SESSION_ID,ITEM_PRICE,INTERESTED
127097,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,944.5901000910001,32.99,0.0
128268,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,775.3032897539999,32.99,0.0
128542,262995286,30.0,RETANGULAR,22.0,PANELA MINEIRA,42.0,723.19288171,37.99,1.0
129461,260007260,28.0,OVAL,37.0,FUMIL,40.0,295.065542165,39.620000000000005,0.0
130705,260007260,28.0,OVAL,37.0,FUMIL,40.0,166.252681548,41.25,1.0
133471,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,920.558311317,32.99,0.0
135229,262995286,30.0,RETANGULAR,22.0,PANELA MINEIRA,42.0,861.8047374939999,37.99,1.0
135321,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,355.59857937699996,32.99,0.0
135952,262995286,30.0,RETANGULAR,22.0,PANELA MINEIRA,42.0,324.8017439295,32.99,0.0
137068,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,294.004908482,32.99,0.0
137730,260007260,28.0,OVAL,37.0,FUMIL,40.0,675.927122821,38.57,0.0
138253,260007260,28.0,OVAL,37.0,FUMIL,40.0,601.525364302,35.78,0.0
138557,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,328.762304889,32.99,0.0
139841,262995286,30.0,RETANGULAR,22.0,PANELA MINEIRA,42.0,435.419573604,37.99,0.0
141568,260007260,28.0,OVAL,37.0,FUMIL,40.0,726.1290810710001,41.25,0.0
150754,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,577.39825533,32.99,0.0
151107,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,788.708945717,32.99,0.0
156401,262995286,30.0,RETANGULAR,22.0,PANELA MINEIRA,42.0,260.199080621,37.99,0.0
160582,260007260,28.0,OVAL,37.0,FUMIL,40.0,87.74977031510001,26.99,0.0
163152,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,962.5274005289999,32.99,0.0
163643,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,378.317585484,32.99,0.0
166231,260007260,28.0,OVAL,37.0,FUMIL,40.0,400.411827379,32.99,0.0
166506,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,805.89908935,32.99,1.0
166924,260007260,28.0,OVAL,37.0,FUMIL,40.0,353.25424987900004,32.99,0.0
169917,260007260,28.0,OVAL,37.0,FUMIL,40.0,5.20881443453,32.99,0.0
170707,262995286,30.0,RETANGULAR,22.0,PANELA MINEIRA,42.0,412.066390094765,32.99,0.0
171213,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,818.923965755,32.99,1.0
171777,260010266,26.0,OVAL,29.0,PANELA MINEIRA,45.0,91.36134388149999,32.99,0.0
171876,262995286,30.0,RETANGULAR,22.0,PANELA MINEIRA,42.0,57.7039574606,35.78,0.0
171987,260007260,28.0,OVAL,37.0,FUMIL,40.0,521.151324542,38.57,0.0
172920,260007260,28.0,OVAL,37.0,FUMIL,40.0,578.175722915,38.57,0.0
174931,260007260,28.0,OVAL,37.0,FUMIL,40.0,926.5094323430001,41.25,1.0
175906,260007260,28.0,OVAL,37.0,FUMIL,40.0,183.16537085,26.99,0.0
