,ITEM_ID,ALTURA,CAPACIDADE_(L),COMPOSICAO,COR,FORMATO,LARGURA,MARCA,PARA_LAVA_LOUCAS,PARA_MICRO_ONDAS,PESO,PROFUNDIDADE,TEMPO_GARANTIA,TEM_FERRO_FUNDIDO,TEM_GRELHA,TEM_TAMPA,TIPO_PRODUTO,TIPO_WOK,SESSION_ID,ITEM_PRICE,INTERESTED
PIPOQUEIRA,0.0,1.6909246575342465,37.17893835616438,1.6909246575342465,1.6909246575342465,37.17893835616438,1.6909246575342465,0.0,9.696061643835616,72.51712328767124,9.696061643835616,1.6909246575342465,62.82106164383562,0.0,0.0,0.0,0.0,0.0,0.7063356164383562,0.4922945205479452,0.0
ESPAGUETEIRA,0.0,0.7530120481927711,64.75903614457832,0.7530120481927711,0.7530120481927711,82.79367469879519,0.7530120481927711,0.7530120481927711,18.41114457831325,18.41114457831325,18.41114457831325,0.7530120481927711,8.132530120481928,0.0,0.0,0.0,0.0,0.0,1.2801204819277108,4.329819277108434,0.0
CUSCUZEIRA,0.0,7.3828470380194515,100.0,0.0,0.0,100.0,7.3828470380194515,0.0,25.1105216622458,25.1105216622458,32.49336870026525,7.3828470380194515,25.1105216622458,0.0,0.0,0.0,0.0,0.0,0.8841732979664014,1.1052166224580018,0.0
PANELA,0.0,0.8388776395718831,46.08041654613827,8.022370070388584,0.08678044547295342,29.760871661363417,0.8388776395718831,0.0,46.8325137402372,46.8325137402372,47.661749108089865,0.8388776395718831,7.781313277408158,0.0,0.0,0.0,0.0,0.0,1.0172596663773985,4.122071159965288,0.0
FRITADEIRA,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.5494505494505495,7.6923076923076925,0.0
CHALEIRA,0.0,1.9909972299168974,64.85457063711911,0.24238227146814403,14.698753462603879,93.04016620498615,1.9909972299168974,0.0,61.461218836565095,61.461218836565095,63.452216066481995,1.9909972299168974,13.088642659279778,0.0,0.0,0.0,0.0,0.0,1.0387811634349031,3.1336565096952906,0.0
CACAROLA,0.0,28.36007130124777,58.78787878787879,34.72370766488414,1.9429590017825311,57.29055258467023,28.36007130124777,0.24955436720142601,47.37967914438503,47.37967914438503,63.155080213903744,28.36007130124777,46.22103386809269,0.0,0.0,0.0,0.0,0.0,1.3547237076648841,15.70409982174688,0.0
FRIGIDEIRA,0.0,9.909747292418773,81.66064981949458,15.703971119133573,23.014440433212997,51.48014440433213,9.909747292418773,0.0,52.34657039711191,52.34657039711191,58.57400722021661,9.909747292418773,35.974729241877256,0.0,0.0,0.0,0.0,0.0,1.7870036101083033,15.451263537906136,0.0
WOK,0.0,7.270486752926679,85.58225508317929,13.308687615526802,0.0,25.32347504621072,7.270486752926679,0.0,37.707948243992604,37.707948243992604,37.707948243992604,7.270486752926679,49.41466420209488,0.0,0.0,0.0,0.0,0.0,1.5403573629081948,20.394331484904498,0.0
CHAPA,0.0,0.0,100.0,100.0,0.0,59.0962441314554,0.0,0.0,100.0,100.0,100.0,0.0,95.71596244131456,0.0,0.0,0.0,0.0,0.0,0.7629107981220657,12.969483568075118,0.0
