,ITEM_ID,ALTURA,CAPACIDADE_(L),COMPOSICAO,COR,FORMATO,LARGURA,MARCA,PARA_LAVA_LOUCAS,PARA_MICRO_ONDAS,PESO,PROFUNDIDADE,TEMPO_GARANTIA,TEM_FERRO_FUNDIDO,TEM_GRELHA,TEM_TAMPA,TIPO_PRODUTO,TIPO_WOK,SESSION_ID,ITEM_PRICE,INTERESTED
PIPOQUEIRA,0.0,0.35502958579881655,32.42603550295858,0.35502958579881655,0.35502958579881655,32.42603550295858,0.35502958579881655,0.0,3.78698224852071,71.36094674556213,3.78698224852071,0.35502958579881655,67.57396449704142,0.0,0.0,0.0,0.0,0.0,1.183431952662722,0.0,0.0
ESPAGUETEIRA,0.0,0.0,63.681592039801,0.0,0.0,79.60199004975124,0.0,0.0,22.388059701492537,22.388059701492537,22.388059701492537,0.0,8.457711442786069,0.0,0.0,0.0,0.0,0.0,5.472636815920398,0.0,0.0
CUSCUZEIRA,0.0,3.4246575342465753,100.0,0.0,0.0,100.0,3.4246575342465753,0.0,39.726027397260275,39.726027397260275,43.15068493150685,3.4246575342465753,39.726027397260275,0.0,0.0,0.0,0.0,0.0,1.36986301369863,0.0,0.0
PANELA,0.0,0.7722007722007722,47.60066188637617,5.515719801434087,0.05515719801434087,30.832873690016548,0.7722007722007722,0.0,50.19305019305019,50.19305019305019,50.965250965250966,0.7722007722007722,6.398234969663541,0.0,0.0,0.0,0.0,0.0,6.177606177606178,0.0,0.0
FRITADEIRA,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHALEIRA,0.0,1.661631419939577,64.95468277945619,0.3021148036253776,10.574018126888218,95.16616314199396,1.661631419939577,0.0,62.235649546827794,62.235649546827794,63.89728096676737,1.661631419939577,12.537764350453172,0.0,0.0,0.0,0.0,0.0,1.9637462235649548,0.0,0.0
CACAROLA,0.0,25.150905432595575,60.36217303822938,35.2112676056338,0.4024144869215292,59.95975855130785,25.150905432595575,0.2012072434607646,53.92354124748491,53.92354124748491,65.59356136820925,25.150905432595575,48.2897384305835,0.0,0.0,0.0,0.0,0.0,2.6156941649899395,0.0,0.0
FRIGIDEIRA,0.0,9.817351598173516,75.34246575342466,17.35159817351598,23.515981735159816,48.401826484018265,9.817351598173516,0.0,52.28310502283105,52.28310502283105,58.21917808219178,9.817351598173516,40.63926940639269,0.0,0.0,0.0,0.0,0.0,3.8812785388127855,0.0,0.0
WOK,0.0,6.976744186046512,81.3953488372093,19.767441860465116,0.0,34.883720930232556,6.976744186046512,0.0,47.674418604651166,47.674418604651166,47.674418604651166,6.976744186046512,66.27906976744185,0.0,0.0,0.0,0.0,0.0,1.1627906976744187,0.0,0.0
CHAPA,0.0,0.0,100.0,100.0,0.0,62.0253164556962,0.0,0.0,100.0,100.0,100.0,0.0,93.67088607594937,0.0,0.0,0.0,0.0,0.0,1.2658227848101267,0.0,0.0
GRILL,0.0,0.0,50.0,10.0,0.0,40.0,0.0,0.0,100.0,100.0,100.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CALDEIRAO,0.0,0.0,7.339449541284404,2.7522935779816513,0.0,91.74311926605505,0.0,0.0,8.256880733944953,8.256880733944953,8.256880733944953,0.0,8.256880733944953,0.0,0.0,0.0,0.0,0.0,0.9174311926605505,0.0,0.0
FERVEDOR,0.0,1.7857142857142858,94.64285714285714,1.7857142857142858,87.5,94.64285714285714,1.7857142857142858,1.7857142857142858,14.285714285714286,14.285714285714286,14.285714285714286,1.7857142857142858,100.0,0.0,0.0,0.0,0.0,0.0,0.8928571428571429,0.0,0.0
