,ITEM_ID,ALTURA,COR,LARGURA,MARCA,PROFUNDIDADE,SESSION_ID,ITEM_PRICE,INTERESTED
120211,260009916,46.0,1,30.0,1,41.0,576.661762744,75.01,0.0
120267,261894118,26.0,1,29.0,1,45.0,955.334358845,81.9,0.0
120275,261894118,26.0,1,29.0,1,45.0,838.647773315,74.99,0.0
120287,260011516,26.0,1,29.0,2,45.0,695.490051323,64.99,0.0
120294,261894118,26.0,1,29.0,1,45.0,177.698087112,74.99,0.0
120346,260010106,46.0,1,30.0,1,41.0,923.344624733,37.99,0.0
120377,261894118,26.0,1,29.0,1,45.0,884.496399296,74.99,0.0
120398,261894118,26.0,1,29.0,1,45.0,700.725128033,74.99,0.0
120413,261894118,26.0,1,29.0,1,45.0,189.53987366099997,74.99,0.0
120424,261893940,26.0,1,29.0,1,45.0,294.038185789,64.99,0.0
120513,260011902,26.0,1,29.0,2,45.0,966.101313235,23.99,0.0
120543,261894150,19.0,1,32.0,1,50.0,432.763492456,169.99,0.0
120566,261894118,26.0,1,29.0,1,45.0,432.117706955,74.99,0.0
120571,261894118,26.0,1,29.0,1,45.0,176.05756399,99.39,0.0
120591,260010352,26.0,1,29.0,1,45.0,676.617839572,54.99,0.0
120619,261898968,30.0,1,51.0,1,51.0,459.041555745,84.99,0.0
120670,261894118,26.0,1,29.0,1,45.0,219.561682939,74.99,0.0
120699,260010352,26.0,1,29.0,1,45.0,702.98325423,54.99,0.0
120735,260010352,26.0,1,29.0,1,45.0,503.73671818599996,54.99,0.0
120788,260010704,46.0,1,30.0,2,41.0,668.2025724580001,46.49,0.0
120859,260010106,46.0,1,30.0,1,41.0,731.752058838,37.99,0.0
120871,261894118,26.0,1,29.0,1,45.0,833.824221563,81.9,0.0
120962,260011516,26.0,1,29.0,2,45.0,660.747587096,64.99,0.0
120980,261893992,19.0,1,32.0,1,50.0,637.4442238409999,99.99,0.0
120993,261898968,30.0,1,51.0,1,51.0,660.474318282,84.99,0.0
121053,261894118,26.0,1,29.0,1,45.0,718.535171712,74.99,0.0
121058,261894118,26.0,1,29.0,1,45.0,51.9135357396,81.9,0.0
121089,261894118,26.0,1,29.0,1,45.0,82.6957070666,76.372,0.0
121153,261893992,19.0,1,32.0,1,50.0,223.31049508599997,99.99,0.0
121175,260011516,26.0,1,29.0,2,45.0,893.803466665,64.99,0.0
121192,261893992,19.0,1,32.0,1,50.0,663.188847547,99.99,1.0
121204,261900884,46.0,1,30.0,1,41.0,546.185176911,64.99,1.0
121212,261893940,26.0,1,29.0,1,45.0,962.407816765,72.9,0.0
121213,261893992,19.0,1,32.0,1,50.0,723.736963654,99.99,0.0
121252,261893992,19.0,1,32.0,1,50.0,799.3386738869998,99.99,0.0
121292,261901098,21.0,1,36.0,1,59.0,366.40902685,149.99,0.0
121307,261894118,26.0,1,29.0,1,45.0,288.919582035,74.99,0.0
121337,261898968,30.0,1,51.0,1,51.0,291.590752585,84.99,0.0
121341,260010106,46.0,1,30.0,1,41.0,183.83165965700002,72.49,0.0
121346,260009916,46.0,1,30.0,1,41.0,175.04990580000003,59.99,0.0
121358,260010352,26.0,1,29.0,1,45.0,788.637632447,54.99,0.0
121411,261893940,26.0,1,29.0,1,45.0,637.338821132,64.99,0.0
121453,261898968,30.0,1,51.0,1,51.0,55.943200198599996,84.99,0.0
121545,261900884,46.0,1,30.0,1,41.0,254.05110124599997,64.99,0.0
121567,260009916,46.0,1,30.0,1,41.0,761.3663171689999,75.01,0.0
121583,260011516,26.0,1,29.0,2,45.0,527.862432599,64.99,0.0
121601,260010352,26.0,1,29.0,1,45.0,497.347286451,54.99,0.0
121666,261894118,26.0,1,29.0,1,45.0,537.206446408,81.9,0.0
121705,261893992,19.0,1,32.0,1,50.0,744.4474263410001,99.99,0.0
