,ITEM_ID,ALTURA,COMPOSICAO,COR,LARGURA,MARCA,PROFUNDIDADE,TEM_TAMPA,ITEM_PRICE,INTERESTED
120185,253715602,78.25,1,1,52.75,1,28.75,1.0,169.99,0.0
120218,11418554,36.0,1,1,25.5,2,18.9,0.0,276.408571429,0.0
120252,218228122,24.0,1,1,20.0,1,20.0,1.0,157.794878049,0.0
120280,224278746,18.5,2,2,21.5,3,26.0,1.0,34.9,0.0
120284,218228122,24.0,1,1,20.0,1,20.0,1.0,140.704285714,0.0
120312,218228122,24.0,1,1,20.0,1,20.0,1.0,142.847142857,0.0
120332,218228122,24.0,1,1,20.0,1,20.0,1.0,143.323333333,0.0
120354,218228122,24.0,1,1,20.0,1,20.0,1.0,147.99,0.0
120360,218228122,24.0,1,1,20.0,1,20.0,1.0,139.99,1.0
120367,218228122,24.0,1,1,20.0,1,20.0,1.0,139.99,0.0
120388,218228122,24.0,1,1,20.0,1,20.0,1.0,129.99,1.0
120415,218228122,24.0,1,1,20.0,1,20.0,1.0,130.596060606,0.0
120421,248655628,39.0,1,1,17.7,4,39.0,0.0,363.37,0.0
120422,224278746,18.5,2,2,21.5,3,26.0,1.0,37.3227777778,0.0
120429,248655628,39.0,1,1,17.7,4,39.0,0.0,363.37,0.0
120435,218228122,24.0,1,1,20.0,1,20.0,1.0,144.434444444,0.0
120444,224278746,18.5,2,2,21.5,3,26.0,1.0,34.9,0.0
120448,218228122,24.0,1,1,20.0,1,20.0,1.0,159.99,1.0
120449,218228122,24.0,1,1,20.0,1,20.0,1.0,129.99,1.0
120472,293916,22.5,1,1,28.5,5,28.5,0.0,324.03,0.0
120511,248655628,39.0,1,1,17.7,4,39.0,0.0,363.37,0.0
120536,253715602,78.25,1,1,52.75,1,28.75,1.0,169.99,0.0
120542,253715602,78.25,1,1,52.75,1,28.75,1.0,169.99,1.0
120592,224278746,18.5,2,2,21.5,3,26.0,1.0,41.4428571429,0.0
120598,253715602,78.25,1,1,52.75,1,28.75,1.0,169.99,0.0
120613,218228122,24.0,1,1,20.0,1,20.0,1.0,137.565757576,0.0
120625,248655628,39.0,1,1,17.7,4,39.0,0.0,363.37,0.0
120628,224278746,18.5,2,2,21.5,3,26.0,1.0,34.9,0.0
120629,293916,22.5,1,1,28.5,5,28.5,0.0,36.30554054055,0.0
120663,224278746,18.5,2,2,21.5,3,26.0,1.0,37.7110810811,0.0
120704,253715602,78.25,1,1,52.75,1,28.75,1.0,169.675185185,0.0
120716,218228122,24.0,1,1,20.0,1,20.0,1.0,134.573333333,0.0
120723,293916,22.5,1,1,28.5,5,28.5,0.0,324.03,0.0
120755,224278746,18.5,2,2,21.5,3,26.0,1.0,38.9,0.0
120806,218228122,24.0,1,1,20.0,1,20.0,1.0,133.323333333,0.0
120840,224278746,18.5,2,2,21.5,3,26.0,1.0,38.1442307692,0.0
120876,218228122,24.0,1,1,20.0,1,20.0,1.0,129.99,0.0
120887,218228122,24.0,1,1,20.0,1,20.0,1.0,129.99,0.0
120888,218228122,24.0,1,1,20.0,1,20.0,1.0,143.323333333,0.0
120910,218228122,24.0,1,1,20.0,1,20.0,1.0,129.99,0.0
120918,224278746,18.5,2,2,21.5,3,26.0,1.0,38.025,0.0
120969,253715602,78.25,1,1,52.75,1,28.75,1.0,169.99,0.0
120983,218228122,24.0,1,1,20.0,1,20.0,1.0,139.99,0.0
120989,258467592,16.5,2,3,24.0,6,34.5,0.0,94.5166666667,0.0
121001,218228122,24.0,1,1,20.0,1,20.0,1.0,143.49,0.0
121005,218228122,24.0,1,1,20.0,1,20.0,1.0,139.99,0.0
121042,218228122,24.0,1,1,20.0,1,20.0,1.0,144.99,0.0
121050,248655628,39.0,1,1,17.7,4,39.0,0.0,363.37,0.0
121064,253715602,78.25,1,1,52.75,1,28.75,1.0,168.49,0.0
