,ITEM_ID,ALTURA,COR,LARGURA,MARCA,PROFUNDIDADE,TEM_FERRO_FUNDIDO,SESSION_ID,ITEM_PRICE,INTERESTED
120229,256638176,10.0,1,24.5,1,39.0,1,670.053861168,49.99,0.0
120471,256638176,10.0,1,24.5,1,39.0,1,400.349137453,49.99,0.0
120539,256638176,10.0,1,24.5,1,39.0,1,765.0783326610001,49.99,0.0
120775,256638176,10.0,1,24.5,1,39.0,1,917.0899035660001,49.99,0.0
121164,256638176,10.0,1,24.5,1,39.0,1,503.932932873,49.99,0.0
121291,256638176,10.0,1,24.5,1,39.0,1,157.835706705,49.99,0.0
121367,256638176,10.0,1,24.5,1,39.0,1,758.4306478889999,49.99,0.0
121600,256638176,10.0,1,24.5,1,39.0,1,822.1435980010001,49.99,0.0
121631,256638176,10.0,1,24.5,1,39.0,1,248.704270468,48.0366666667,1.0
121881,256638176,10.0,1,24.5,1,39.0,1,531.8124100919999,49.99,0.0
122007,256638176,10.0,1,24.5,1,39.0,1,248.192120685,49.99,0.0
122021,256638176,10.0,1,24.5,1,39.0,1,88.4151650718,49.99,0.0
122090,256638176,10.0,1,24.5,1,39.0,1,73.3040064331,49.99,0.0
122162,256638176,10.0,1,24.5,1,39.0,1,8.6631814786,49.99,0.0
122567,256638176,10.0,1,24.5,1,39.0,1,2.3735241134900003,49.99,0.0
122770,256638176,10.0,1,24.5,1,39.0,1,695.5000122660001,49.99,0.0
122832,257168168,3.0,1,22.0,1,42.5,1,834.160802016,104.82,0.0
122855,257104276,4.7,2,19.5,2,33.0,2,168.313247218,77.405,0.0
123153,256638176,10.0,1,24.5,1,39.0,1,472.241450349,49.99,0.0
123304,256638176,10.0,1,24.5,1,39.0,1,800.3924870660001,49.99,0.0
123580,256638176,10.0,1,24.5,1,39.0,1,281.09187106400003,49.99,0.0
123727,256638176,10.0,1,24.5,1,39.0,1,94.51146485049999,49.99,0.0
123976,256638176,10.0,1,24.5,1,39.0,1,409.449969909,49.99,0.0
124101,256638176,10.0,1,24.5,1,39.0,1,966.598327767,49.99,0.0
124114,256638176,10.0,1,24.5,1,39.0,1,32.6993076278,59.0,0.0
124135,257168168,3.0,1,22.0,1,42.5,1,648.80123164,104.82,0.0
124544,256638176,10.0,1,24.5,1,39.0,1,686.8402739859999,49.99,0.0
124618,256638176,10.0,1,24.5,1,39.0,1,324.479729529,49.99,0.0
124631,256638176,10.0,1,24.5,1,39.0,1,375.223351471,49.99,0.0
124936,256638176,10.0,1,24.5,1,39.0,1,996.128861056,49.99,0.0
124937,256638176,10.0,1,24.5,1,39.0,1,409.822212964,49.99,0.0
124962,256638176,10.0,1,24.5,1,39.0,1,960.9186481239999,49.99,0.0
125536,256638176,10.0,1,24.5,1,39.0,1,600.957071275,49.99,0.0
125854,256638176,10.0,1,24.5,1,39.0,1,369.701817124,49.99,0.0
126037,256638176,10.0,1,24.5,1,39.0,1,855.346393412,49.99,0.0
126370,256638176,10.0,1,24.5,1,39.0,1,247.628878409,49.99,0.0
126616,256638176,10.0,1,24.5,1,39.0,1,3.3913954089,49.99,0.0
126944,256638176,10.0,1,24.5,1,39.0,1,978.61014128,49.99,0.0
127169,256638176,10.0,1,24.5,1,39.0,1,466.84212989300005,49.99,0.0
127179,256638176,10.0,1,24.5,1,39.0,1,996.0238049710001,49.99,0.0
127431,257104276,4.7,2,19.5,2,33.0,2,75.8439619482,79.99,0.0
127459,256638176,10.0,1,24.5,1,39.0,1,166.073295805,56.03,0.0
127723,256638176,10.0,1,24.5,1,39.0,1,947.0160263360001,49.99,0.0
127801,256638176,10.0,1,24.5,1,39.0,1,797.754559085,49.99,0.0
127969,256638176,10.0,1,24.5,1,39.0,1,386.109220071,49.99,0.0
127983,256638176,10.0,1,24.5,1,39.0,1,860.6785518610001,49.99,0.0
128007,256638176,10.0,1,24.5,1,39.0,1,25.7706594189,49.99,0.0
128083,256638176,10.0,1,24.5,1,39.0,1,881.0912053889999,47.99,0.0
128203,256638176,10.0,1,24.5,1,39.0,1,127.140518944,48.704285714300006,0.0
128325,256638176,10.0,1,24.5,1,39.0,1,259.519541161,49.99,0.0
128433,256638176,10.0,1,24.5,1,39.0,1,345.780235869,49.99,0.0
128487,257104276,4.7,2,19.5,2,33.0,2,251.480042323,49.99,0.0
128566,256638176,10.0,1,24.5,1,39.0,1,64.4115655205,49.99,0.0
128608,256638176,10.0,1,24.5,1,39.0,1,987.51899635,49.99,0.0
128685,256638176,10.0,1,24.5,1,39.0,1,905.946539273,50.2097560976,0.0
128784,256638176,10.0,1,24.5,1,39.0,1,504.395944089,49.99,0.0
128893,257165678,8.0,1,27.0,1,46.0,1,129.844292574,172.9,1.0
129030,256638176,10.0,1,24.5,1,39.0,1,396.65107492,49.99,0.0
129050,256638176,10.0,1,24.5,1,39.0,1,837.139715789,49.99,0.0
129255,256638176,10.0,1,24.5,1,39.0,1,396.49383083099997,49.99,0.0
129322,256638176,10.0,1,24.5,1,39.0,1,951.6350922080001,49.99,0.0
129340,256638176,10.0,1,24.5,1,39.0,1,522.3533818569999,49.99,0.0
129464,256638176,10.0,1,24.5,1,39.0,1,199.006769855,50.2097560976,0.0
129485,256638176,10.0,1,24.5,1,39.0,1,696.698185565,49.99,0.0
129807,256638176,10.0,1,24.5,1,39.0,1,847.794690827,51.33191489359999,0.0
129966,257165678,8.0,1,27.0,1,46.0,1,851.773656733,180.63,0.0
130392,256638176,10.0,1,24.5,1,39.0,1,879.818948342,49.99,0.0
130816,256638176,10.0,1,24.5,1,39.0,1,461.12981247,49.99,0.0
130952,256638176,10.0,1,24.5,1,39.0,1,578.4814162590001,49.99,0.0
130962,256638176,10.0,1,24.5,1,39.0,1,718.4734622139999,49.99,0.0
130976,256638176,10.0,1,24.5,1,39.0,1,38.8399405831,49.99,0.0
131027,256638176,10.0,1,24.5,1,39.0,1,118.17166987600001,49.99,0.0
131128,256638176,10.0,1,24.5,1,39.0,1,91.17741936799999,49.99,0.0
131357,256638176,10.0,1,24.5,1,39.0,1,17.869061635999998,49.99,0.0
131465,256638176,10.0,1,24.5,1,39.0,1,178.648016112,49.99,0.0
131635,256638176,10.0,1,24.5,1,39.0,1,970.537774075,49.99,0.0
131714,256638176,10.0,1,24.5,1,39.0,1,770.0291160989999,47.99,0.0
131715,257104276,4.7,2,19.5,2,33.0,2,515.293591237,79.99,0.0
131905,256638176,10.0,1,24.5,1,39.0,1,156.374976799,49.99,0.0
132253,256638176,10.0,1,24.5,1,39.0,1,689.1970972,49.99,0.0
132355,258469598,13.5,3,24.3,1,40.0,1,270.708955781,49.00166666665,0.0
132371,256638176,10.0,1,24.5,1,39.0,1,687.2584447219998,48.0133333333,0.0
132383,256638176,10.0,1,24.5,1,39.0,1,690.7889995310001,48.704285714300006,0.0
132516,257168168,3.0,1,22.0,1,42.5,1,651.276641991,104.82,0.0
132878,256638176,10.0,1,24.5,1,39.0,1,827.410233244,49.99,0.0
133117,256638176,10.0,1,24.5,1,39.0,1,633.481040702,49.99,0.0
133146,256638176,10.0,1,24.5,1,39.0,1,488.918516989,49.99,0.0
133219,256638176,10.0,1,24.5,1,39.0,1,535.3799388580001,49.99,0.0
133403,256638176,10.0,1,24.5,1,39.0,1,426.14202490300005,59.0,0.0
133405,256638176,10.0,1,24.5,1,39.0,1,885.361803525,49.99,0.0
133415,258467700,13.0,4,24.7,1,40.0,1,255.24881267900003,49.99,0.0
133474,256638176,10.0,1,24.5,1,39.0,1,580.241733299,49.99,0.0
133569,256638176,10.0,1,24.5,1,39.0,1,551.160017177,49.99,0.0
133695,256638176,10.0,1,24.5,1,39.0,1,447.005341786,49.99,0.0
133764,256638176,10.0,1,24.5,1,39.0,1,517.8683959919999,49.99,0.0
133815,256638176,10.0,1,24.5,1,39.0,1,695.055318315,49.99,0.0
133944,256638176,10.0,1,24.5,1,39.0,1,805.1256025739999,49.99,0.0
134034,256638176,10.0,1,24.5,1,39.0,1,915.195886833,51.4297916667,0.0
134234,257162980,3.0,5,22.0,1,42.5,1,903.518589783,82.64,0.0
134683,256638176,10.0,1,24.5,1,39.0,1,704.864075362,49.99,0.0
134988,256638176,10.0,1,24.5,1,39.0,1,998.676703483,49.99,0.0
134991,256638176,10.0,1,24.5,1,39.0,1,275.91028941900004,49.99,0.0
135223,256638176,10.0,1,24.5,1,39.0,1,194.24850498,49.99,0.0
135327,256638176,10.0,1,24.5,1,39.0,1,919.7760724660001,49.99,0.0
135356,256638176,10.0,1,24.5,1,39.0,1,61.452927152799994,49.99,0.0
135501,256638176,10.0,1,24.5,1,39.0,1,154.28998261700002,49.99,0.0
136116,256638176,10.0,1,24.5,1,39.0,1,26.7116084829,48.704285714300006,0.0
136430,256638176,10.0,1,24.5,1,39.0,1,13.0345327545,49.347142857150004,0.0
136483,256638176,10.0,1,24.5,1,39.0,1,472.37132681599996,49.99,0.0
137076,256638176,10.0,1,24.5,1,39.0,1,430.893465218,49.99,0.0
137411,256638176,10.0,1,24.5,1,39.0,1,263.705518345,49.99,0.0
138081,256638176,10.0,1,24.5,1,39.0,1,487.035061445,64.99,0.0
138212,257104276,4.7,2,19.5,2,33.0,2,182.703157347,79.99,0.0
138218,256638176,10.0,1,24.5,1,39.0,1,311.431795592,64.99,0.0
138523,256638176,10.0,1,24.5,1,39.0,1,796.25971955,49.99,0.0
