,ITEM_ID,ALTURA,COR,FORMATO,LARGURA,PROFUNDIDADE,SESSION_ID,ITEM_PRICE,INTERESTED
120533,256332682,10.0,1,1,4.5,10.1,328.36978079799997,144.99,0.0
120802,257077622,6.7,1,2,10.4,15.2,516.582601596,99.99,0.0
120893,257077622,6.7,1,2,10.4,15.2,911.97764351,110.578235294,0.0
120909,256332682,10.0,1,1,4.5,10.1,951.445494407,124.99,0.0
120924,257077622,6.7,1,2,10.4,15.2,486.25910038300003,119.99,0.0
120947,257077622,6.7,1,2,10.4,15.2,327.834222445,119.99,0.0
121149,257077622,6.7,1,2,10.4,15.2,126.983536999,119.99,0.0
121884,257077622,6.7,1,2,10.4,15.2,515.0039312380001,119.99,0.0
121957,257104308,8.0,2,3,15.2,19.8,97.23576450559999,119.99,0.0
122905,257077622,6.7,1,2,10.4,15.2,687.436525545,119.99,0.0
123864,256329340,10.0,2,1,4.5,10.1,885.2453530360001,119.99,0.0
124406,257077622,6.7,1,2,10.4,15.2,579.9409391309999,119.99,0.0
124899,257077622,6.7,1,2,10.4,15.2,436.64778616300003,119.99,0.0
124991,257077622,6.7,1,2,10.4,15.2,16.8983906266,119.99,0.0
125977,256329392,10.0,1,3,10.0,4.5,111.56373666200001,119.99,0.0
126835,257077622,6.7,1,2,10.4,15.2,189.077577768,119.99,0.0
127000,257077622,6.7,1,2,10.4,15.2,914.6531804010001,119.99,0.0
127059,257073782,8.5,2,1,15.6,17.0,467.348535821,172.49,0.0
127449,257073782,8.5,2,1,15.6,17.0,35.592103643200005,224.99,1.0
127725,257077622,6.7,1,2,10.4,15.2,467.824972296,172.49,0.0
128050,257077622,6.7,1,2,10.4,15.2,378.34344295,119.99,0.0
128056,257077622,6.7,1,2,10.4,15.2,371.267355016,119.99,0.0
128224,257077622,6.7,1,2,10.4,15.2,530.058776994,119.99,0.0
128270,257104148,8.3,1,1,15.6,17.0,378.86846808,224.99,0.0
129737,256329340,10.0,2,1,4.5,10.1,132.22756887399999,144.99,0.0
129844,257104148,8.3,1,1,15.6,17.0,122.430990585,224.99,0.0
130225,257077622,6.7,1,2,10.4,15.2,436.020751491,119.99,0.0
131673,257077622,6.7,1,2,10.4,15.2,483.438831309,119.99,0.0
131983,257073782,8.5,2,1,15.6,17.0,400.494477893,224.99,0.0
132781,257077622,6.7,1,2,10.4,15.2,782.604590767,119.99,0.0
132843,257077622,6.7,1,2,10.4,15.2,201.142993872,119.99,0.0
132856,257077622,6.7,1,2,10.4,15.2,307.298209633,119.99,0.0
133720,257104148,8.3,1,1,15.6,17.0,400.92989355699996,224.99,0.0
134051,256332682,10.0,1,1,4.5,10.1,470.69004412699996,172.49,0.0
134350,257077622,6.7,1,2,10.4,15.2,845.6667283439999,119.99,0.0
134389,257077622,6.7,1,2,10.4,15.2,49.816779896599996,119.99,0.0
134578,257077622,6.7,1,2,10.4,15.2,205.9464144818,119.99,0.0
135286,256332682,10.0,1,1,4.5,10.1,362.076049067,119.99,0.0
135299,257077622,6.7,1,2,10.4,15.2,839.187013787,119.99,0.0
135363,257104148,8.3,1,1,15.6,17.0,148.222762386,119.99,0.0
135585,257077622,6.7,1,2,10.4,15.2,594.1199492640001,119.99,0.0
135792,257077622,6.7,1,2,10.4,15.2,277.36995940099996,119.99,0.0
137842,256332682,10.0,1,1,4.5,10.1,999.6951448089999,119.99,0.0
138181,257077622,6.7,1,2,10.4,15.2,692.0418405519998,119.99,0.0
139039,256332682,10.0,1,1,4.5,10.1,2.39928705299,144.99,0.0
139249,257077622,6.7,1,2,10.4,15.2,170.389448439995,119.99,0.0
140764,257077622,6.7,1,2,10.4,15.2,338.379609827,119.99,0.0
141023,257077622,6.7,1,2,10.4,15.2,634.222632964,119.99,0.0
142671,257073782,8.5,2,1,15.6,17.0,620.632583596,224.99,0.0
145542,257077622,6.7,1,2,10.4,15.2,988.5901434389999,99.99,0.0
