,ITEM_ID,ALTURA,COMPOSICAO,LARGURA,MARCA,PROFUNDIDADE,TEM_TAMPA,SESSION_ID,ITEM_PRICE,INTERESTED
120499,13863720,10.0,1,46.0,1,56.0,0.0,737.15312602,324.99,0.0
120565,13863720,10.0,1,46.0,1,56.0,0.0,267.1398788,343.655,0.0
120636,13863724,10.0,1,61.0,1,72.0,0.0,770.011279985,362.32,1.0
120967,13863720,10.0,1,46.0,1,56.0,0.0,664.175535983,235.61,0.0
121298,240741942,13.0,1,37.5,2,47.5,1.0,130.21094099200002,108.9,0.0
121787,13863720,10.0,1,46.0,1,56.0,0.0,610.870757153,266.79,0.0
121916,13863720,10.0,1,46.0,1,56.0,0.0,953.564782431,269.9,0.0
122168,241717562,10.0,2,42.0,3,43.0,0.0,981.395824521,199.9,0.0
122176,240741908,13.0,1,37.5,2,64.5,1.0,545.165697624,129.9,0.0
122278,13863720,10.0,1,46.0,1,56.0,0.0,936.513444727,266.79,0.0
122667,240741942,13.0,1,37.5,2,47.5,1.0,801.38126204,108.9,0.0
122841,13863720,10.0,1,46.0,1,56.0,0.0,229.98207629700002,108.9,0.0
122982,240741942,13.0,1,37.5,2,47.5,1.0,463.60940621699996,108.9,0.0
123171,240741942,13.0,1,37.5,2,47.5,1.0,3.09710083741,108.9,0.0
123206,240741908,13.0,1,37.5,2,64.5,1.0,474.804958349,129.9,0.0
123215,240741942,13.0,1,37.5,2,47.5,1.0,527.662165208,108.9,0.0
123680,240741908,13.0,1,37.5,2,64.5,1.0,855.423737065,193.3733333333333,0.0
123743,258468946,6.0,1,34.0,4,43.0,0.0,67.258695975,277.8466666666667,0.0
123881,13863724,10.0,1,61.0,1,72.0,0.0,29.417486105100004,362.32,0.0
124389,240741942,13.0,1,37.5,2,47.5,1.0,358.636217284,277.8466666666667,0.0
124391,257249402,6.0,1,34.0,4,43.0,0.0,79.8831358832,193.3733333333333,0.0
124489,240741942,13.0,1,37.5,2,47.5,1.0,17.035980283900006,108.9,0.0
124628,240741908,13.0,1,37.5,2,64.5,1.0,474.21598430000006,104.4,0.0
124709,11898110,6.0,1,31.0,1,37.0,0.0,199.983484847,99.9,0.0
125000,240741942,13.0,1,37.5,2,47.5,1.0,217.05053612900002,102.669230769,0.0
