,ITEM_ID,ALTURA,FORMATO,LARGURA,MARCA,PROFUNDIDADE,TEM_TAMPA,SESSION_ID,ITEM_PRICE,INTERESTED
120288,259619624,33.0,1,26.0,1,48.5,0.0,205.938173304,27.99,0.0
122260,260009862,21.0,2,36.0,2,59.0,0.0,906.0105493230001,38.32333333333333,0.0
122951,260010544,28.0,1,35.0,2,35.0,0.0,609.850217027,48.65666666666666,0.0
123522,259620270,26.0,2,29.0,1,45.0,1.0,673.004145552,58.99,0.0
124119,260010544,28.0,1,35.0,2,35.0,0.0,205.938173304,69.32333333333334,0.0
124562,259620270,26.0,2,29.0,1,45.0,1.0,362.75990920099997,79.65666666666667,0.0
124961,260010426,30.0,1,22.0,1,42.0,0.0,357.709785274,89.99,0.0
124976,260009948,30.0,2,22.0,2,42.0,0.0,160.75773251,99.99,0.0
125065,260010460,19.0,2,32.0,2,50.0,0.0,36.7259871894,109.99,0.0
125427,260009948,30.0,2,22.0,2,42.0,0.0,365.38259484300005,119.99,0.0
125480,259620270,26.0,2,29.0,1,45.0,1.0,967.818387369,129.99,0.0
126103,260010544,28.0,1,35.0,2,35.0,0.0,502.29315467199996,44.99,1.0
126291,260010460,19.0,2,32.0,2,50.0,0.0,93.32283382600001,114.99,0.0
126896,260011676,30.0,1,22.0,2,42.0,0.0,536.11527777,94.99,0.0
127914,259619624,33.0,1,26.0,1,48.5,0.0,149.964525829,37.183846153800005,0.0
128017,260010426,30.0,1,22.0,1,42.0,0.0,180.55214218,48.58692307690001,0.0
128071,260007344,30.0,1,22.0,1,42.0,0.0,411.15603040400003,59.99,0.0
128374,260009948,30.0,2,22.0,2,42.0,0.0,739.491048482,89.99,0.0
128402,260009948,30.0,2,22.0,2,42.0,0.0,947.719380835,89.99,0.0
128454,260010460,19.0,2,32.0,2,50.0,0.0,271.103565393,63.58692307689999,0.0
128905,259619624,33.0,1,26.0,1,48.5,0.0,225.39750794,37.183846153800005,0.0
128962,260009948,30.0,2,22.0,2,42.0,0.0,746.769976435,41.08692307690001,0.0
129039,260010544,28.0,1,35.0,2,35.0,0.0,390.210184314,44.99,0.0
129092,259619624,33.0,1,26.0,1,48.5,0.0,856.6164680769998,27.99,0.0
129323,260007344,30.0,1,22.0,1,42.0,0.0,775.5034610280002,59.99,0.0
129501,259620270,26.0,2,29.0,1,45.0,1.0,220.839541784,83.32333333333334,0.0
129961,260010460,19.0,2,32.0,2,50.0,0.0,603.3152761590001,106.65666666666668,0.0
130488,259620270,26.0,2,29.0,1,45.0,1.0,712.427749707,129.99,0.0
131125,259619624,33.0,1,26.0,1,48.5,0.0,555.47680657,41.27,0.0
131146,259619624,33.0,1,26.0,1,48.5,0.0,94.2430481766,27.99,0.0
131606,259619624,33.0,1,26.0,1,48.5,0.0,367.180671195,41.27,0.0
131848,260010460,19.0,2,32.0,2,50.0,0.0,464.496299165,65.63,0.0
131858,260009948,30.0,2,22.0,2,42.0,0.0,815.7474055539999,89.99,0.0
132519,260009948,30.0,2,22.0,2,42.0,0.0,715.167146031,89.1566666667,0.0
133120,260010426,30.0,1,22.0,1,42.0,0.0,551.4130294280001,89.99,0.0
133293,259619624,33.0,1,26.0,1,48.5,0.0,728.6488784539999,27.99,0.0
133296,260010544,28.0,1,35.0,2,35.0,0.0,66.1511426406,41.39,0.0
133597,260009948,30.0,2,22.0,2,42.0,0.0,606.909114231,54.79,0.0
133635,260009948,30.0,2,22.0,2,42.0,0.0,316.830307771,68.19,0.0
133681,260009948,30.0,2,22.0,2,42.0,0.0,864.360225191,81.59,0.0
133853,260011676,30.0,1,22.0,2,42.0,0.0,828.6663260319998,94.99,0.0
134124,260009948,30.0,2,22.0,2,42.0,0.0,686.887046032,68.13,0.0
