,ITEM_ID,ALTURA,COMPOSICAO,COR,LARGURA,MARCA,PROFUNDIDADE,TEM_FERRO_FUNDIDO,TEM_TAMPA,SESSION_ID,ITEM_PRICE,INTERESTED
120238,653448,31.0,1,1,31.0,1,21.0,1,0.0,431.385568971,309.0125,0.0
120260,653448,31.0,1,1,31.0,1,21.0,1,0.0,194.231001912,305.9,0.0
120351,653448,31.0,1,1,31.0,1,21.0,1,0.0,920.364598355,305.9,0.0
120439,224278714,18.5,2,2,21.5,2,26.0,1,1.0,386.145037268,39.9600952381,0.0
120452,224278714,18.5,2,2,21.5,2,26.0,1,1.0,514.398520416,39.89,0.0
120626,224278714,18.5,2,2,21.5,2,26.0,1,1.0,664.15934667,39.9531578947,0.0
120676,653448,31.0,1,1,31.0,1,21.0,1,0.0,629.174281229,305.9,0.0
120702,260006468,28.0,1,2,37.0,3,40.0,2,1.0,164.714554234,305.9,0.0
120851,653448,31.0,1,1,31.0,1,21.0,1,0.0,897.667376369,305.9,0.0
120865,224278714,18.5,2,2,21.5,2,26.0,1,1.0,652.067518097,41.458775,0.0
120927,224278714,18.5,2,2,21.5,2,26.0,1,1.0,236.25803564400002,39.99,0.0
121017,224278714,18.5,2,2,21.5,2,26.0,1,1.0,712.458635504,39.99,0.0
121078,14807844,30.5,1,1,27.0,1,18.7,1,1.0,792.8555969260001,258.87,0.0
121357,653448,31.0,1,1,31.0,1,21.0,1,0.0,840.068333149,305.9,1.0
121374,224278714,18.5,2,2,21.5,2,26.0,1,1.0,711.411685256,39.99,0.0
121388,14807844,30.5,1,1,27.0,1,18.7,1,1.0,33.2292785841,258.9,0.0
121406,224278714,18.5,2,2,21.5,2,26.0,1,1.0,181.386623035,41.8827272727,0.0
121465,224278714,18.5,2,2,21.5,2,26.0,1,1.0,571.662329299,39.99,0.0
121624,224278714,18.5,2,2,21.5,2,26.0,1,1.0,123.98777585,38.945,0.0
121655,224278714,18.5,2,2,21.5,2,26.0,1,1.0,700.474230998,39.615,0.0
121668,224278714,18.5,2,2,21.5,2,26.0,1,1.0,822.958657617,44.99,0.0
121779,258444752,16.0,2,3,21.5,4,32.5,1,1.0,374.558266969,195.478478261,0.0
121799,653448,31.0,1,1,31.0,1,21.0,1,0.0,444.83311433800003,345.966956522,0.0
121833,653448,31.0,1,1,31.0,1,21.0,1,0.0,98.4453112043,305.9,0.0
122084,224278714,18.5,2,2,21.5,2,26.0,1,1.0,347.806444869,39.99,0.0
122241,224278714,18.5,2,2,21.5,2,26.0,1,1.0,921.9761356710001,38.5430769231,0.0
122294,224278714,18.5,2,2,21.5,2,26.0,1,1.0,908.3102585510001,39.99,0.0
122339,224278714,18.5,2,2,21.5,2,26.0,1,1.0,798.731746458,39.99,0.0
122447,224278714,18.5,2,2,21.5,2,26.0,1,1.0,953.514711562,39.9025,0.0
122547,224278714,18.5,2,2,21.5,2,26.0,1,1.0,702.032201407,38.438,0.0
122579,258445104,18.0,2,3,25.5,4,36.3,1,1.0,226.79392205599999,109.678571429,0.0
122761,653448,31.0,1,1,31.0,1,21.0,1,0.0,896.9147218210001,305.96046875,0.0
122828,260008314,30.0,1,2,51.0,5,51.0,2,1.0,459.282105294,139.99,0.0
122849,224278714,18.5,2,2,21.5,2,26.0,1,1.0,263.58790282900003,39.7488461538,0.0
122853,224278714,18.5,2,2,21.5,2,26.0,1,1.0,248.43670761099997,39.99,0.0
122861,653448,31.0,1,1,31.0,1,21.0,1,0.0,65.0545189512,402.4225,0.0
122906,224278714,18.5,2,2,21.5,2,26.0,1,1.0,505.61848221699995,44.99,0.0
122930,653448,31.0,1,1,31.0,1,21.0,1,0.0,626.968759349,305.9,0.0
122964,224278714,18.5,2,2,21.5,2,26.0,1,1.0,606.699350198,38.5725,0.0
123025,224278714,18.5,2,2,21.5,2,26.0,1,1.0,366.102337376,40.3157894737,0.0
123101,224278714,18.5,2,2,21.5,2,26.0,1,1.0,856.084410516,39.99,0.0
123130,224278714,18.5,2,2,21.5,2,26.0,1,1.0,62.1545315048,39.1696178344,0.0
123183,14807844,30.5,1,1,27.0,1,18.7,1,1.0,873.72093555,128.0797452229333,0.0
123191,258447356,16.0,2,4,21.5,4,32.5,1,1.0,783.517187693,216.98987261146664,0.0
123194,653448,31.0,1,1,31.0,1,21.0,1,0.0,617.70135985,305.9,0.0
123299,224278714,18.5,2,2,21.5,2,26.0,1,1.0,39.7133674145,39.99,1.0
123306,14807840,28.2,1,1,22.5,1,16.2,1,1.0,778.5542420119998,39.99,0.0
123313,224278714,18.5,2,2,21.5,2,26.0,1,1.0,294.095430286,39.99,0.0
123439,224278714,18.5,2,2,21.5,2,26.0,1,1.0,163.66164603200002,38.5430769231,0.0
123683,224278714,18.5,2,2,21.5,2,26.0,1,1.0,531.950376869,39.7075675676,0.0
123846,224278714,18.5,2,2,21.5,2,26.0,1,1.0,521.172513497,37.9,0.0
123853,653448,31.0,1,1,31.0,1,21.0,1,0.0,522.789587268,305.9,0.0
123905,653448,31.0,1,1,31.0,1,21.0,1,0.0,134.83090582399998,305.9,0.0
123989,258445948,18.0,2,4,25.5,4,36.3,1,1.0,156.54809491700001,109.99,1.0
124043,224278714,18.5,2,2,21.5,2,26.0,1,1.0,186.398241189,39.99,0.0
124254,258447356,16.0,2,4,21.5,4,32.5,1,1.0,223.783389116,118.49,0.0
124360,14807840,28.2,1,1,22.5,1,16.2,1,1.0,754.884128277,196.99,0.0
124398,653448,31.0,1,1,31.0,1,21.0,1,0.0,140.581533334,305.9,0.0
124459,653448,31.0,1,1,31.0,1,21.0,1,0.0,558.457639994,305.9,0.0
124594,224278714,18.5,2,2,21.5,2,26.0,1,1.0,815.9049230889999,41.8827272727,0.0
124625,14807844,30.5,1,1,27.0,1,18.7,1,1.0,919.69616185,255.998235294,0.0
124642,224278714,18.5,2,2,21.5,2,26.0,1,1.0,503.420222964,39.615,0.0
124715,14807840,28.2,1,1,22.5,1,16.2,1,1.0,160.904585284,196.99,0.0
124826,224278714,18.5,2,2,21.5,2,26.0,1,1.0,455.865656835,39.99,1.0
124864,224278714,18.5,2,2,21.5,2,26.0,1,1.0,589.435603285,37.9,1.0
124888,258445104,18.0,2,3,25.5,4,36.3,1,1.0,144.94625639,107.84714285700001,0.0
124934,653448,31.0,1,1,31.0,1,21.0,1,0.0,919.8930388560001,416.9,0.0
124966,14807848,36.0,1,1,18.1,1,13.0,1,1.0,21.093406149,150.9,0.0
125066,224278714,18.5,2,2,21.5,2,26.0,1,1.0,124.449878648,39.99,1.0
125204,224278714,18.5,2,2,21.5,2,26.0,1,1.0,359.352441527,44.99,1.0
125227,224278714,18.5,2,2,21.5,2,26.0,1,1.0,387.308865379,38.9996969697,0.0
125346,258445104,18.0,2,3,25.5,4,36.3,1,1.0,714.514886668,109.99,0.0
125451,224278714,18.5,2,2,21.5,2,26.0,1,1.0,415.020795776,39.99,0.0
125566,224278714,18.5,2,2,21.5,2,26.0,1,1.0,227.215388472,39.99,1.0
125584,14807844,30.5,1,1,27.0,1,18.7,1,1.0,655.880280759,258.87,0.0
125630,224278714,18.5,2,2,21.5,2,26.0,1,1.0,543.868613034,38.438,0.0
125696,653448,31.0,1,1,31.0,1,21.0,1,0.0,194.79203778299998,416.9,0.0
125705,258445072,18.0,2,3,23.5,4,34.5,1,1.0,337.425067462,228.445,0.0
125733,224278714,18.5,2,2,21.5,2,26.0,1,1.0,525.147747468,39.99,0.0
