,ITEM_ID,ALTURA,LARGURA,MARCA,PROFUNDIDADE,SESSION_ID,ITEM_PRICE,INTERESTED
121540,260008228,38.0,30.0,1,29.0,1000.75644656,64.99,0.0
121860,260009788,27.0,31.0,2,26.5,89.57750853649998,191.24,0.0
123210,260009020,19.0,32.0,2,50.0,278.314709488,317.49,0.0
123554,260009788,27.0,31.0,2,26.5,454.0272408225,273.3233333333333,0.0
123833,260006502,28.0,35.0,1,35.0,629.739772157,229.15666666666667,0.0
123898,260009788,27.0,31.0,2,26.5,85.2237733389,184.99,0.0
124174,261899042,27.0,31.0,1,26.5,315.848180184,199.99,0.0
124680,260009788,27.0,31.0,2,26.5,989.967887161,249.99,0.0
125036,260009020,19.0,32.0,2,50.0,222.84023007099998,299.99,0.0
125061,260009020,19.0,32.0,2,50.0,886.919244328,299.99,1.0
125083,260006502,28.0,35.0,1,35.0,944.8292634410001,234.99,0.0
125535,260009788,27.0,31.0,2,26.5,461.02906861300005,217.49,0.0
125904,261899042,27.0,31.0,1,26.5,689.2162084889999,199.99,0.0
125988,261899042,27.0,31.0,1,26.5,440.501485211,199.99,0.0
126257,260009020,19.0,32.0,2,50.0,629.9353125519999,308.74,0.0
126316,260008228,38.0,30.0,1,29.0,869.319258908,246.865,0.0
126482,260009788,27.0,31.0,2,26.5,232.174023645,184.99,0.0
127993,260009788,27.0,31.0,2,26.5,164.882624411,184.99,0.0
128081,260009020,19.0,32.0,2,50.0,531.845026504,127.49,0.0
129512,260008228,38.0,30.0,1,29.0,754.4438176130002,69.99,0.0
129789,260008228,38.0,30.0,1,29.0,435.24830317,97.792,0.0
131602,260009788,27.0,31.0,2,26.5,26.233762472600002,125.594,0.0
132772,260008228,38.0,30.0,1,29.0,962.5274005289999,153.39600000000004,0.0
133833,260009788,27.0,31.0,2,26.5,535.764037164,181.198,0.0
136069,260009788,27.0,31.0,2,26.5,73.2178555269,209.0,0.0
137012,260009788,27.0,31.0,2,26.5,267.953255728,205.99666666666667,0.0
137017,260009788,27.0,31.0,2,26.5,88.6127475003,202.9933333333333,0.0
137526,261899042,27.0,31.0,1,26.5,683.215792952,199.99,0.0
138053,260006502,28.0,35.0,1,35.0,677.573361455,234.99,0.0
138154,260006502,28.0,35.0,1,35.0,724.056730921,226.65666666666667,0.0
