,ITEM_ID,ALTURA,COR,LARGURA,MARCA,PROFUNDIDADE,TEM_TAMPA,SESSION_ID,ITEM_PRICE,INTERESTED
120442,261893906,27.0,1,31.0,1,26.5,0.0,896.786216285,54.99,0.0
120867,260006940,28.0,2,37.0,1,40.0,0.0,235.50113395900001,54.99,0.0
122070,261893906,27.0,1,31.0,1,26.5,0.0,689.280029051,54.99,0.0
122190,261893906,27.0,1,31.0,1,26.5,0.0,757.30546756,54.99,0.0
122408,261901012,28.0,1,37.0,1,40.0,0.0,501.42948480900003,62.49,0.0
122714,261900938,28.0,1,37.0,1,40.0,0.0,432.958761144,69.99,0.0
122715,260009264,28.0,3,37.0,1,40.0,0.0,44.7128968029,47.99,1.0
122872,260006822,28.0,4,37.0,1,40.0,0.0,243.319859178,54.99,1.0
123087,261900938,28.0,1,37.0,1,40.0,0.0,259.478524451,52.605686274499995,0.0
123328,261901012,28.0,1,37.0,1,40.0,0.0,941.85745874,50.221372548999994,0.0
123980,260009264,28.0,3,37.0,1,40.0,0.0,222.92951404299998,47.8370588235,0.0
123991,260010074,28.0,1,37.0,1,40.0,1.0,486.449594733,94.99,0.0
124340,260006940,28.0,2,37.0,1,40.0,0.0,37.1776124471,47.99,0.0
124384,261900938,28.0,1,37.0,1,40.0,0.0,888.6207679439999,69.99,0.0
124456,260009264,28.0,3,37.0,1,40.0,0.0,917.977960135,47.99,0.0
124933,261893906,27.0,1,31.0,1,26.5,0.0,339.183059195,57.33000000000001,0.0
125095,261893906,27.0,1,31.0,1,26.5,0.0,784.577733888,66.67,0.0
125126,261893906,27.0,1,31.0,1,26.5,0.0,696.322380427,76.01,1.0
125371,261900938,28.0,1,37.0,1,40.0,0.0,734.54461731,69.99,0.0
125720,261901012,28.0,1,37.0,1,40.0,0.0,117.702740033,101.26,0.0
126065,260010074,28.0,1,37.0,1,40.0,1.0,17.521330176,132.53,0.0
126160,261894032,28.0,1,37.0,1,40.0,0.0,834.052815507,84.99,0.0
126668,261894032,28.0,1,37.0,1,40.0,0.0,899.08368207,84.99,0.0
126973,260006822,28.0,4,37.0,1,40.0,0.0,476.5977903622,54.21222222220001,0.0
127216,261900938,28.0,1,37.0,1,40.0,0.0,54.111898654399994,69.6011111111,0.0
127736,261894032,28.0,1,37.0,1,40.0,0.0,740.662875248,84.99,0.0
127856,261893906,27.0,1,31.0,1,26.5,0.0,197.41586829,54.99,0.0
127902,261893906,27.0,1,31.0,1,26.5,0.0,229.266969598,54.99,0.0
127922,261901012,28.0,1,37.0,1,40.0,0.0,338.943158183,54.99,0.0
128156,260006822,28.0,4,37.0,1,40.0,0.0,852.998380917,54.99,1.0
128337,260006822,28.0,4,37.0,1,40.0,0.0,683.3290565240001,47.99,1.0
128346,260006940,28.0,2,37.0,1,40.0,0.0,805.342355034,47.99,0.0
128719,261900938,28.0,1,37.0,1,40.0,0.0,58.9950914209,69.99,0.0
129720,261893906,27.0,1,31.0,1,26.5,0.0,715.781771572,61.19600000000001,0.0
129768,260010074,28.0,1,37.0,1,40.0,1.0,370.72935596,94.99,0.0
130808,261893906,27.0,1,31.0,1,26.5,0.0,271.115841939,76.01,0.0
130855,261901012,28.0,1,37.0,1,40.0,0.0,384.723679784,69.99,0.0
131003,261894032,28.0,1,37.0,1,40.0,0.0,370.97321627300005,84.99,0.0
131050,261901012,28.0,1,37.0,1,40.0,0.0,842.7936492539999,69.99,0.0
131221,261900938,28.0,1,37.0,1,40.0,0.0,900.675904583,69.99,0.0
131418,261894032,28.0,1,37.0,1,40.0,0.0,515.509832791,84.99,0.0
131481,261894032,28.0,1,37.0,1,40.0,0.0,913.881339526,84.99,1.0
131852,261901012,28.0,1,37.0,1,40.0,0.0,911.216473608,77.49,0.0
132113,261901012,28.0,1,37.0,1,40.0,0.0,982.3285971360001,69.99,0.0
132145,261894032,28.0,1,37.0,1,40.0,0.0,874.7210544710001,84.99,0.0
132203,261893906,27.0,1,31.0,1,26.5,0.0,567.645507682,54.99,0.0
132646,261900938,28.0,1,37.0,1,40.0,0.0,117.96442158299999,69.99,0.0
132953,261894032,28.0,1,37.0,1,40.0,0.0,516.103093817,84.99,0.0
133540,261893906,27.0,1,31.0,1,26.5,0.0,214.488074588,88.745,0.0
133592,261901012,28.0,1,37.0,1,40.0,0.0,30.002194114,92.5,1.0
133796,261893906,27.0,1,31.0,1,26.5,0.0,225.25198162700002,54.99,0.0
133925,261900938,28.0,1,37.0,1,40.0,0.0,194.625645227,69.99,0.0
134136,260009264,28.0,3,37.0,1,40.0,0.0,193.43859615099998,47.99,0.0
134549,261893906,27.0,1,31.0,1,26.5,0.0,612.9489209019999,54.99,0.0
134949,261893906,27.0,1,31.0,1,26.5,0.0,70.0686340844,54.99,0.0
135080,261894032,28.0,1,37.0,1,40.0,0.0,240.05572437,84.99,0.0
135381,261894032,28.0,1,37.0,1,40.0,0.0,630.090188687,84.99,0.0
136498,261893906,27.0,1,31.0,1,26.5,0.0,702.194876653,54.99,0.0
136665,261894032,28.0,1,37.0,1,40.0,0.0,137.89906938,84.99,0.0
137293,261893906,27.0,1,31.0,1,26.5,0.0,507.51932717,54.99,0.0
137669,261893906,27.0,1,31.0,1,26.5,0.0,479.498027031,54.99,0.0
137780,261901012,28.0,1,37.0,1,40.0,0.0,223.32637199599998,62.49,0.0
137785,261901012,28.0,1,37.0,1,40.0,0.0,262.61416008,69.99,0.0
137927,260006940,28.0,2,37.0,1,40.0,0.0,268.642503164,47.99,0.0
137948,261893906,27.0,1,31.0,1,26.5,0.0,756.763817312,54.99,0.0
137953,261893906,27.0,1,31.0,1,26.5,0.0,670.289665623,54.99,0.0
138574,261893906,27.0,1,31.0,1,26.5,0.0,553.613635987,54.99,0.0
138762,260006822,28.0,4,37.0,1,40.0,0.0,747.908386907,69.99,0.0
139356,261894032,28.0,1,37.0,1,40.0,0.0,365.38259484300005,84.99,0.0
139415,261893906,27.0,1,31.0,1,26.5,0.0,839.2343244010001,54.99,0.0
140124,261901012,28.0,1,37.0,1,40.0,0.0,860.827936708,69.99,0.0
140447,261901012,28.0,1,37.0,1,40.0,0.0,977.134244019,69.99,0.0
140482,260010074,28.0,1,37.0,1,40.0,1.0,865.663017438,132.53,0.0
140621,261894032,28.0,1,37.0,1,40.0,0.0,384.723679784,84.99,0.0
140850,261900938,28.0,1,37.0,1,40.0,0.0,107.96159068200001,69.99,0.0
141394,261893906,27.0,1,31.0,1,26.5,0.0,586.242263711,54.99,0.0
142214,261901012,28.0,1,37.0,1,40.0,0.0,231.91162719,69.99,0.0
142458,261893906,27.0,1,31.0,1,26.5,0.0,739.432838476,76.01,0.0
142557,260006940,28.0,2,37.0,1,40.0,0.0,426.35290310199997,47.99,0.0
143161,261893906,27.0,1,31.0,1,26.5,0.0,405.412163668,47.99,1.0
