,ITEM_ID,ALTURA,COR,LARGURA,MARCA,PARA_LAVA_LOUCAS,PESO,PROFUNDIDADE,TEM_TAMPA,SESSION_ID,ITEM_PRICE,INTERESTED
120184,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,944.7943671160001,105.502613636,0.0
120186,253661478,49.5,2,41.5,1,1,120.0,47.0,1.0,507.03487316800005,119.99,0.0
120213,238630912,22.0,3,24.0,1,2,150.0,40.0,1.0,258.44359469200003,102.6878125,0.0
120216,253661478,49.5,2,41.5,1,1,120.0,47.0,1.0,155.98498898100001,118.99,0.0
120222,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,144.348543863,108.93285714299999,0.0
120223,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,550.880990195,107.348918919,0.0
120230,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,577.0745,112.48214285700001,0.0
120235,238630912,22.0,3,24.0,1,2,150.0,40.0,1.0,684.4114432169999,100.224473684,0.0
120242,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,350.620533836,104.57970588200001,0.0
120247,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,296.867436429,106.007234043,0.0
120261,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,966.6598592839999,110.528571429,0.0
120270,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,608.858027484,111.36525,0.0
120274,10191288,49.5,1,41.5,2,1,120.0,47.0,0.0,705.8999934789999,49.9105263158,0.0
120277,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,98.2048414167,110.95115942,0.0
120278,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,217.14091425400002,105.502613636,0.0
120283,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,542.4223248530001,103.330241935,0.0
120305,238630912,22.0,3,24.0,1,2,150.0,40.0,1.0,268.723922935,105.0646,0.0
120308,238630912,22.0,3,24.0,1,2,150.0,40.0,1.0,506.969987421,99.99,0.0
120314,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,369.120039125,110.528571429,0.0
120319,238630912,22.0,3,24.0,1,2,150.0,40.0,1.0,685.863263126,104.9765,0.0
120322,238630912,22.0,3,24.0,1,2,150.0,40.0,1.0,95.7421392101,100.62227272700001,0.0
120323,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,242.843772041,94.49,1.0
120341,238630912,22.0,3,24.0,1,2,150.0,40.0,1.0,520.890126879,104.59325,0.0
120350,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,625.755150867,103.330241935,0.0
120352,13712142,14.0,4,21.0,3,1,120.0,34.0,0.0,449.221544785,36.6325373134,0.0
120359,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,134.12680594399998,107.656888889,0.0
120372,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,28.647933689000002,112.239166667,0.0
120376,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,616.798963621,112.004166667,0.0
120382,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,718.917031127,109.9,1.0
120384,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,939.9648953369999,104.99,1.0
120389,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,106.008883446,108.29593220299999,0.0
120392,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,949.098468522,111.15783783799999,0.0
120396,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,484.450729565,101.1378125,0.0
120399,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,398.48078959,102.99,1.0
120411,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,615.185305274,106.973636364,0.0
120428,253661478,49.5,2,41.5,1,1,120.0,47.0,1.0,796.317415377,119.99,0.0
120430,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,657.0094617240001,106.978113208,0.0
120451,238630912,22.0,3,24.0,1,2,150.0,40.0,1.0,1000.81850813,103.412702703,0.0
120462,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,740.666107011,110.4498,0.0
120464,238630912,22.0,3,24.0,1,2,150.0,40.0,1.0,7.91058177783,103.79075471700001,0.0
120466,253661478,49.5,2,41.5,1,1,120.0,47.0,1.0,611.816985365,119.99,0.0
120468,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,971.12329793,106.198536585,0.0
120477,13712142,14.0,4,21.0,3,1,120.0,34.0,0.0,404.186998985,35.9,0.0
120478,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,823.682474553,108.865316456,0.0
120480,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,381.853668661,111.36525,0.0
120489,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,190.477153778,105.11659340700001,0.0
120495,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,750.204472591,108.741803279,0.0
120500,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,53.5452496745,108.205578947,0.0
120502,238630912,22.0,3,24.0,1,2,150.0,40.0,1.0,436.40525947599997,103.08166666700001,0.0
120504,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,680.528886426,112.99,1.0
120508,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,897.7891354660001,107.392469136,0.0
120514,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,556.274007271,109.48441558399999,0.0
120516,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,590.9978005840001,105.9,1.0
120517,238630912,22.0,3,24.0,1,2,150.0,40.0,1.0,117.066382358,111.97375,0.0
120523,13712142,14.0,4,21.0,3,2,135.0,34.0,0.0,77.70233769010001,35.9,0.0
120525,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,964.9904775210001,110.35507462700001,0.0
120527,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,900.060335523,107.392469136,0.0
120538,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,980.970149763,111.254927536,0.0
120540,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,875.243873754,106.973636364,0.0
120547,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,395.503436699,108.865316456,0.0
120554,253661478,49.5,2,41.5,1,1,120.0,47.0,1.0,597.937513343,119.99,1.0
120556,13712142,14.0,4,21.0,3,1,135.0,34.0,0.0,23.2343438252,35.9,0.0
120567,238630912,22.0,3,24.0,1,2,150.0,40.0,1.0,205.91680026400002,104.27571428600001,0.0
120568,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,625.516606592,108.741803279,0.0
120578,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,415.298743184,115.9,1.0
120580,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,180.15666906200002,106.676216216,0.0
120581,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,47.1575634001,107.288181818,0.0
120583,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,88.2112727737,107.803333333,0.0
120585,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,106.61421320299999,109.15409090899999,0.0
120597,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,47.466075877,112.48214285700001,0.0
120599,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,375.76622529800005,106.0,1.0
120621,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,76.4751468403,106.098723404,0.0
120622,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,632.040693062,107.091351351,0.0
120632,10191288,49.5,1,41.5,2,1,120.0,47.0,0.0,273.788487675,67.0,0.0
120641,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,743.9800461689999,109.55309090899999,0.0
120645,238630912,22.0,3,24.0,1,2,150.0,40.0,1.0,394.139770278,103.68547619,0.0
120646,13712142,14.0,4,21.0,3,2,150.0,34.0,0.0,291.765120409,36.8088888889,0.0
120656,238630912,22.0,3,24.0,1,2,150.0,40.0,1.0,704.935453468,102.347894737,0.0
120657,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,404.17713242,126.49,1.0
120659,238630912,22.0,3,24.0,1,2,150.0,40.0,1.0,722.3973557180002,105.112580645,0.0
120661,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,289.95891169099997,110.528571429,0.0
120667,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,759.501906485,104.99,1.0
120668,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,565.35132673,106.978113208,0.0
120678,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,103.95478508,105.11659340700001,0.0
120684,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,630.12511778,109.790909091,0.0
120687,238630912,22.0,3,24.0,1,2,150.0,40.0,1.0,985.89404226,104.535555556,0.0
120694,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,740.932996795,115.314285714,0.0
120700,238630912,22.0,3,24.0,1,2,150.0,40.0,1.0,368.618705509,101.65666666700001,0.0
120703,238630912,22.0,3,24.0,1,2,150.0,40.0,1.0,445.16457724699995,101.660625,0.0
120713,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,700.9542511530002,110.22849315100001,0.0
120721,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,308.68220826099997,106.17296296299999,0.0
120722,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,211.342009485,103.330241935,0.0
120730,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,297.738650371,110.528571429,0.0
120733,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,242.976045788,109.698125,0.0
120742,253661478,49.5,2,41.5,1,1,120.0,47.0,1.0,416.59358299,119.99,0.0
120754,13712142,14.0,4,21.0,3,1,120.0,34.0,0.0,109.014518854,38.626666666700004,0.0
120756,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,412.18896425199995,102.99,1.0
120758,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,196.622530886,109.42901960799999,0.0
120763,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,563.783451333,106.973636364,0.0
120764,13712142,14.0,4,21.0,3,1,120.0,34.0,0.0,839.743421752,35.9,0.0
120767,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,842.399811935,109.26897959200001,0.0
120770,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,208.124287128,103.15125,0.0
120772,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,506.93170858900004,107.803333333,0.0
120773,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,777.758274865,112.004166667,0.0
120783,238630912,22.0,3,24.0,1,2,150.0,40.0,1.0,212.77522969400002,105.45,0.0
120803,13712142,14.0,4,21.0,3,2,135.0,34.0,0.0,284.381267262,35.9,0.0
120805,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,449.248076355,109.26897959200001,0.0
120810,238630912,22.0,3,24.0,1,2,150.0,40.0,1.0,34.453111962,100.6,0.0
120811,238630912,22.0,3,24.0,1,2,150.0,40.0,1.0,536.470041364,105.51854166700001,0.0
120825,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,498.279849145,107.288181818,0.0
120837,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,570.8141301640001,106.19255814,0.0
120846,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,27.863115226999998,106.198536585,0.0
120855,253661478,49.5,2,41.5,1,1,120.0,47.0,1.0,149.512134344,119.99,0.0
120862,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,523.764759346,108.831282051,0.0
120864,238630912,22.0,3,24.0,1,2,150.0,40.0,1.0,622.3048161930001,104.27571428600001,0.0
120869,13712142,14.0,4,21.0,3,2,135.0,34.0,0.0,203.705610893,39.859468085100005,0.0
120872,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,562.66975527,106.973636364,0.0
120882,253661478,49.5,2,41.5,1,1,120.0,47.0,1.0,821.027490805,119.99,0.0
120884,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,644.779249631,109.9,1.0
120889,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,426.055476716,103.330241935,0.0
120896,238630912,22.0,3,24.0,1,2,150.0,40.0,1.0,122.03625741399999,99.99,1.0
120899,13712142,14.0,4,21.0,3,2,135.0,34.0,0.0,847.908507335,35.9,0.0
120901,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,895.084775668,108.741803279,0.0
120911,10191288,35.75,1,32.75,2,1,135.0,43.5,0.0,255.16067575,47.9,0.0
120914,238630912,22.0,3,24.0,1,2,150.0,40.0,1.0,222.62995547,104.52675,0.0
120919,238630912,22.0,3,24.0,1,2,150.0,40.0,1.0,599.4241343919999,105.112580645,0.0
120938,13712142,14.0,4,21.0,3,2,135.0,34.0,0.0,777.202312322,35.9,0.0
120940,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,342.45841646599996,115.284772727,0.0
120946,253661510,49.5,1,41.5,1,1,120.0,47.0,1.0,8.60150747374,111.34708333299999,0.0
