,ITEM_ID,ALTURA,COR,LARGURA,MARCA,PROFUNDIDADE,SESSION_ID,ITEM_PRICE,INTERESTED
121806,260006222,46.0,1,30.0,1,41.0,825.8559840810001,94.99,0.0
122212,260009702,46.0,2,30.0,1,41.0,485.21032222800005,96.6566666667,0.0
123546,260023590,26.0,2,29.0,1,45.0,350.5672614990001,96.84185185186666,0.0
125308,260023590,26.0,2,29.0,1,45.0,812.208206118,97.02703703703335,0.0
126509,260009702,46.0,2,30.0,1,41.0,792.2092308089999,97.2122222222,0.0
127826,260009638,54.0,2,29.0,1,46.0,468.25693489199995,76.1011111111,0.0
127834,260009638,54.0,2,29.0,1,46.0,830.640636038,54.99,0.0
128635,260008826,26.0,2,29.0,2,45.0,91.63265309020001,59.99,0.0
128643,260009702,46.0,2,30.0,1,41.0,899.650482842,96.6566666667,0.0
130721,260009702,46.0,2,30.0,1,41.0,580.972664944,96.6566666667,0.0
130774,260006222,46.0,1,30.0,1,41.0,464.03510642,94.99,0.0
131458,260006222,46.0,1,30.0,1,41.0,447.515342461,98.74,0.0
131609,260023590,26.0,2,29.0,1,45.0,867.3570445439999,47.99,0.0
132664,260006222,46.0,1,30.0,1,41.0,487.870102798,47.99,0.0
133124,260023590,26.0,2,29.0,1,45.0,108.383161052,47.99,0.0
134522,260009702,46.0,2,30.0,1,41.0,237.598585472,94.99,0.0
136906,260023590,26.0,2,29.0,1,45.0,830.825110767,79.32333333333331,0.0
137537,260009702,46.0,2,30.0,1,41.0,8.43460870765,63.65666666666666,0.0
137629,260023590,26.0,2,29.0,1,45.0,407.36649924,47.99,0.0
140007,260023590,26.0,2,29.0,1,45.0,277.474110488,47.99,0.0
140323,260009702,46.0,2,30.0,1,41.0,982.4652841010001,73.99,0.0
140392,260009702,46.0,2,30.0,1,41.0,973.1746720460001,99.99,1.0
141247,260006222,46.0,1,30.0,1,41.0,538.540819778,94.99,0.0
142207,260006222,46.0,1,30.0,1,41.0,900.291913985,94.99,0.0
142736,260008826,26.0,2,29.0,2,45.0,613.196653809,59.99,0.0
145899,260023590,26.0,2,29.0,1,45.0,844.6453031110001,47.99,0.0
146349,260009638,54.0,2,29.0,1,46.0,377.554159013,54.99,0.0
146940,260009638,54.0,2,29.0,1,46.0,21.5686926688,70.995,0.0
147089,260009638,54.0,2,29.0,1,46.0,687.1735708059999,54.99,0.0
147192,260006222,46.0,1,30.0,1,41.0,327.446856742,94.99,0.0
148107,260009638,54.0,2,29.0,1,46.0,498.824382266,94.99,0.0
150029,260006222,46.0,1,30.0,1,41.0,477.589755948,94.99,0.0
150545,260009702,46.0,2,30.0,1,41.0,530.762647292,96.6566666667,0.0
151717,260009638,54.0,2,29.0,1,46.0,450.367933231,75.82333333335,0.0
152119,260009638,54.0,2,29.0,1,46.0,868.3367262989999,54.99,0.0
152255,260009702,46.0,2,30.0,1,41.0,587.7197101319999,68.79952380953335,0.0
152721,260009702,46.0,2,30.0,1,41.0,366.50495160800006,82.60904761906667,0.0
152968,260009702,46.0,2,30.0,1,41.0,212.82493974599998,96.4185714286,0.0
154514,260006222,46.0,1,30.0,1,41.0,609.382606686,94.99,0.0
154694,260023590,26.0,2,29.0,1,45.0,23.584084780999998,47.99,0.0
154809,260006222,46.0,1,30.0,1,41.0,141.935035774,71.49,0.0
155423,260006222,46.0,1,30.0,1,41.0,816.3819999310001,94.99,0.0
155828,260006222,46.0,1,30.0,1,41.0,483.083787117,94.99,0.0
156810,260023590,26.0,2,29.0,1,45.0,759.109394972,81.65666666666667,0.0
156893,260009702,46.0,2,30.0,1,41.0,620.3032961480001,68.32333333333334,0.0
157147,260008826,26.0,2,29.0,2,45.0,599.427927749,54.99,0.0
157442,260006222,46.0,1,30.0,1,41.0,209.78198159099998,68.79952380953335,0.0
157624,260009702,46.0,2,30.0,1,41.0,920.975076487,82.60904761906667,0.0
158546,260009702,46.0,2,30.0,1,41.0,974.013429005,96.4185714286,0.0
159599,260009702,46.0,2,30.0,1,41.0,59.0197395846,78.2042857143,0.0
161255,260008826,26.0,2,29.0,2,45.0,116.76177104899999,59.99,0.0
162866,260023590,26.0,2,29.0,1,45.0,130.832147,55.99,0.0
165151,260009638,54.0,2,29.0,1,46.0,737.321987804,51.99,0.0
168297,260023590,26.0,2,29.0,1,45.0,463.899275747,47.99,0.0
168300,260009702,46.0,2,30.0,1,41.0,261.845773757,96.6566666667,0.0
169131,260008826,26.0,2,29.0,2,45.0,405.17272924300005,59.99,1.0
169684,260006222,46.0,1,30.0,1,41.0,195.11962711700002,78.2042857143,0.0
170161,260009702,46.0,2,30.0,1,41.0,896.838530137,96.4185714286,0.0
170187,260008826,26.0,2,29.0,2,45.0,363.43963859699994,95.7042857143,0.0
170454,260006222,46.0,1,30.0,1,41.0,368.890070397,94.99,0.0
171036,260006222,46.0,1,30.0,1,41.0,855.243227392,94.99,0.0
171355,260009702,46.0,2,30.0,1,41.0,562.863044294,71.49,0.0
173746,260023590,26.0,2,29.0,1,45.0,562.809121037,47.99,0.0
174371,260006222,46.0,1,30.0,1,41.0,264.016671776,94.99,0.0
174470,260006222,46.0,1,30.0,1,41.0,173.57525326099997,94.99,0.0
174676,260009702,46.0,2,30.0,1,41.0,507.35823442199995,96.6566666667,0.0
175711,260006222,46.0,1,30.0,1,41.0,96.3917514126,98.74,0.0
176304,260006222,46.0,1,30.0,1,41.0,31.001637881799997,98.74,0.0
176647,260006222,46.0,1,30.0,1,41.0,878.7826756339999,98.74,0.0
177610,260009702,46.0,2,30.0,1,41.0,205.938173304,73.365,0.0
178636,260023590,26.0,2,29.0,1,45.0,517.50485029,47.99,1.0
179858,260008826,26.0,2,29.0,2,45.0,962.5274005289999,59.99,0.0
