,ITEM_ID,COR,MARCA,TEM_FERRO_FUNDIDO,TEM_TAMPA,SESSION_ID,ITEM_PRICE,INTERESTED
120193,240742184,1,1,1,1.0,383.38560253599996,89.9,0.0
120208,245842440,2,2,2,1.0,253.609455725,98.36666666666667,0.0
120226,245842524,3,2,2,1.0,596.016013645,106.83333333333331,0.0
120253,245842684,4,2,2,1.0,770.3396164960001,115.3,0.0
120291,257168296,4,3,2,1.0,28.8043607434,174.065,0.0
120296,245842440,2,2,2,1.0,645.78192291,120.9,0.0
120358,245842440,2,2,2,1.0,225.11597666,124.402413793,0.0
120363,240742184,1,1,1,1.0,306.475854878,89.54,0.0
120393,258461174,5,3,2,0.0,843.516835059,69.94,0.0
120445,245842652,2,2,2,1.0,574.882347063,114.99,0.0
120458,257168296,4,3,2,1.0,229.236735194,193.9,0.0
120510,256587172,4,3,2,1.0,730.165947082,207.08,0.0
120570,245842600,6,2,2,1.0,48.586882939300004,110.736,0.0
120615,245842652,2,2,2,1.0,734.435097467,111.619583333,0.0
120637,258462544,5,3,2,0.0,682.7940266109999,132.7597916665,0.0
120698,256589690,1,3,2,1.0,67.0293787789,153.9,0.0
120750,245842440,2,2,2,1.0,337.21927337200003,120.316666667,0.0
120762,245842578,7,2,2,1.0,52.8834482464,143.6283333335,0.0
120883,257168296,4,3,2,1.0,745.876880132,166.94,0.0
120928,240761952,1,1,1,1.0,399.689676562,175.535,0.0
120932,256587172,4,3,2,1.0,206.243884386,184.13,0.0
120971,245842524,3,2,2,1.0,388.227397203,160.5725,0.0
120977,245842332,3,2,2,1.0,53.599367110699994,137.015,0.0
120988,245842440,2,2,2,1.0,582.5287720030001,113.4575,0.0
121036,240742184,1,1,1,1.0,18.6998891193,89.9,0.0
121052,245842524,3,2,2,1.0,228.84970081900002,139.3154545455,0.0
121074,256587172,4,3,2,1.0,710.701799487,188.73090909099997,0.0
121106,257171354,4,3,2,0.0,364.350831401,49.28,0.0
121127,245842684,4,2,2,1.0,953.5645225610001,57.48666666666667,0.0
121139,245842652,2,2,2,1.0,886.412472192,65.69333333333334,0.0
121185,258444068,8,3,2,0.0,777.8440026769998,73.9,0.0
121225,257168296,4,3,2,1.0,446.81230422,166.94,0.0
121231,245842332,3,2,2,1.0,783.853302365,119.9,0.0
121257,256587172,4,3,2,1.0,569.452566756,207.08,0.0
121289,245842440,2,2,2,1.0,963.1675291339999,120.9,0.0
121398,245842524,3,2,2,1.0,117.720805717,113.4,0.0
121413,245842684,4,2,2,1.0,144.782589316,105.9,0.0
121436,245842440,2,2,2,1.0,515.57358044,120.9,0.0
121447,257168296,4,3,2,1.0,912.8852041910001,193.9,0.0
121457,258461424,9,3,2,1.0,195.41325034,95.19,0.0
121602,245842524,3,2,2,1.0,730.03387314,105.99,0.0
121603,245842440,2,2,2,1.0,407.099566665,120.9,0.0
121682,245842684,4,2,2,1.0,822.565901169,107.9,0.0
121825,258462544,5,3,2,0.0,744.010146263,55.106,0.0
121836,245842440,2,2,2,1.0,836.6163742739999,121.35161290299999,0.0
121940,245842600,6,2,2,1.0,311.682283721,100.6258064515,0.0
121953,240742184,1,1,1,1.0,146.818879205,79.9,1.0
121973,257168296,4,3,2,1.0,611.2113119859999,166.94,0.0
122085,245842652,2,2,2,1.0,257.240362443,116.10111111100001,0.0
122108,256587172,4,3,2,1.0,793.2191276310001,114.000261438,0.0
122117,245842600,6,2,2,1.0,362.58542051,111.899411765,0.0
122121,245842684,4,2,2,1.0,249.725920356,107.9,0.0
122233,245842578,7,2,2,1.0,607.55787013,106.945,0.0
122235,245842524,3,2,2,1.0,507.404741423,105.99,0.0
122293,245842652,2,2,2,1.0,599.932143226,100.62666666666668,0.0
122340,257171354,4,3,2,0.0,213.52274486099998,95.26333333333334,0.0
122455,240742184,1,1,1,1.0,135.099211389,89.9,0.0
122521,257168296,4,3,2,1.0,629.855075532,166.94,0.0
122561,240742184,1,1,1,1.0,374.070855869,89.5,0.0
122596,257168296,4,3,2,1.0,963.2544593910001,175.37842105299995,0.0
122649,245842440,2,2,2,1.0,84.24920824189999,124.402413793,0.0
122662,240742184,1,1,1,1.0,75.9014234266,89.5,1.0
122682,245842652,2,2,2,1.0,153.629720096,99.5727272727,0.0
122709,240742184,1,1,1,1.0,12.0810810447,79.9,0.0
